test point (X,Y,Z):   3.20000E+01  0.00000E+00  0.00000E+00
 year mo dy hr mn sc msc BXPNT BYPNT BZPNT UXPNT UYPNT UZPNT RHOPNT TPNT
#START
 1998 05 04 01 21 00 201 -4.45955E+000 -3.82693E+000 -5.70145E+000 -4.74407E+002 -1.69657E+001  1.02204E+001  1.02100E+001  3.52121E+004
 1998 05 04 01 22 00 266 -4.45955E+000 -3.83026E+000 -5.69921E+000 -4.74407E+002 -1.69597E+001  1.02303E+001  1.02100E+001  3.52121E+004
 1998 05 04 01 23 00 352 -4.45955E+000 -3.83360E+000 -5.69696E+000 -4.74407E+002 -1.69537E+001  1.02403E+001  1.02100E+001  3.52121E+004
 1998 05 04 01 24 00 069 -4.45955E+000 -3.83710E+000 -5.69496E+000 -4.74409E+002 -1.69471E+001  1.02511E+001  1.02103E+001  3.52127E+004
 1998 05 04 01 25 05 424 -4.45955E+000 -3.84554E+000 -5.69953E+000 -4.74462E+002 -1.69245E+001  1.02866E+001  1.02197E+001  3.52328E+004
 1998 05 04 01 26 04 267 -4.45955E+000 -3.80724E+000 -5.63767E+000 -4.74001E+002 -1.70654E+001  1.00837E+001  1.01400E+001  3.50488E+004
 1998 05 04 01 27 02 865 -4.45955E+000 -3.80914E+000 -5.60933E+000 -4.73865E+002 -1.70279E+001  9.97710E+000  1.01158E+001  3.49991E+004
 1998 05 04 01 28 00 983 -4.45955E+000 -3.51958E+000 -5.53022E+000 -4.72424E+002 -1.86292E+001  1.00836E+001  9.85720E+000  3.44435E+004
 1998 05 04 01 29 04 818 -4.45952E+000 -3.45474E+000 -5.66030E+000 -4.72927E+002 -1.92396E+001  1.07813E+001  9.95068E+000  3.46511E+004
 1998 05 04 01 30 02 913 -4.46126E+000 -3.02202E+000 -6.23336E+000 -4.75795E+002 -2.31639E+001  1.33223E+001  1.10023E+001  3.60310E+004
 1998 05 04 01 31 01 020 -4.53280E+000 -2.95366E+000 -6.00531E+000 -4.76300E+002 -2.40408E+001  1.05966E+001  1.12530E+001  4.10259E+004
 1998 05 04 01 32 04 957 -4.40337E+000 -3.75740E+000 -5.27786E+000 -4.73268E+002 -1.75757E+001  7.42486E+000  1.02411E+001  3.69754E+004
 1998 05 04 01 33 03 104 -4.33321E+000 -3.55606E+000 -5.27382E+000 -4.73191E+002 -1.93808E+001  6.53009E+000  1.01794E+001  3.62115E+004
 1998 05 04 01 34 01 289 -4.25235E+000 -3.03781E+000 -5.39453E+000 -4.71127E+002 -1.94355E+001  5.54078E+000  9.13270E+000  3.27663E+004
 1998 05 04 01 35 05 357 -2.75936E+000 -3.29717E+000 -5.15366E+000 -4.69818E+002 -2.08993E+001  8.22694E+000  9.01234E+000  2.84555E+004
 1998 05 04 01 36 03 663 -2.30225E+000 -3.60492E+000 -5.03615E+000 -4.71307E+002 -2.48217E+001  8.38490E+000  9.73202E+000  2.98591E+004
 1998 05 04 01 37 02 025 -3.24697E+000 -4.62375E+000 -4.29818E+000 -4.72177E+002 -2.50647E+001  1.01935E+001  1.13259E+001  2.68535E+004
 1998 05 04 01 38 00 433 -2.24225E+000 -3.98567E+000 -5.29375E+000 -4.73427E+002 -2.95285E+001  3.82342E+000  1.00846E+001  2.63803E+004
 1998 05 04 01 39 04 720 -3.16374E+000 -2.68250E+000 -6.14817E+000 -4.70891E+002 -2.23872E+001  6.15963E+000  1.00411E+001  3.00485E+004
 1998 05 04 01 40 03 181 -2.33899E+000 -2.51447E+000 -6.32886E+000 -4.71001E+002 -2.28771E+001  4.93743E+000  1.12236E+001  2.33768E+004
 1998 05 04 01 41 01 652 -1.14548E+000 -2.92794E+000 -6.34445E+000 -4.68267E+002 -2.30714E+001  1.85804E+000  9.69678E+000  2.53863E+004
 1998 05 04 01 42 00 125 -1.78601E+000 -2.75809E+000 -6.11121E+000 -4.65416E+002 -2.03462E+001 -3.06531E+000  1.07040E+001  2.40698E+004
 1998 05 04 01 43 04 455 -1.77709E+000 -2.36801E+000 -6.55471E+000 -4.70141E+002 -2.31393E+001 -3.47287E+000  1.06769E+001  2.89647E+004
 1998 05 04 01 44 02 891 -1.79634E+000 -2.90746E+000 -7.87396E+000 -4.71785E+002 -1.88458E+001 -1.11482E+000  1.10552E+001  2.75908E+004
 1998 05 04 01 45 00 000 -1.30862E+000 -3.37204E+000 -7.00153E+000 -4.67176E+002 -1.82882E+001 -7.26972E+000  1.40264E+001  2.83147E+004
