Volume averages, fluxes, etc
it t dt rho mx my mz p bx by bz pmin pmax dst dstdivb dstflx_R=3.0 dstflx_R=3.5 dstflx_R=5.0
     19  0.00000E+00  0.00000E+00  9.82786E+00 -8.22990E-15 -5.23391E-16  2.43755E-16  1.74702E-02 -6.60058E+00 -3.16785E+00 -2.78608E+00  1.26349E-02  8.17294E-02  8.23950E+00  7.57010E+00 -2.78884E+00 -3.07165E+00 -3.71112E+00
     20  0.00000E+00  0.00000E+00  9.82496E+00 -8.22727E-15 -5.23181E-16  2.43785E-16  1.74737E-02 -6.60102E+00 -3.16724E+00 -2.78436E+00  1.26292E-02  9.55398E-02  8.98880E+00  8.30643E+00 -2.80230E+00 -3.04775E+00 -3.79585E+00
     21  0.00000E+00  0.00000E+00  9.82269E+00 -8.22521E-15 -5.23018E-16  2.43808E-16  1.74688E-02 -6.60137E+00 -3.16679E+00 -2.78298E+00  1.26167E-02  9.90262E-02  9.62396E+00  9.39480E+00 -2.82512E+00 -3.01875E+00 -3.86789E+00
     22  0.00000E+00  0.00000E+00  9.82045E+00 -8.22317E-15 -5.22856E-16  2.43831E-16  1.74641E-02 -6.60171E+00 -3.16633E+00 -2.78159E+00  1.26048E-02  1.04213E-01  1.02602E+01  1.00377E+01 -2.85920E+00 -2.98961E+00 -3.94037E+00
     23  0.00000E+00  0.00000E+00  9.81823E+00 -8.22114E-15 -5.22696E-16  2.43855E-16  1.74595E-02 -6.60204E+00 -3.16587E+00 -2.78020E+00  1.25939E-02  1.11231E-01  1.08964E+01  1.06915E+01 -2.90258E+00 -2.96213E+00 -4.01251E+00
     24  0.00000E+00  0.00000E+00  9.81604E+00 -8.21914E-15 -5.22537E-16  2.43880E-16  1.74551E-02 -6.60235E+00 -3.16542E+00 -2.77880E+00  1.25840E-02  1.20023E-01  1.15301E+01  1.13543E+01 -2.95532E+00 -2.93831E+00 -4.08348E+00
     25  0.00000E+00  0.00000E+00  9.81387E+00 -8.21714E-15 -5.22379E-16  2.43905E-16  1.74508E-02 -6.60265E+00 -3.16496E+00 -2.77741E+00  1.25752E-02  1.29752E-01  1.21599E+01  1.20253E+01 -3.01598E+00 -2.92023E+00 -4.15235E+00
     26  0.00000E+00  0.00000E+00  9.81172E+00 -8.21515E-15 -5.22222E-16  2.43931E-16  1.74466E-02 -6.60294E+00 -3.16450E+00 -2.77601E+00  1.25675E-02  1.39114E-01  1.27851E+01  1.27036E+01 -3.08409E+00 -2.91022E+00 -4.21817E+00
     27  0.00000E+00  0.00000E+00  9.80957E+00 -8.21316E-15 -5.22066E-16  2.43956E-16  1.74426E-02 -6.60321E+00 -3.16404E+00 -2.77461E+00  1.25608E-02  1.47637E-01  1.34048E+01  1.33878E+01 -3.15807E+00 -2.90924E+00 -4.28024E+00
     28  0.00000E+00  0.00000E+00  9.80743E+00 -8.21117E-15 -5.21910E-16  2.43983E-16  1.74388E-02 -6.60348E+00 -3.16358E+00 -2.77321E+00  1.25550E-02  1.72341E-01  1.40183E+01  1.40765E+01 -3.23451E+00 -2.91731E+00 -4.33771E+00
     29  0.00000E+00  0.00000E+00  9.80529E+00 -8.20917E-15 -5.21754E-16  2.44009E-16  1.74350E-02 -6.60374E+00 -3.16312E+00 -2.77181E+00  1.25499E-02  2.04601E-01  1.46254E+01  1.47687E+01 -3.31458E+00 -2.93720E+00 -4.38950E+00
     30  0.00000E+00  0.00000E+00  9.80315E+00 -8.20717E-15 -5.21598E-16  2.44036E-16  1.74314E-02 -6.60399E+00 -3.16265E+00 -2.77040E+00  1.25456E-02  2.44060E-01  1.52263E+01  1.54626E+01 -3.39854E+00 -2.97171E+00 -4.43432E+00
     31  0.00000E+00  0.00000E+00  9.80101E+00 -8.20515E-15 -5.21442E-16  2.44062E-16  1.74280E-02 -6.60422E+00 -3.16218E+00 -2.76900E+00  1.25419E-02  2.88957E-01  1.58209E+01  1.61559E+01 -3.48609E+00 -3.02386E+00 -4.47065E+00
     32  0.00000E+00  0.00000E+00  9.79885E+00 -8.20312E-15 -5.21284E-16  2.44089E-16  1.74246E-02 -6.60445E+00 -3.16171E+00 -2.76760E+00  1.25387E-02  3.36560E-01  1.64086E+01  1.68470E+01 -3.57756E+00 -3.09537E+00 -4.49711E+00
     33  0.00000E+00  0.00000E+00  9.79668E+00 -8.20106E-15 -5.21126E-16  2.44117E-16  1.74215E-02 -6.60467E+00 -3.16124E+00 -2.76620E+00  1.25360E-02  3.87054E-01  1.69873E+01  1.75349E+01 -3.67255E+00 -3.18146E+00 -4.51190E+00
     34  0.00000E+00  0.00000E+00  9.79449E+00 -8.19899E-15 -5.20966E-16  2.44144E-16  1.74185E-02 -6.60488E+00 -3.16075E+00 -2.76480E+00  1.25336E-02  4.40466E-01  1.75553E+01  1.82183E+01 -3.77184E+00 -3.27845E+00 -4.51285E+00
     35  0.00000E+00  0.00000E+00  9.79229E+00 -8.19688E-15 -5.20805E-16  2.44171E-16  1.74156E-02 -6.60508E+00 -3.16027E+00 -2.76341E+00  1.25316E-02  4.96563E-01  1.81112E+01  1.88957E+01 -3.87707E+00 -3.38382E+00 -4.49777E+00
     36  0.00000E+00  0.00000E+00  9.79006E+00 -8.19476E-15 -5.20642E-16  2.44199E-16  1.74129E-02 -6.60527E+00 -3.15978E+00 -2.76202E+00  1.25299E-02  5.54785E-01  1.86547E+01  1.95663E+01 -3.98831E+00 -3.49618E+00 -4.46468E+00
     37  0.00000E+00  0.00000E+00  9.78781E+00 -8.19260E-15 -5.20478E-16  2.44227E-16  1.74104E-02 -6.60545E+00 -3.15928E+00 -2.76064E+00  1.25285E-02  6.17078E-01  1.91856E+01  2.02284E+01 -4.10444E+00 -3.61667E+00 -4.41137E+00
     38  0.00000E+00  0.00000E+00  9.78554E+00 -8.19041E-15 -5.20311E-16  2.44255E-16  1.74082E-02 -6.60562E+00 -3.15877E+00 -2.75926E+00  1.25272E-02  6.81871E-01  1.97046E+01  2.08799E+01 -4.22391E+00 -3.74967E+00 -4.33679E+00
     39  0.00000E+00  0.00000E+00  9.78324E+00 -8.18819E-15 -5.20143E-16  2.44283E-16  1.74061E-02 -6.60578E+00 -3.15826E+00 -2.75789E+00  1.25261E-02  7.49570E-01  2.02098E+01  2.15195E+01 -4.34546E+00 -3.89269E+00 -4.24159E+00
     40  0.00000E+00  0.00000E+00  9.78091E+00 -8.18594E-15 -5.19972E-16  2.44311E-16  1.74043E-02 -6.60592E+00 -3.15774E+00 -2.75653E+00  1.25252E-02  8.21976E-01  2.06983E+01  2.21466E+01 -4.46890E+00 -4.04143E+00 -4.12884E+00
     41  0.00000E+00  0.00000E+00  9.77856E+00 -8.18365E-15 -5.19799E-16  2.44340E-16  1.74027E-02 -6.60605E+00 -3.15721E+00 -2.75519E+00  1.25244E-02  9.01702E-01  2.11684E+01  2.27597E+01 -4.59509E+00 -4.19382E+00 -4.00377E+00
     42  0.00000E+00  0.00000E+00  9.77617E+00 -8.18132E-15 -5.19624E-16  2.44368E-16  1.74015E-02 -6.60617E+00 -3.15667E+00 -2.75385E+00  1.25238E-02  9.93365E-01  2.16190E+01  2.33587E+01 -4.72506E+00 -4.34676E+00 -3.87275E+00
     43  0.00000E+00  0.00000E+00  9.77375E+00 -8.17895E-15 -5.19446E-16  2.44397E-16  1.74005E-02 -6.60628E+00 -3.15613E+00 -2.75253E+00  1.22189E-02  1.10373E+00  2.20506E+01  2.39419E+01 -4.85934E+00 -4.50026E+00 -3.74136E+00
     44  0.00000E+00  0.00000E+00  9.77129E+00 -8.17654E-15 -5.19266E-16  2.44426E-16  1.73999E-02 -6.60637E+00 -3.15557E+00 -2.75122E+00  1.18921E-02  1.23357E+00  2.24624E+01  2.45080E+01 -4.99803E+00 -4.65589E+00 -3.61380E+00
     45  0.00000E+00  0.00000E+00  9.76880E+00 -8.17409E-15 -5.19083E-16  2.44455E-16  1.73996E-02 -6.60645E+00 -3.15500E+00 -2.74993E+00  1.15724E-02  1.38779E+00  2.28536E+01  2.50561E+01 -5.14087E+00 -4.81626E+00 -3.49222E+00
     46  0.00000E+00  0.00000E+00  9.76627E+00 -8.17159E-15 -5.18897E-16  2.44483E-16  1.73998E-02 -6.60651E+00 -3.15442E+00 -2.74866E+00  1.12594E-02  1.57140E+00  2.32230E+01  2.55851E+01 -5.28726E+00 -4.98351E+00 -3.37966E+00
     47  0.00000E+00  0.00000E+00  9.76369E+00 -8.16904E-15 -5.18708E-16  2.44512E-16  1.74004E-02 -6.60656E+00 -3.15383E+00 -2.74741E+00  1.09530E-02  1.79419E+00  2.35688E+01  2.60936E+01 -5.43683E+00 -5.15581E+00 -3.27492E+00
     48  0.00000E+00  0.00000E+00  9.76108E+00 -8.16644E-15 -5.18515E-16  2.44541E-16  1.74016E-02 -6.60659E+00 -3.15322E+00 -2.74619E+00  1.06521E-02  2.05396E+00  2.38899E+01  2.65814E+01 -5.58941E+00 -5.33035E+00 -3.17522E+00
     49  0.00000E+00  0.00000E+00  9.75842E+00 -8.16379E-15 -5.18320E-16  2.44569E-16  1.74033E-02 -6.60660E+00 -3.15260E+00 -2.74498E+00  1.03584E-02  2.35110E+00  2.41855E+01  2.70483E+01 -5.74531E+00 -5.50582E+00 -3.08032E+00
     50  0.00000E+00  0.00000E+00  9.75571E+00 -8.16108E-15 -5.18121E-16  2.44597E-16  1.74056E-02 -6.60659E+00 -3.15197E+00 -2.74380E+00  1.00733E-02  2.67488E+00  2.44551E+01  2.74941E+01 -5.90472E+00 -5.68376E+00 -2.99266E+00
     51  0.00000E+00  0.00000E+00  9.75571E+00 -8.16108E-15 -5.18121E-16  2.44597E-16  1.74056E-02 -6.60659E+00 -3.15197E+00 -2.74380E+00  1.00733E-02  2.67488E+00  2.44551E+01  2.76257E+01 -5.90472E+00 -5.68376E+00 -2.99266E+00
     52  0.00000E+00  0.00000E+00  9.75571E+00 -8.16108E-15 -5.18121E-16  2.44597E-16  1.74056E-02 -6.60659E+00 -3.15197E+00 -2.74380E+00  1.00733E-02  2.67488E+00  2.44551E+01  2.76415E+01 -5.90472E+00 -5.68376E+00 -2.99266E+00
     53  0.00000E+00  0.00000E+00  9.75571E+00 -8.16108E-15 -5.18121E-16  2.44597E-16  1.74056E-02 -6.60659E+00 -3.15197E+00 -2.74380E+00  1.00733E-02  2.67488E+00  2.44551E+01  2.76006E+01 -5.90472E+00 -5.68376E+00 -2.99266E+00
     54  0.00000E+00  0.00000E+00  9.75571E+00 -8.16108E-15 -5.18121E-16  2.44597E-16  1.74056E-02 -6.60659E+00 -3.15197E+00 -2.74380E+00  1.00733E-02  2.67488E+00  2.44551E+01  2.75761E+01 -5.90472E+00 -5.68376E+00 -2.99266E+00
     55  0.00000E+00  0.00000E+00  9.75571E+00 -8.16108E-15 -5.18121E-16  2.44597E-16  1.74056E-02 -6.60659E+00 -3.15197E+00 -2.74380E+00  1.00733E-02  2.67488E+00  2.44551E+01  2.75594E+01 -5.90472E+00 -5.68376E+00 -2.99266E+00
     56  1.56250E-01  1.56250E-01  9.75569E+00 -8.16102E-15 -5.18116E-16  2.44596E-16  1.74067E-02 -6.60660E+00 -3.15196E+00 -2.74382E+00  1.00342E-02  2.72070E+00  2.41634E+01  2.76250E+01 -6.43651E+00 -6.09184E+00 -2.91227E+00
     57  3.20312E-01  1.64062E-01  9.75567E+00 -8.16095E-15 -5.18112E-16  2.44595E-16  1.74076E-02 -6.60660E+00 -3.15196E+00 -2.74384E+00  9.89641E-03  2.77094E+00  2.38353E+01  2.78365E+01 -7.01992E+00 -6.52499E+00 -2.81736E+00
     58  3.20312E-01  0.00000E+00  9.75567E+00 -8.16095E-15 -5.18112E-16  2.44595E-16  1.74076E-02 -6.60660E+00 -3.15196E+00 -2.74384E+00  9.89641E-03  2.77094E+00  2.38353E+01  2.80497E+01 -7.01992E+00 -6.52499E+00 -2.81736E+00
     59  4.02344E-01  8.20312E-02  9.75566E+00 -8.16091E-15 -5.18109E-16  2.44594E-16  1.74081E-02 -6.60660E+00 -3.15196E+00 -2.74385E+00  9.86865E-03  2.79696E+00  2.36579E+01  2.81838E+01 -7.32620E+00 -6.74442E+00 -2.76828E+00
     60  4.88477E-01  8.61328E-02  9.75565E+00 -8.16088E-15 -5.18107E-16  2.44594E-16  1.74085E-02 -6.60660E+00 -3.15195E+00 -2.74386E+00  9.85292E-03  2.82495E+00  2.34653E+01  2.82854E+01 -7.65652E+00 -6.97671E+00 -2.71468E+00
     61  5.78916E-01  9.04395E-02  9.75564E+00 -8.16084E-15 -5.18104E-16  2.44593E-16  1.74089E-02 -6.60660E+00 -3.15195E+00 -2.74387E+00  7.03137E-03  2.85511E+00  2.32549E+01  2.83950E+01 -8.01504E+00 -7.22364E+00 -2.65647E+00
     62  6.69355E-01  9.04395E-02  9.75563E+00 -8.16080E-15 -5.18102E-16  2.44593E-16  1.74093E-02 -6.60660E+00 -3.15195E+00 -2.74389E+00  3.32541E-03  2.88610E+00  2.30363E+01  2.85148E+01 -8.38480E+00 -7.47431E+00 -2.59647E+00
     63  6.69355E-01  0.00000E+00  9.75563E+00 -8.16080E-15 -5.18102E-16  2.44593E-16  1.74093E-02 -6.60660E+00 -3.15195E+00 -2.74389E+00  3.32541E-03  2.88610E+00  2.30363E+01  2.86411E+01 -8.38480E+00 -7.47431E+00 -2.59647E+00
     64  7.12314E-01  4.29587E-02  9.75563E+00 -8.16079E-15 -5.18101E-16  2.44592E-16  1.74095E-02 -6.60660E+00 -3.15195E+00 -2.74389E+00  3.89825E-03  2.90113E+00  2.29297E+01  2.86417E+01 -8.56474E+00 -7.59411E+00 -2.56754E+00
     65  7.57421E-01  4.51067E-02  9.75562E+00 -8.16077E-15 -5.18100E-16  2.44592E-16  1.74097E-02 -6.60660E+00 -3.15195E+00 -2.74390E+00  4.47984E-03  2.91712E+00  2.28164E+01  2.87026E+01 -8.75469E+00 -7.72071E+00 -2.53683E+00
     66  8.04783E-01  4.73620E-02  9.75562E+00 -8.16075E-15 -5.18098E-16  2.44591E-16  1.74099E-02 -6.60660E+00 -3.15194E+00 -2.74390E+00  5.06902E-03  2.93415E+00  2.26958E+01  2.87664E+01 -8.95531E+00 -7.85466E+00 -2.50434E+00
     67  8.54513E-01  4.97301E-02  9.75561E+00 -8.16073E-15 -5.18097E-16  2.44591E-16  1.74102E-02 -6.60660E+00 -3.15194E+00 -2.74391E+00  5.66508E-03  2.95230E+00  2.25672E+01  2.88606E+01 -9.16767E+00 -7.99666E+00 -2.47002E+00
     68  9.06730E-01  5.22166E-02  9.75560E+00 -8.16071E-15 -5.18095E-16  2.44591E-16  1.74104E-02 -6.60661E+00 -3.15194E+00 -2.74392E+00  6.26623E-03  2.97167E+00  2.24305E+01  2.89106E+01 -9.39201E+00 -8.14647E+00 -2.43393E+00
     69  9.61557E-01  5.48274E-02  9.75560E+00 -8.16069E-15 -5.18094E-16  2.44590E-16  1.74107E-02 -6.60661E+00 -3.15194E+00 -2.74393E+00  6.80399E-03  2.99235E+00  2.22848E+01  2.89832E+01 -9.62966E+00 -8.30512E+00 -2.39606E+00
     70  1.01913E+00  5.75688E-02  9.75559E+00 -8.16066E-15 -5.18093E-16  2.44590E-16  1.74110E-02 -6.60661E+00 -3.15194E+00 -2.74393E+00  6.49847E-03  3.01445E+00  2.21294E+01  2.90579E+01 -9.88054E+00 -8.47352E+00 -2.35642E+00
