1998-05-05T00:00:01; R R R Mp/cc nPa nT km/s
        25  1.0000000000E+00 -2  5  4
    7600       1
  6.3780000000E+06  2.5000000000E+00  1.6666700000E+00  5.9958000000E+03  0.0000000000E+00
x z rho p bx ux xSI r g clight cuty
 -2.2080000000E+02 -1.2480000000E+02  3.0600000000E+00  3.9699414006E-03  7.4370882189E+00 -6.1507000001E+02
 -2.1440000000E+02 -1.2480000000E+02  3.0600000000E+00  3.9699414007E-03  7.4368709748E+00 -6.1507000002E+02
 -2.0800000000E+02 -1.2480000000E+02  3.0600000000E+00  3.9699414007E-03  7.4366349756E+00 -6.1507000002E+02
 -2.2080000000E+02 -1.1840000000E+02  3.0600000000E+00  3.9699414006E-03  7.4370256851E+00 -6.1507000001E+02
 -2.0160000000E+02 -1.2480000000E+02  3.0600000000E+00  3.9699414007E-03  7.4363787053E+00 -6.1507000002E+02
 -2.1440000000E+02 -1.1840000000E+02  3.0600000000E+00  3.9699414006E-03  7.4367954608E+00 -6.1507000002E+02
 -1.9520000000E+02 -1.2480000000E+02  3.0600000000E+00  3.9699414007E-03  7.4361006042E+00 -6.1507000002E+02
 -2.0800000000E+02 -1.1840000000E+02  3.0600000000E+00  3.9699414006E-03  7.4365441816E+00 -6.1507000002E+02
 -1.8880000000E+02 -1.2480000000E+02  3.0600000000E+00  3.9699414006E-03  7.4357990989E+00 -6.1507000003E+02
 -2.2080000000E+02 -1.1200000000E+02  3.0600000000E+00  3.9699414006E-03  7.4369724416E+00 -6.1507000001E+02
 -2.0160000000E+02 -1.1840000000E+02  3.0600000000E+00  3.9699414006E-03  7.4362699380E+00 -6.1507000002E+02
 -1.8240000000E+02 -1.2480000000E+02  3.0600000000E+00  3.9699414007E-03  7.4354726444E+00 -6.1507000003E+02
 -2.1440000000E+02 -1.1200000000E+02  3.0600000000E+00  3.9699414007E-03  7.4367297420E+00 -6.1507000001E+02
 -1.9520000000E+02 -1.1840000000E+02  3.0600000000E+00  3.9699414006E-03  7.4359707137E+00 -6.1507000003E+02
 -1.7600000000E+02 -1.2480000000E+02  3.0600000000E+00  3.9699414006E-03  7.4351197835E+00 -6.1507000004E+02
 -2.0800000000E+02 -1.1200000000E+02  3.0600000000E+00  3.9699414006E-03  7.4364636226E+00 -6.1507000002E+02
 -1.8880000000E+02 -1.1840000000E+02  3.0600000000E+00  3.9699414006E-03  7.4356444080E+00 -6.1507000003E+02
 -1.6960000000E+02 -1.2480000000E+02  3.0600000000E+00  3.9699414006E-03  7.4347392269E+00 -6.1507000004E+02
 -2.2080000000E+02 -1.0560000000E+02  3.0600000000E+00  3.9699414006E-03  7.4369300414E+00 -6.1507000001E+02
 -2.0160000000E+02 -1.1200000000E+02  3.0600000000E+00  3.9699414006E-03  7.4361717394E+00 -6.1507000002E+02
 -1.8240000000E+02 -1.1840000000E+02  3.0600000000E+00  3.9699414006E-03  7.4352888704E+00 -6.1507000003E+02
 -1.6320000000E+02 -1.2480000000E+02  3.0600000000E+00  3.9699414006E-03  7.4343299591E+00 -6.1507000005E+02
 -2.1440000000E+02 -1.0560000000E+02  3.0600000000E+00  3.9699414007E-03  7.4366756393E+00 -6.1507000001E+02
 -1.9520000000E+02 -1.1200000000E+02  3.0600000000E+00  3.9699414006E-03  7.4358515655E+00 -6.1507000002E+02
 -1.7600000000E+02 -1.1840000000E+02  3.0600000000E+00  3.9699414006E-03  7.4349019532E+00 -6.1507000004E+02
 -1.5680000000E+02 -1.2480000000E+02  3.0600000000E+00  3.9699414006E-03  7.4338913771E+00 -6.1507000006E+02
 -2.0800000000E+02 -1.0560000000E+02  3.0600000000E+00  3.9699414006E-03  7.4363954300E+00 -6.1507000002E+02
 -1.8880000000E+02 -1.1200000000E+02  3.0600000000E+00  3.9699414006E-03  7.4355004010E+00 -6.1507000003E+02
 -1.6960000000E+02 -1.1840000000E+02  3.0600000000E+00  3.9699414006E-03  7.4344815864E+00 -6.1507000005E+02
 -2.2080000000E+02 -9.9200000000E+01  3.0600000000E+00  3.9699414006E-03  7.4369000632E+00 -6.1507000001E+02
 -1.5040000000E+02 -1.2480000000E+02  3.0600000000E+00  3.9699414006E-03  7.4334234685E+00 -6.1507000006E+02
 -2.0160000000E+02 -1.0560000000E+02  3.0600000000E+00  3.9699414006E-03  7.4360866002E+00 -6.1507000002E+02
 -1.8240000000E+02 -1.1200000000E+02  3.0600000000E+00  3.9699414006E-03  7.4351153954E+00 -6.1507000003E+02
 -1.6320000000E+02 -1.1840000000E+02  3.0600000000E+00  3.9699414007E-03  7.4340258832E+00 -6.1507000005E+02
 -2.1440000000E+02 -9.9200000000E+01  3.0600000000E+00  3.9699414007E-03  7.4366350245E+00 -6.1507000001E+02
 -1.4400000000E+02 -1.2480000000E+02  3.0600000000E+00  3.9699414006E-03  7.4329270349E+00 -6.1507000007E+02
 -1.9520000000E+02 -1.0560000000E+02  3.0600000000E+00  3.9699414006E-03  7.4357460625E+00 -6.1507000002E+02
 -1.7600000000E+02 -1.1200000000E+02  3.0600000000E+00  3.9699414006E-03  7.4346935880E+00 -6.1507000004E+02
 -1.5680000000E+02 -1.1840000000E+02  3.0600000000E+00  3.9699414007E-03  7.4335332818E+00 -6.1507000006E+02
 -2.0800000000E+02 -9.9200000000E+01  3.0600000000E+00  3.9699414006E-03  7.4363418216E+00 -6.1507000001E+02
 -1.3760000000E+02 -1.2480000000E+02  3.0600000000E+00  3.9699414006E-03  7.4324039697E+00 -6.1507000008E+02
