Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz E OpRho OpMx OpMy OpMz OpE Pmin Pmax
     23  2.45834E-01  1.11174E-02  9.00018E-01 -1.50486E-15  9.05130E-04 -1.17027E-07  2.18126E+01  7.96651E-17  1.29514E-17  8.09046E+01  1.00000E-01 -1.03456E-18  6.30326E-06  1.07323E-07  8.96817E+00  5.34786E+01  5.45076E+01
     24  2.56950E-01  1.11161E-02  9.00019E-01 -1.46773E-15  9.03188E-04 -1.23160E-07  2.18126E+01  1.38986E-16  1.36042E-17  8.09140E+01  1.00000E-01 -4.52246E-19  6.29146E-06  1.13539E-07  8.96818E+00  5.34727E+01  5.45196E+01
     25  2.68066E-01  1.11160E-02  9.00020E-01 -1.52744E-15  8.99670E-04 -1.29157E-07  2.18127E+01  2.71474E-17  1.37481E-17  8.09233E+01  1.00000E-01  1.64496E-19  6.26867E-06  1.19737E-07  8.96818E+00  5.34740E+01  5.45302E+01
     26  2.79180E-01  1.11135E-02  9.00021E-01 -1.61846E-15  8.95850E-04 -1.35068E-07  2.18127E+01  6.44795E-17  1.37547E-17  8.09326E+01  1.00000E-01  3.65298E-19  6.24373E-06  1.25910E-07  8.96819E+00  5.34590E+01  5.45395E+01
     27  2.90290E-01  1.11108E-02  9.00022E-01 -1.42058E-15  8.91639E-04 -1.40869E-07  2.18127E+01  3.18586E-17  1.35097E-17  8.09420E+01  1.00000E-01  7.08225E-19  6.21603E-06  1.32054E-07  8.96820E+00  5.34414E+01  5.45478E+01
     28  3.01400E-01  1.11096E-02  9.00023E-01 -1.50781E-15  8.88409E-04 -1.46725E-07  2.18127E+01  6.35122E-17  1.33339E-17  8.09513E+01  1.00000E-01  1.13363E-18  6.19505E-06  1.38172E-07  8.96820E+00  5.34308E+01  5.45551E+01
     29  3.12510E-01  1.11097E-02  9.00024E-01 -1.63067E-15  8.85772E-04 -1.52629E-07  2.18128E+01 -2.64528E-18  1.32616E-17  8.09606E+01  1.00000E-01  2.76348E-18  6.17806E-06  1.44270E-07  8.96821E+00  5.34266E+01  5.45615E+01
     30  3.23620E-01  1.11108E-02  9.00025E-01 -1.32871E-15  8.83718E-04 -1.58558E-07  2.18128E+01  3.14306E-17  1.34743E-17  8.09700E+01  1.00000E-01  2.72492E-18  6.16501E-06  1.50353E-07  8.96821E+00  5.34285E+01  5.45670E+01
     31  3.34728E-01  1.11071E-02  9.00026E-01 -1.32563E-15  8.82190E-04 -1.64504E-07  2.18128E+01 -3.98063E-18  1.36096E-17  8.09793E+01  1.00000E-01  2.97516E-18  6.15553E-06  1.56421E-07  8.96822E+00  5.34173E+01  5.45717E+01
     32  3.45833E-01  1.11051E-02  9.00027E-01 -1.24290E-15  8.80935E-04 -1.70475E-07  2.18128E+01  1.90572E-17  1.39688E-17  8.09886E+01  1.00000E-01  3.12270E-18  6.14789E-06  1.62479E-07  8.96822E+00  5.34033E+01  5.45757E+01
     33  3.56937E-01  1.11043E-02  9.00028E-01 -1.19114E-15  8.80070E-04 -1.76494E-07  2.18129E+01  8.56011E-18  1.43552E-17  8.09980E+01  1.00000E-01  3.86977E-18  6.14289E-06  1.68530E-07  8.96823E+00  5.33953E+01  5.45791E+01
     34  3.68042E-01  1.11047E-02  9.00029E-01 -1.14584E-15  8.79514E-04 -1.82522E-07  2.18129E+01  4.91423E-17  1.45751E-17  8.10073E+01  1.00000E-01  5.26673E-18  6.13994E-06  1.74576E-07  8.96823E+00  5.33928E+01  5.45819E+01
     35  3.79145E-01  1.11035E-02  9.00030E-01 -1.06057E-15  8.79196E-04 -1.88560E-07  2.18129E+01 -4.44023E-17  1.49427E-17  8.10167E+01  1.00000E-01  5.72324E-18  6.13857E-06  1.80618E-07  8.96824E+00  5.33949E+01  5.45841E+01
     36  3.90246E-01  1.11007E-02  9.00031E-01 -8.67235E-16  8.79211E-04 -1.94628E-07  2.18129E+01  4.72382E-17  1.51621E-17  8.10261E+01  1.00000E-01  6.43799E-18  6.13945E-06  1.86657E-07  8.96824E+00  5.33861E+01  5.45859E+01
     37  4.01345E-01  1.10993E-02  9.00032E-01 -8.54603E-16  8.79529E-04 -2.00750E-07  2.18129E+01  4.54192E-17  1.51757E-17  8.10354E+01  1.00000E-01  6.99869E-18  6.14240E-06  1.92697E-07  8.96825E+00  5.33755E+01  5.45872E+01
     38  4.12444E-01  1.10990E-02  9.00033E-01 -7.49482E-16  8.79808E-04 -2.06915E-07  2.18130E+01 -4.84744E-17  1.48265E-17  8.10448E+01  1.00000E-01  6.99446E-18  6.14501E-06  1.98739E-07  8.96825E+00  5.33695E+01  5.45880E+01
     39  4.23544E-01  1.10995E-02  9.00034E-01 -7.46594E-16  8.80349E-04 -2.13104E-07  2.18130E+01  2.10983E-17  1.44576E-17  8.10541E+01  1.00000E-01  7.61219E-18  6.14936E-06  2.04783E-07  8.96826E+00  5.33686E+01  5.45885E+01
     40  4.34642E-01  1.10983E-02  9.00035E-01 -6.83597E-16  8.81064E-04 -2.19266E-07  2.18130E+01  5.07165E-17  1.41074E-17  8.10635E+01  1.00000E-01  7.62858E-18  6.15487E-06  2.10832E-07  8.96826E+00  5.33705E+01  5.45886E+01
     41  4.45738E-01  1.10962E-02  9.00036E-01 -4.86269E-16  8.81819E-04 -2.25409E-07  2.18130E+01  9.96661E-18  1.38364E-17  8.10729E+01  1.00000E-01  8.41712E-18  6.16061E-06  2.16884E-07  8.96827E+00  5.33631E+01  5.45883E+01
     42  4.56833E-01  1.10952E-02  9.00037E-01 -4.05051E-16  8.82597E-04 -2.31528E-07  2.18131E+01  6.47599E-17  1.37491E-17  8.10822E+01  1.00000E-01  7.53482E-18  6.16647E-06  2.22942E-07  8.96827E+00  5.33553E+01  5.45878E+01
     43  4.67929E-01  1.10952E-02  9.00038E-01 -4.26088E-16  8.83218E-04 -2.37627E-07  2.18131E+01  6.97556E-17  1.39793E-17  8.10916E+01  1.00000E-01  7.83682E-18  6.17120E-06  2.29005E-07  8.96828E+00  5.33515E+01  5.45870E+01
     44  4.79024E-01  1.10957E-02  9.00039E-01 -3.79429E-16  8.83722E-04 -2.43694E-07  2.18131E+01  7.20412E-17  1.45003E-17  8.11009E+01  1.00000E-01  7.62867E-18  6.17508E-06  2.35072E-07  8.96828E+00  5.33516E+01  5.45860E+01
     45  4.90119E-01  1.10945E-02  9.00040E-01 -3.14290E-16  8.84114E-04 -2.49770E-07  2.18131E+01 -3.13253E-17  1.53514E-17  8.11103E+01  1.00000E-01  7.91737E-18  6.17816E-06  2.41142E-07  8.96829E+00  5.33532E+01  5.45849E+01
     46  5.01212E-01  1.10930E-02  9.00040E-01 -2.84231E-16  8.84432E-04 -2.55854E-07  2.18132E+01 -9.58153E-19  1.62430E-17  8.11197E+01  1.00000E-01  7.64912E-18  6.18069E-06  2.47213E-07  8.96829E+00  5.33465E+01  5.45836E+01
     47  5.12304E-01  1.10923E-02  9.00041E-01 -2.21689E-16  8.84660E-04 -2.61933E-07  2.18132E+01  4.17982E-17  1.72829E-17  8.11290E+01  1.00000E-01  7.21850E-18  6.18258E-06  2.53287E-07  8.96830E+00  5.33411E+01  5.45822E+01
     48  5.23396E-01  1.10923E-02  9.00042E-01 -1.61109E-16  8.84832E-04 -2.67986E-07  2.18132E+01  8.36658E-17  1.84030E-17  8.11384E+01  1.00000E-01  7.01660E-18  6.18404E-06  2.59361E-07  8.96830E+00  5.33389E+01  5.45806E+01
     49  5.34489E-01  1.10929E-02  9.00043E-01 -1.12990E-16  8.84942E-04 -2.74042E-07  2.18132E+01  4.18192E-17  1.91818E-17  8.11478E+01  1.00000E-01  7.11503E-18  6.18504E-06  2.65437E-07  8.96831E+00  5.33395E+01  5.45789E+01
     50  5.45581E-01  1.10917E-02  9.00044E-01 -1.29069E-16  8.85010E-04 -2.80110E-07  2.18132E+01  2.01335E-17  1.97079E-17  8.11572E+01  1.00000E-01  6.67642E-18  6.18574E-06  2.71513E-07  8.96831E+00  5.33406E+01  5.45771E+01
     51  5.56672E-01  1.10906E-02  9.00045E-01 -1.44567E-16  8.85010E-04 -2.86180E-07  2.18133E+01  3.55058E-17  1.97573E-17  8.11665E+01  1.00000E-01  6.33313E-18  6.18593E-06  2.77589E-07  8.96832E+00  5.33351E+01  5.45752E+01
     52  5.67762E-01  1.10902E-02  9.00046E-01 -1.28934E-16  8.84947E-04 -2.92233E-07  2.18133E+01  9.73166E-17  1.95215E-17  8.11759E+01  1.00000E-01  5.93527E-18  6.18567E-06  2.83664E-07  8.96832E+00  5.33314E+01  5.45734E+01
     53  5.78852E-01  1.10903E-02  9.00047E-01 -2.11697E-16  8.84893E-04 -2.98267E-07  2.18133E+01  1.05442E-16  1.91306E-17  8.11853E+01  1.00000E-01  5.75542E-18  6.18545E-06  2.89739E-07  8.96833E+00  5.33303E+01  5.45715E+01
     54  5.89943E-01  1.10907E-02  9.00048E-01 -1.97767E-16  8.84779E-04 -3.04327E-07  2.18133E+01  1.23276E-16  1.88997E-17  8.11947E+01  1.00000E-01  5.58249E-18  6.18481E-06  2.95813E-07  8.96833E+00  5.33311E+01  5.45695E+01
     55  6.01033E-01  1.10898E-02  9.00049E-01 -1.83324E-16  8.84629E-04 -3.10386E-07  2.18134E+01  2.39379E-17  1.87196E-17  8.12040E+01  1.00000E-01  5.28590E-18  6.18389E-06  3.01886E-07  8.96834E+00  5.33318E+01  5.45675E+01
     56  6.12122E-01  1.10891E-02  9.00050E-01 -2.14589E-16  8.84466E-04 -3.16440E-07  2.18134E+01  6.89764E-17  1.83418E-17  8.12134E+01  1.00000E-01  4.87948E-18  6.18287E-06  3.07958E-07  8.96834E+00  5.33275E+01  5.45656E+01
     57  6.23211E-01  1.10889E-02  9.00051E-01 -1.91749E-16  8.84303E-04 -3.22498E-07  2.18134E+01  1.46843E-16  1.83183E-17  8.12228E+01  1.00000E-01  4.77623E-18  6.18184E-06  3.14028E-07  8.96835E+00  5.33252E+01  5.45637E+01
     58  6.34300E-01  1.10890E-02  9.00052E-01 -2.45244E-16  8.84172E-04 -3.28569E-07  2.18134E+01  2.39604E-17  1.84990E-17  8.12322E+01  1.00000E-01  5.04518E-18  6.18103E-06  3.20098E-07  8.96835E+00  5.33249E+01  5.45618E+01
     59  6.45389E-01  1.10893E-02  9.00053E-01 -1.56423E-16  8.84065E-04 -3.34641E-07  2.18135E+01  6.72658E-17  1.85262E-17  8.12416E+01  1.00000E-01  5.82466E-18  6.18036E-06  3.26167E-07  8.96836E+00  5.33255E+01  5.45608E+01
     60  6.56478E-01  1.10886E-02  9.00054E-01 -1.26978E-16  8.83982E-04 -3.40726E-07  2.18135E+01  1.04861E-16  1.84725E-17  8.12509E+01  1.00000E-01  6.24380E-18  6.17985E-06  3.32235E-07  8.96836E+00  5.33257E+01  5.45600E+01
     61  6.67566E-01  1.10881E-02  9.00055E-01 -2.09886E-16  8.83918E-04 -3.46804E-07  2.18135E+01  1.62409E-17  1.84943E-17  8.12603E+01  1.00000E-01  6.38389E-18  6.17946E-06  3.38302E-07  8.96837E+00  5.33225E+01  5.45590E+01
     62  6.78654E-01  1.10879E-02  9.00056E-01 -1.86686E-16  8.83862E-04 -3.52873E-07  2.18135E+01 -1.81697E-17  1.88595E-17  8.12697E+01  1.00000E-01  6.61511E-18  6.17913E-06  3.44369E-07  8.96837E+00  5.33212E+01  5.45580E+01
     63  6.89742E-01  1.10880E-02  9.00057E-01 -1.59193E-16  8.83824E-04 -3.58930E-07  2.18135E+01 -3.66579E-17  1.91201E-17  8.12791E+01  1.00000E-01  6.44577E-18  6.17890E-06  3.50436E-07  8.96838E+00  5.33211E+01  5.45570E+01
     64  7.00830E-01  1.10883E-02  9.00058E-01 -1.54461E-16  8.83797E-04 -3.64981E-07  2.18136E+01  1.39225E-16  1.92671E-17  8.12885E+01  1.00000E-01  6.18079E-18  6.17875E-06  3.56503E-07  8.96838E+00  5.33216E+01  5.45559E+01
