Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz E OpRho OpMx OpMy OpMz OpE Pmin Pmax
     89  9.78007E-01  1.10870E-02  9.00081E-01  7.17961E-17  8.83999E-04 -5.16693E-07  2.18141E+01 -4.80408E-17  2.03858E-17  8.15234E+01  1.00001E-01  4.99352E-18  6.18074E-06  5.08182E-07  8.96851E+00  5.33162E+01  5.45550E+01
     90  9.89094E-01  1.10869E-02  9.00082E-01  8.30458E-17  8.83995E-04 -5.22751E-07  2.18142E+01 -2.48802E-17  2.07305E-17  8.15328E+01  1.00001E-01  5.31902E-18  6.18074E-06  5.14249E-07  8.96851E+00  5.33161E+01  5.45549E+01
     91  1.00018E+00  1.10869E-02  9.00083E-01  1.47781E-16  8.83991E-04 -5.28803E-07  2.18142E+01  4.72597E-17  2.11372E-17  8.15422E+01  1.00001E-01  5.40155E-18  6.18076E-06  5.20317E-07  8.96852E+00  5.33160E+01  5.45547E+01
     92  1.01127E+00  1.10869E-02  9.00084E-01  1.84299E-16  8.83988E-04 -5.34864E-07  2.18142E+01 -1.63450E-16  2.16781E-17  8.15517E+01  1.00001E-01  5.40780E-18  6.18078E-06  5.26384E-07  8.96852E+00  5.33160E+01  5.45545E+01
     93  1.02235E+00  1.10870E-02  9.00085E-01  2.17988E-16  8.83985E-04 -5.40944E-07  2.18142E+01  6.23985E-17  2.23232E-17  8.15611E+01  1.00001E-01  5.62499E-18  6.18081E-06  5.32451E-07  8.96853E+00  5.33161E+01  5.45543E+01
     94  1.03344E+00  1.10870E-02  9.00086E-01  2.55392E-16  8.83983E-04 -5.47028E-07  2.18143E+01 -2.72692E-17  2.29737E-17  8.15705E+01  1.00001E-01  5.59106E-18  6.18084E-06  5.38518E-07  8.96853E+00  5.33162E+01  5.45540E+01
     95  1.04453E+00  1.10870E-02  9.00087E-01  3.10387E-16  8.83981E-04 -5.53113E-07  2.18143E+01 -3.20667E-17  2.35505E-17  8.15799E+01  1.00001E-01  5.40910E-18  6.18088E-06  5.44584E-07  8.96854E+00  5.33160E+01  5.45536E+01
     96  1.05562E+00  1.10870E-02  9.00088E-01  3.57309E-16  8.83980E-04 -5.59192E-07  2.18143E+01  8.81259E-17  2.40952E-17  8.15893E+01  1.00001E-01  5.77331E-18  6.18092E-06  5.50651E-07  8.96854E+00  5.33160E+01  5.45531E+01
     97  1.06670E+00  1.10870E-02  9.00089E-01  3.50197E-16  8.83979E-04 -5.65283E-07  2.18143E+01 -9.19733E-17  2.46851E-17  8.15987E+01  1.00001E-01  5.74711E-18  6.18096E-06  5.56718E-07  8.96855E+00  5.33160E+01  5.45526E+01
     98  1.07779E+00  1.10871E-02  9.00090E-01  3.80831E-16  8.83980E-04 -5.71364E-07  2.18143E+01  3.18331E-17  2.50368E-17  8.16081E+01  1.00001E-01  5.94663E-18  6.18101E-06  5.62785E-07  8.96855E+00  5.33161E+01  5.45521E+01
     99  1.08888E+00  1.10871E-02  9.00091E-01  3.78678E-16  8.83980E-04 -5.77434E-07  2.18144E+01 -9.64340E-17  2.54132E-17  8.16175E+01  1.00001E-01  6.17996E-18  6.18107E-06  5.68851E-07  8.96856E+00  5.33161E+01  5.45515E+01
    100  1.09996E+00  1.10870E-02  9.00092E-01  3.31668E-16  8.83982E-04 -5.83504E-07  2.18144E+01  7.32676E-17  2.57591E-17  8.16270E+01  1.00001E-01  6.51961E-18  6.18113E-06  5.74918E-07  8.96856E+00  5.33160E+01  5.45514E+01
    101  1.11105E+00  1.10871E-02  9.00093E-01  3.30435E-16  8.83984E-04 -5.89589E-07  2.18144E+01  8.23163E-17  2.60820E-17  8.16364E+01  1.00001E-01  6.60209E-18  6.18120E-06  5.80985E-07  8.96857E+00  5.33160E+01  5.45513E+01
    102  1.12214E+00  1.10871E-02  9.00094E-01  3.59808E-16  8.83986E-04 -5.95680E-07  2.18144E+01  2.76937E-17  2.62910E-17  8.16458E+01  1.00001E-01  6.82194E-18  6.18126E-06  5.87051E-07  8.96857E+00  5.33161E+01  5.45512E+01
    103  1.13323E+00  1.10871E-02  9.00095E-01  3.63918E-16  8.83988E-04 -6.01768E-07  2.18145E+01 -4.44386E-17  2.65958E-17  8.16552E+01  1.00001E-01  6.94152E-18  6.18133E-06  5.93118E-07  8.96858E+00  5.33161E+01  5.45510E+01
    104  1.14431E+00  1.10871E-02  9.00096E-01  4.05964E-16  8.83990E-04 -6.07853E-07  2.18145E+01  2.27241E-17  2.69076E-17  8.16646E+01  1.00001E-01  6.72154E-18  6.18140E-06  5.99184E-07  8.96858E+00  5.33160E+01  5.45509E+01
    105  1.15540E+00  1.10871E-02  9.00097E-01  3.98441E-16  8.83992E-04 -6.13948E-07  2.18145E+01 -1.47501E-16  2.72652E-17  8.16740E+01  1.00001E-01  6.74280E-18  6.18146E-06  6.05251E-07  8.96859E+00  5.33160E+01  5.45507E+01
    106  1.16649E+00  1.10871E-02  9.00098E-01  3.54232E-16  8.83993E-04 -6.20055E-07  2.18145E+01 -7.61934E-17  2.74046E-17  8.16835E+01  1.00001E-01  6.51069E-18  6.18153E-06  6.11317E-07  8.96859E+00  5.33160E+01  5.45504E+01
    107  1.17757E+00  1.10872E-02  9.00099E-01  3.73430E-16  8.83994E-04 -6.26139E-07  2.18145E+01  2.03557E-17  2.77218E-17  8.16929E+01  1.00001E-01  6.41185E-18  6.18159E-06  6.17384E-07  8.96860E+00  5.33160E+01  5.45502E+01
    108  1.18866E+00  1.10872E-02  9.00099E-01  3.72095E-16  8.83995E-04 -6.32221E-07  2.18146E+01 -5.29934E-17  2.78803E-17  8.17023E+01  1.00001E-01  6.36057E-18  6.18166E-06  6.23451E-07  8.96860E+00  5.33159E+01  5.45499E+01
    109  1.19975E+00  1.10872E-02  9.00100E-01  3.59742E-16  8.83997E-04 -6.38310E-07  2.18146E+01 -2.43915E-17  2.81435E-17  8.17117E+01  1.00001E-01  6.63670E-18  6.18172E-06  6.29517E-07  8.96861E+00  5.33159E+01  5.45496E+01
    110  1.21084E+00  1.10872E-02  9.00101E-01  3.94511E-16  8.83998E-04 -6.44393E-07  2.18146E+01 -2.79093E-17  2.83275E-17  8.17211E+01  1.00001E-01  6.56923E-18  6.18179E-06  6.35584E-07  8.96861E+00  5.33159E+01  5.45496E+01
    111  1.22192E+00  1.10872E-02  9.00102E-01  3.82297E-16  8.83998E-04 -6.50467E-07  2.18146E+01  6.21308E-18  2.85255E-17  8.17306E+01  1.00001E-01  6.27156E-18  6.18185E-06  6.41651E-07  8.96862E+00  5.33158E+01  5.45496E+01
    112  1.23301E+00  1.10873E-02  9.00103E-01  4.00706E-16  8.83999E-04 -6.56533E-07  2.18147E+01 -1.04768E-17  2.86789E-17  8.17400E+01  1.00001E-01  5.92193E-18  6.18191E-06  6.47718E-07  8.96862E+00  5.33157E+01  5.45495E+01
    113  1.24410E+00  1.10873E-02  9.00104E-01  4.20725E-16  8.84000E-04 -6.62603E-07  2.18147E+01 -1.14484E-16  2.88556E-17  8.17494E+01  1.00001E-01  5.79364E-18  6.18197E-06  6.53784E-07  8.96863E+00  5.33157E+01  5.45495E+01
    114  1.25518E+00  1.10873E-02  9.00105E-01  4.23133E-16  8.84000E-04 -6.68675E-07  2.18147E+01 -5.36725E-17  2.90520E-17  8.17588E+01  1.00001E-01  5.62372E-18  6.18203E-06  6.59851E-07  8.96863E+00  5.33157E+01  5.45494E+01
    115  1.26627E+00  1.10873E-02  9.00106E-01  4.20746E-16  8.84000E-04 -6.74742E-07  2.18147E+01  1.86971E-17  2.90492E-17  8.17683E+01  1.00001E-01  5.61125E-18  6.18209E-06  6.65918E-07  8.96864E+00  5.33155E+01  5.45494E+01
    116  1.27736E+00  1.10873E-02  9.00107E-01  4.03623E-16  8.84000E-04 -6.80807E-07  2.18148E+01 -3.44942E-17  2.87188E-17  8.17777E+01  1.00001E-01  5.56684E-18  6.18215E-06  6.71985E-07  8.96864E+00  5.33154E+01  5.45495E+01
    117  1.28845E+00  1.10873E-02  9.00108E-01  3.93741E-16  8.84000E-04 -6.86879E-07  2.18148E+01  7.27579E-18  2.81567E-17  8.17871E+01  1.00001E-01  5.43342E-18  6.18221E-06  6.78052E-07  8.96865E+00  5.33154E+01  5.45496E+01
    118  1.29953E+00  1.10873E-02  9.00109E-01  3.93471E-16  8.84000E-04 -6.92958E-07  2.18148E+01 -8.23640E-18  2.75177E-17  8.17965E+01  1.00001E-01  5.05796E-18  6.18226E-06  6.84118E-07  8.96866E+00  5.33153E+01  5.45496E+01
    119  1.31062E+00  1.10873E-02  9.00110E-01  4.02451E-16  8.83999E-04 -6.99036E-07  2.18148E+01 -3.19535E-17  2.68247E-17  8.18060E+01  1.00001E-01  4.58848E-18  6.18232E-06  6.90185E-07  8.96866E+00  5.33150E+01  5.45497E+01
    120  1.32171E+00  1.10873E-02  9.00111E-01  4.06939E-16  8.83998E-04 -7.05116E-07  2.18148E+01  8.11827E-17  2.60797E-17  8.18154E+01  1.00001E-01  4.67202E-18  6.18237E-06  6.96252E-07  8.96867E+00  5.33149E+01  5.45496E+01
    121  1.33280E+00  1.10874E-02  9.00112E-01  3.77848E-16  8.83998E-04 -7.11204E-07  2.18149E+01 -4.95153E-17  2.54144E-17  8.18248E+01  1.00001E-01  4.76447E-18  6.18243E-06  7.02319E-07  8.96867E+00  5.33149E+01  5.45496E+01
    122  1.34388E+00  1.10874E-02  9.00113E-01  3.91832E-16  8.83997E-04 -7.17291E-07  2.18149E+01  8.85410E-18  2.49654E-17  8.18342E+01  1.00001E-01  4.60096E-18  6.18248E-06  7.08385E-07  8.96868E+00  5.33148E+01  5.45495E+01
    123  1.35497E+00  1.10874E-02  9.00114E-01  4.04089E-16  8.83996E-04 -7.23381E-07  2.18149E+01  6.96263E-17  2.46256E-17  8.18437E+01  1.00001E-01  4.39348E-18  6.18254E-06  7.14452E-07  8.96868E+00  5.33145E+01  5.45495E+01
    124  1.36606E+00  1.10874E-02  9.00115E-01  4.19583E-16  8.83996E-04 -7.29476E-07  2.18149E+01  9.59078E-17  2.45232E-17  8.18531E+01  1.00001E-01  4.22558E-18  6.18259E-06  7.20519E-07  8.96869E+00  5.33144E+01  5.45494E+01
    125  1.37715E+00  1.10874E-02  9.00116E-01  4.31919E-16  8.83995E-04 -7.35586E-07  2.18150E+01 -4.70871E-17  2.46017E-17  8.18625E+01  1.00001E-01  4.45610E-18  6.18265E-06  7.26585E-07  8.96869E+00  5.33144E+01  5.45493E+01
    126  1.38823E+00  1.10874E-02  9.00117E-01  4.29197E-16  8.83995E-04 -7.41696E-07  2.18150E+01 -4.09356E-17  2.47941E-17  8.18719E+01  1.00001E-01  4.99766E-18  6.18271E-06  7.32652E-07  8.96870E+00  5.33143E+01  5.45492E+01
    127  1.39932E+00  1.10874E-02  9.00117E-01  4.56434E-16  8.83994E-04 -7.47805E-07  2.18150E+01 -6.79738E-18  2.50310E-17  8.18814E+01  1.00001E-01  4.82742E-18  6.18276E-06  7.38718E-07  8.96870E+00  5.33139E+01  5.45491E+01
    128  1.41041E+00  1.10874E-02  9.00118E-01  5.04007E-16  8.83994E-04 -7.53912E-07  2.18150E+01  5.43901E-17  2.54382E-17  8.18908E+01  1.00001E-01  4.72017E-18  6.18282E-06  7.44785E-07  8.96871E+00  5.33138E+01  5.45489E+01
    129  1.42149E+00  1.10874E-02  9.00119E-01  5.15306E-16  8.83993E-04 -7.60032E-07  2.18151E+01  1.52008E-16  2.60248E-17  8.19002E+01  1.00001E-01  4.67400E-18  6.18288E-06  7.50852E-07  8.96871E+00  5.33138E+01  5.45488E+01
    130  1.43258E+00  1.10875E-02  9.00120E-01  5.16412E-16  8.83993E-04 -7.66143E-07  2.18151E+01  1.11849E-16  2.67406E-17  8.19097E+01  1.00001E-01  4.44528E-18  6.18294E-06  7.56918E-07  8.96872E+00  5.33137E+01  5.45487E+01
    131  1.44367E+00  1.10875E-02  9.00121E-01  5.28548E-16  8.83992E-04 -7.72251E-07  2.18151E+01  4.39786E-18  2.75940E-17  8.19191E+01  1.00001E-01  4.55364E-18  6.18299E-06  7.62985E-07  8.96872E+00  5.33133E+01  5.45486E+01
    132  1.45476E+00  1.10875E-02  9.00122E-01  5.22806E-16  8.83992E-04 -7.78358E-07  2.18151E+01 -1.72495E-17  2.85496E-17  8.19285E+01  1.00001E-01  4.46446E-18  6.18305E-06  7.69052E-07  8.96873E+00  5.33132E+01  5.45486E+01
    133  1.46584E+00  1.10875E-02  9.00123E-01  5.29975E-16  8.83992E-04 -7.84468E-07  2.18151E+01 -1.00802E-16  2.93898E-17  8.19380E+01  1.00001E-01  4.24736E-18  6.18311E-06  7.75118E-07  8.96873E+00  5.33132E+01  5.45485E+01
    134  1.47693E+00  1.10875E-02  9.00124E-01  5.33720E-16  8.83992E-04 -7.90575E-07  2.18152E+01 -1.53527E-17  3.01281E-17  8.19474E+01  1.00001E-01  4.26629E-18  6.18317E-06  7.81185E-07  8.96874E+00  5.33131E+01  5.45484E+01
    135  1.48802E+00  1.10875E-02  9.00125E-01  5.15626E-16  8.83992E-04 -7.96678E-07  2.18152E+01 -1.18731E-16  3.07039E-17  8.19568E+01  1.00001E-01  4.21830E-18  6.18324E-06  7.87252E-07  8.96874E+00  5.33127E+01  5.45484E+01
    136  1.49911E+00  1.10875E-02  9.00126E-01  5.36306E-16  8.83992E-04 -8.02780E-07  2.18152E+01  1.66273E-17  3.12200E-17  8.19663E+01  1.00001E-01  4.69172E-18  6.18330E-06  7.93318E-07  8.96875E+00  5.33125E+01  5.45483E+01
    137  1.51019E+00  1.10875E-02  9.00127E-01  5.58077E-16  8.83992E-04 -8.08887E-07  2.18152E+01 -3.38069E-18  3.15118E-17  8.19757E+01  1.00001E-01  4.85025E-18  6.18336E-06  7.99385E-07  8.96875E+00  5.33126E+01  5.45481E+01
    138  1.52128E+00  1.10875E-02  9.00128E-01  5.66185E-16  8.83992E-04 -8.14991E-07  2.18153E+01 -2.44826E-17  3.16417E-17  8.19851E+01  1.00001E-01  4.85824E-18  6.18342E-06  8.05452E-07  8.96876E+00  5.33125E+01  5.45480E+01
    139  1.53237E+00  1.10875E-02  9.00129E-01  5.67534E-16  8.83992E-04 -8.21092E-07  2.18153E+01 -2.31003E-17  3.14648E-17  8.19946E+01  1.00001E-01  4.75540E-18  6.18349E-06  8.11519E-07  8.96876E+00  5.33121E+01  5.45477E+01
    140  1.54346E+00  1.10875E-02  9.00130E-01  5.64584E-16  8.83993E-04 -8.27193E-07  2.18153E+01  1.94498E-17  3.14437E-17  8.20040E+01  1.00001E-01  4.61892E-18  6.18355E-06  8.17586E-07  8.96877E+00  5.33119E+01  5.45475E+01
    141  1.55454E+00  1.10875E-02  9.00131E-01  5.46123E-16  8.83993E-04 -8.33302E-07  2.18153E+01 -5.43025E-17  3.13359E-17  8.20134E+01  1.00001E-01  4.62216E-18  6.18362E-06  8.23652E-07  8.96877E+00  5.33119E+01  5.45472E+01
    142  1.56563E+00  1.10875E-02  9.00132E-01  5.75631E-16  8.83994E-04 -8.39408E-07  2.18153E+01  4.12552E-17  3.13697E-17  8.20229E+01  1.00001E-01  4.39649E-18  6.18368E-06  8.29719E-07  8.96878E+00  5.33120E+01  5.45472E+01
    143  1.57672E+00  1.10875E-02  9.00133E-01  5.77226E-16  8.83994E-04 -8.45510E-07  2.18154E+01 -2.00394E-17  3.13392E-17  8.20323E+01  1.00001E-01  4.56688E-18  6.18375E-06  8.35786E-07  8.96878E+00  5.33115E+01  5.45472E+01
    144  1.58781E+00  1.10875E-02  9.00134E-01  5.54523E-16  8.83995E-04 -8.51604E-07  2.18154E+01  9.79897E-18  3.13671E-17  8.20417E+01  1.00001E-01  4.48032E-18  6.18381E-06  8.41853E-07  8.96879E+00  5.33112E+01  5.45471E+01
    145  1.59889E+00  1.10875E-02  9.00134E-01  5.34500E-16  8.83995E-04 -8.57701E-07  2.18154E+01 -4.64084E-17  3.14487E-17  8.20512E+01  1.00001E-01  4.54605E-18  6.18388E-06  8.47920E-07  8.96879E+00  5.33112E+01  5.45471E+01
    146  1.60998E+00  1.10875E-02  9.00135E-01  5.32987E-16  8.83995E-04 -8.63799E-07  2.18154E+01  2.53944E-17  3.16410E-17  8.20606E+01  1.00001E-01  4.46749E-18  6.18394E-06  8.53987E-07  8.96880E+00  5.33113E+01  5.45470E+01
    147  1.62107E+00  1.10875E-02  9.00136E-01  5.43173E-16  8.83995E-04 -8.69891E-07  2.18155E+01 -1.53759E-17  3.18191E-17  8.20701E+01  1.00001E-01  4.43992E-18  6.18400E-06  8.60054E-07  8.96880E+00  5.33109E+01  5.45469E+01
    148  1.63216E+00  1.10875E-02  9.00137E-01  5.43139E-16  8.83996E-04 -8.75974E-07  2.18155E+01 -2.66975E-17  3.17279E-17  8.20795E+01  1.00001E-01  4.41411E-18  6.18407E-06  8.66121E-07  8.96881E+00  5.33106E+01  5.45468E+01
    149  1.64324E+00  1.10875E-02  9.00138E-01  5.27632E-16  8.83996E-04 -8.82054E-07  2.18155E+01 -3.44750E-17  3.17050E-17  8.20889E+01  1.00001E-01  4.29988E-18  6.18413E-06  8.72189E-07  8.96881E+00  5.33106E+01  5.45467E+01
    150  1.65433E+00  1.10875E-02  9.00139E-01  5.30858E-16  8.83996E-04 -8.88140E-07  2.18155E+01 -3.38793E-17  3.15745E-17  8.20984E+01  1.00001E-01  4.40068E-18  6.18419E-06  8.78256E-07  8.96882E+00  5.33107E+01  5.45465E+01
    151  1.66542E+00  1.10875E-02  9.00140E-01  5.27507E-16  8.83996E-04 -8.94221E-07  2.18155E+01 -2.03163E-17  3.12741E-17  8.21078E+01  1.00001E-01  4.45513E-18  6.18426E-06  8.84323E-07  8.96882E+00  5.33104E+01  5.45465E+01
    152  1.67651E+00  1.10875E-02  9.00141E-01  5.45970E-16  8.83996E-04 -9.00294E-07  2.18156E+01  2.06823E-17  3.09276E-17  8.21172E+01  1.00001E-01  4.38445E-18  6.18432E-06  8.90390E-07  8.96883E+00  5.33101E+01  5.45465E+01
    153  1.68759E+00  1.10875E-02  9.00142E-01  5.82987E-16  8.83996E-04 -9.06365E-07  2.18156E+01 -5.08462E-17  3.05788E-17  8.21267E+01  1.00001E-01  4.50133E-18  6.18438E-06  8.96457E-07  8.96883E+00  5.33100E+01  5.45465E+01
    154  1.69868E+00  1.10875E-02  9.00143E-01  5.71761E-16  8.83996E-04 -9.12444E-07  2.18156E+01 -2.38719E-17  3.01504E-17  8.21361E+01  1.00001E-01  4.34212E-18  6.18444E-06  9.02524E-07  8.96884E+00  5.33100E+01  5.45464E+01
    155  1.70977E+00  1.10875E-02  9.00144E-01  5.79617E-16  8.83995E-04 -9.18522E-07  2.18156E+01 -5.62520E-17  2.98215E-17  8.21456E+01  1.00001E-01  4.20587E-18  6.18450E-06  9.08591E-07  8.96884E+00  5.33099E+01  5.45464E+01
    156  1.72086E+00  1.10875E-02  9.00145E-01  5.64577E-16  8.83995E-04 -9.24592E-07  2.18157E+01 -3.37109E-17  2.95927E-17  8.21550E+01  1.00001E-01  4.26270E-18  6.18456E-06  9.14659E-07  8.96885E+00  5.33095E+01  5.45464E+01
    157  1.73194E+00  1.10875E-02  9.00146E-01  6.23556E-16  8.83995E-04 -9.30662E-07  2.18157E+01 -1.57371E-17  2.93372E-17  8.21644E+01  1.00001E-01  4.30125E-18  6.18463E-06  9.20726E-07  8.96885E+00  5.33094E+01  5.45463E+01
    158  1.74303E+00  1.10875E-02  9.00147E-01  6.04709E-16  8.83994E-04 -9.36741E-07  2.18157E+01 -4.93496E-17  2.91832E-17  8.21739E+01  1.00001E-01  4.36972E-18  6.18469E-06  9.26793E-07  8.96886E+00  5.33095E+01  5.45463E+01
    159  1.75412E+00  1.10875E-02  9.00148E-01  5.91661E-16  8.83994E-04 -9.42820E-07  2.18157E+01 -7.70989E-17  2.90484E-17  8.21833E+01  1.00001E-01  4.34727E-18  6.18475E-06  9.32860E-07  8.96887E+00  5.33095E+01  5.45463E+01
    160  1.76521E+00  1.10875E-02  9.00149E-01  5.90037E-16  8.83994E-04 -9.48895E-07  2.18158E+01 -1.22389E-17  2.89676E-17  8.21928E+01  1.00001E-01  4.61725E-18  6.18481E-06  9.38927E-07  8.96887E+00  5.33091E+01  5.45464E+01
    161  1.77629E+00  1.10875E-02  9.00150E-01  5.67773E-16  8.83994E-04 -9.54978E-07  2.18158E+01  2.32452E-17  2.86641E-17  8.22022E+01  1.00001E-01  4.78792E-18  6.18488E-06  9.44994E-07  8.96888E+00  5.33089E+01  5.45464E+01
    162  1.78738E+00  1.10874E-02  9.00150E-01  5.55549E-16  8.83993E-04 -9.61068E-07  2.18158E+01  1.21514E-17  2.84511E-17  8.22117E+01  1.00001E-01  4.63132E-18  6.18494E-06  9.51061E-07  8.96888E+00  5.33089E+01  5.45464E+01
    163  1.79847E+00  1.10875E-02  9.00151E-01  5.42426E-16  8.83993E-04 -9.67157E-07  2.18158E+01 -3.25715E-17  2.81260E-17  8.22211E+01  1.00001E-01  4.64306E-18  6.18501E-06  9.57128E-07  8.96889E+00  5.33090E+01  5.45463E+01
    164  1.80956E+00  1.10875E-02  9.00152E-01  5.48676E-16  8.83993E-04 -9.73242E-07  2.18158E+01  3.63532E-17  2.77868E-17  8.22305E+01  1.00001E-01  4.72436E-18  6.18507E-06  9.63195E-07  8.96889E+00  5.33087E+01  5.45463E+01
    165  1.82064E+00  1.10874E-02  9.00153E-01  5.45487E-16  8.83992E-04 -9.79333E-07  2.18159E+01 -8.74317E-17  2.75428E-17  8.22400E+01  1.00001E-01  4.76729E-18  6.18514E-06  9.69262E-07  8.96890E+00  5.33085E+01  5.45463E+01
    166  1.83173E+00  1.10874E-02  9.00154E-01  5.50528E-16  8.83992E-04 -9.85430E-07  2.18159E+01 -1.05162E-17  2.72413E-17  8.22494E+01  1.00001E-01  4.77596E-18  6.18521E-06  9.75329E-07  8.96890E+00  5.33084E+01  5.45462E+01
    167  1.84282E+00  1.10874E-02  9.00155E-01  5.80056E-16  8.83992E-04 -9.91522E-07  2.18159E+01 -2.74020E-17  2.69134E-17  8.22589E+01  1.00001E-01  4.92443E-18  6.18528E-06  9.81396E-07  8.96891E+00  5.33085E+01  5.45462E+01
    168  1.85391E+00  1.10874E-02  9.00156E-01  5.41334E-16  8.83992E-04 -9.97607E-07  2.18159E+01  1.13606E-17  2.64400E-17  8.22683E+01  1.00001E-01  4.65355E-18  6.18534E-06  9.87463E-07  8.96891E+00  5.33083E+01  5.45461E+01
    169  1.86499E+00  1.10874E-02  9.00157E-01  5.45263E-16  8.83992E-04 -1.00370E-06  2.18160E+01  5.12273E-17  2.58086E-17  8.22778E+01  1.00001E-01  4.70538E-18  6.18541E-06  9.93530E-07  8.96892E+00  5.33081E+01  5.45461E+01
    170  1.87608E+00  1.10874E-02  9.00158E-01  5.20131E-16  8.83992E-04 -1.00979E-06  2.18160E+01 -1.22021E-17  2.51963E-17  8.22872E+01  1.00001E-01  4.63503E-18  6.18548E-06  9.99597E-07  8.96892E+00  5.33080E+01  5.45460E+01
    171  1.88717E+00  1.10874E-02  9.00159E-01  5.33861E-16  8.83992E-04 -1.01586E-06  2.18160E+01  4.81713E-17  2.46131E-17  8.22967E+01  1.00001E-01  4.65294E-18  6.18556E-06  1.00566E-06  8.96893E+00  5.33080E+01  5.45459E+01
    172  1.89826E+00  1.10874E-02  9.00160E-01  5.30341E-16  8.83992E-04 -1.02192E-06  2.18160E+01 -1.16646E-17  2.40911E-17  8.23061E+01  1.00001E-01  4.65128E-18  6.18563E-06  1.01173E-06  8.96893E+00  5.33079E+01  5.45458E+01
    173  1.90934E+00  1.10874E-02  9.00161E-01  5.39413E-16  8.83992E-04 -1.02799E-06  2.18160E+01  2.12291E-17  2.36043E-17  8.23155E+01  1.00001E-01  4.62399E-18  6.18570E-06  1.01780E-06  8.96894E+00  5.33077E+01  5.45458E+01
    174  1.92043E+00  1.10874E-02  9.00162E-01  5.05256E-16  8.83992E-04 -1.03407E-06  2.18161E+01  1.23748E-18  2.31405E-17  8.23250E+01  1.00001E-01  4.32431E-18  6.18577E-06  1.02386E-06  8.96894E+00  5.33076E+01  5.45458E+01
    175  1.93152E+00  1.10874E-02  9.00163E-01  4.70760E-16  8.83992E-04 -1.04014E-06  2.18161E+01  3.20648E-18  2.29060E-17  8.23344E+01  1.00001E-01  3.99317E-18  6.18584E-06  1.02993E-06  8.96895E+00  5.33076E+01  5.45457E+01
    176  1.94261E+00  1.10874E-02  9.00164E-01  4.87036E-16  8.83992E-04 -1.04619E-06  2.18161E+01  5.00637E-17  2.26974E-17  8.23439E+01  1.00001E-01  3.98719E-18  6.18592E-06  1.03600E-06  8.96895E+00  5.33076E+01  5.45457E+01
    177  1.95369E+00  1.10874E-02  9.00165E-01  4.96733E-16  8.83992E-04 -1.05225E-06  2.18161E+01 -5.10630E-17  2.24987E-17  8.23533E+01  1.00001E-01  3.82032E-18  6.18599E-06  1.04207E-06  8.96896E+00  5.33073E+01  5.45456E+01
    178  1.96478E+00  1.10874E-02  9.00166E-01  4.96315E-16  8.83992E-04 -1.05833E-06  2.18162E+01 -3.64161E-18  2.21592E-17  8.23628E+01  1.00001E-01  3.81473E-18  6.18606E-06  1.04813E-06  8.96896E+00  5.33072E+01  5.45456E+01
    179  1.97587E+00  1.10874E-02  9.00167E-01  4.74878E-16  8.83992E-04 -1.06439E-06  2.18162E+01 -2.30893E-17  2.17908E-17  8.23722E+01  1.00001E-01  3.92220E-18  6.18614E-06  1.05420E-06  8.96897E+00  5.33072E+01  5.45455E+01
    180  1.98696E+00  1.10874E-02  9.00167E-01  4.44790E-16  8.83992E-04 -1.07044E-06  2.18162E+01 -1.30842E-17  2.12858E-17  8.23817E+01  1.00001E-01  4.01981E-18  6.18621E-06  1.06027E-06  8.96897E+00  5.33073E+01  5.45455E+01
    181  1.99804E+00  1.10874E-02  9.00168E-01  4.28053E-16  8.83992E-04 -1.07650E-06  2.18162E+01  4.22318E-17  2.07859E-17  8.23911E+01  1.00001E-01  4.03229E-18  6.18629E-06  1.06633E-06  8.96898E+00  5.33070E+01  5.45454E+01
    182  2.00000E+00  1.95753E-03  9.00169E-01  4.24612E-16  8.83992E-04 -1.07758E-06  2.18162E+01  5.74204E-17  2.07520E-17  8.23928E+01  1.00001E-01  4.02625E-18  6.18630E-06  1.06741E-06  8.96898E+00  5.33070E+01  5.45454E+01
