Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz E Pmin Pmax
      1  0.00000E+00  0.00000E+000  5.62500E-001  0.00000E+000  0.00000E+000  0.00000E+000  6.70820E-001  3.35410E-001  0.00000E+000  1.33125E+000  1.00000E-001  1.00000E+000
      2  1.44413E-01  1.44413E-001  5.62500E-001  1.28164E-003 -8.15617E-004 -8.43841E-010  6.70822E-001  3.35413E-001  2.21478E-009  1.33125E+000  1.00000E-001  1.00452E+000
      3  2.88825E-01  1.44413E-001  5.62500E-001  2.56354E-003 -1.63113E-003 -6.70579E-009  6.70824E-001  3.35419E-001  5.07554E-009  1.33125E+000  1.00000E-001  1.00740E+000
      4  4.33238E-01  1.44413E-001  5.62500E-001  3.84587E-003 -2.44636E-003 -1.99524E-008  6.70826E-001  3.35427E-001  6.66134E-009  1.33125E+000  9.99998E-002  1.00884E+000
      5  5.77651E-01  1.44413E-001  5.62500E-001  5.12869E-003 -3.26117E-003 -4.19177E-008  6.70826E-001  3.35436E-001  6.20513E-009  1.33124E+000  9.99993E-002  1.00896E+000
      6  7.22063E-01  1.44413E-001  5.62500E-001  6.41198E-003 -4.07550E-003 -7.33475E-008  6.70824E-001  3.35446E-001  3.63004E-009  1.33124E+000  9.99985E-002  1.00777E+000
      7  8.66476E-01  1.44413E-001  5.62500E-001  7.69565E-003 -4.88934E-003 -1.14433E-007  6.70821E-001  3.35456E-001 -7.18023E-010  1.33122E+000  9.99971E-002  1.00534E+000
      8  1.01089E+00  1.44413E-001  5.62500E-001  8.97962E-003 -5.70272E-003 -1.65459E-007  6.70817E-001  3.35466E-001 -6.73804E-009  1.33121E+000  9.99947E-002  1.00301E+000
      9  1.15530E+00  1.44413E-001  5.62500E-001  1.02638E-002 -6.51570E-003 -2.26961E-007  6.70812E-001  3.35474E-001 -1.42244E-008  1.33120E+000  9.99922E-002  1.00086E+000
     10  1.29971E+00  1.44413E-001  5.62499E-001  1.15480E-002 -7.32838E-003 -2.99558E-007  6.70806E-001  3.35482E-001 -2.28091E-008  1.33118E+000  9.99901E-002  1.00000E+000
     11  1.44413E+00  1.44413E-001  5.62499E-001  1.28321E-002 -8.14084E-003 -3.83884E-007  6.70800E-001  3.35488E-001 -3.26745E-008  1.33117E+000  9.99874E-002  1.00002E+000
     12  1.58854E+00  1.44413E-001  5.62499E-001  1.41161E-002 -8.95316E-003 -4.80673E-007  6.70794E-001  3.35493E-001 -4.39341E-008  1.33115E+000  9.99844E-002  1.00113E+000
     13  1.73295E+00  1.44413E-001  5.62499E-001  1.53999E-002 -9.76544E-003 -5.90708E-007  6.70789E-001  3.35496E-001 -5.68777E-008  1.33114E+000  9.99807E-002  1.00073E+000
