test point(I,J,K,BLK,PROC):      1     1     1     1     0
it year mo dy hr mn sc msc t X Y Z dtpnt rho Ux Uy Uz Bx By Bz p rhopnt Uxpnt Uypnt Uzpnt ppnt Pmin Pmax Neu1Rhoflx_R=3.0 Neu1Rhoflx_R=4.0
     15 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  9.10848E-14  4.84875E-14 -2.14957E-14  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -3.80924E-10 -3.80924E-10 -3.80924E-10  1.38070E-06  1.38070E-06  1.38070E-06  1.66324E+02  4.19017E+01
     16 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  8.96005E-14  5.11865E-14 -2.23216E-14  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -3.66429E-10 -3.66429E-10 -3.66429E-10  1.38070E-06  1.38070E-06  1.38070E-06  1.92427E+02  5.61600E+01
     17 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  8.80292E-14  5.39211E-14 -2.31951E-14  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -3.53255E-10 -3.53255E-10 -3.53255E-10  1.38070E-06  1.38070E-06  1.38070E-06  2.17646E+02  7.18745E+01
     18 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  8.63545E-14  5.66148E-14 -2.38860E-14  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -3.41218E-10 -3.41218E-10 -3.41218E-10  1.38070E-06  1.38070E-06  1.38070E-06  2.41863E+02  8.87663E+01
     19 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  8.45182E-14  5.91300E-14 -2.41001E-14  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -3.30124E-10 -3.30124E-10 -3.30124E-10  1.38070E-06  1.38070E-06  1.38070E-06  2.65003E+02  1.06572E+02
     20 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  8.24428E-14  6.12905E-14 -2.34927E-14  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -3.19923E-10 -3.19923E-10 -3.19923E-10  1.38070E-06  1.38070E-06  1.38070E-06  2.87025E+02  1.25048E+02
     21 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  8.00196E-14  6.29231E-14 -2.16955E-14  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -3.10533E-10 -3.10533E-10 -3.10533E-10  1.38070E-06  1.38070E-06  1.38070E-06  3.07913E+02  1.43978E+02
     22 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  7.71086E-14  6.38632E-14 -1.83226E-14  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -3.01863E-10 -3.01863E-10 -3.01863E-10  1.38070E-06  1.38070E-06  1.38070E-06  3.27673E+02  1.63167E+02
     23 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  7.35444E-14  6.39671E-14 -1.29863E-14  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -2.93824E-10 -2.93824E-10 -2.93824E-10  1.38070E-06  1.38070E-06  1.38070E-06  3.46321E+02  1.82449E+02
     24 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  6.91591E-14  6.31160E-14 -5.32698E-15  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -2.86376E-10 -2.86376E-10 -2.86376E-10  1.38070E-06  1.38070E-06  1.38070E-06  3.63888E+02  2.01679E+02
     25 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  6.37820E-14  6.12185E-14  4.96526E-15  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -2.79449E-10 -2.79449E-10 -2.79449E-10  1.38070E-06  1.38070E-06  1.38070E-06  3.80411E+02  2.20736E+02
     26 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  5.72580E-14  5.82110E-14  1.81284E-14  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -2.72999E-10 -2.72999E-10 -2.72999E-10  1.38070E-06  1.38070E-06  1.38070E-06  3.95929E+02  2.39515E+02
     27 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  4.94575E-14  5.40577E-14  3.43037E-14  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -2.66979E-10 -2.66979E-10 -2.66979E-10  1.38070E-06  1.38070E-06  1.38070E-06  4.10490E+02  2.57935E+02
     28 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  4.02862E-14  4.87494E-14  5.35196E-14  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -2.61349E-10 -2.61349E-10 -2.61349E-10  1.38070E-06  1.38070E-06  1.38070E-06  4.24139E+02  2.75930E+02
