test point(I,J,K,BLK,PROC):      1     1     1     1     0
it year mo dy hr mn sc msc t X Y Z dtpnt rho Ux Uy Uz Bx By Bz p rhopnt Uxpnt Uypnt Uzpnt ppnt Pmin Pmax Neu1Rhoflx_R=3.0 Neu1Rhoflx_R=4.0
     63 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  8.50084E-14  5.81078E-14 -1.45069E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -8.96346E-11 -8.96578E-11 -8.96989E-11  1.38070E-06  1.38070E-06  1.38070E-06  6.06229E+02  6.01959E+02
     64 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  1.10527E-13  7.48577E-14 -1.84055E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -8.46284E-11 -8.46521E-11 -8.46925E-11  1.38070E-06  1.38070E-06  1.38070E-06  6.07683E+02  6.05484E+02
     65 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  1.35482E-13  9.12914E-14 -2.21551E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -7.96886E-11 -7.97124E-11 -7.97518E-11  1.38070E-06  1.38070E-06  1.38070E-06  6.09059E+02  6.08847E+02
     66 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  1.59643E-13  1.07251E-13 -2.57318E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -7.48176E-11 -7.48414E-11 -7.48795E-11  1.38070E-06  1.38070E-06  1.38070E-06  6.10362E+02  6.12055E+02
     67 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  1.82791E-13  1.22580E-13 -2.91131E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -7.00176E-11 -7.00410E-11 -7.00778E-11  1.38070E-06  1.38070E-06  1.38070E-06  6.11597E+02  6.15115E+02
     68 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  2.04710E-13  1.37138E-13 -3.22758E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -6.52899E-11 -6.53124E-11 -6.53477E-11  1.38070E-06  1.38070E-06  1.38070E-06  6.12767E+02  6.18036E+02
     69 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  2.25166E-13  1.50791E-13 -3.51954E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -6.06347E-11 -6.06564E-11 -6.06901E-11  1.38070E-06  1.38070E-06  1.38070E-06  6.13877E+02  6.20823E+02
     70 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  2.43957E-13  1.63439E-13 -3.78482E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -5.60525E-11 -5.60732E-11 -5.61051E-11  1.38070E-06  1.38070E-06  1.38070E-06  6.14929E+02  6.23485E+02
     71 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  2.60860E-13  1.74972E-13 -4.02078E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -5.15438E-11 -5.15631E-11 -5.15931E-11  1.38070E-06  1.38070E-06  1.38070E-06  6.15927E+02  6.26026E+02
     72 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  2.75667E-13  1.85231E-13 -4.22465E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -4.71093E-11 -4.71272E-11 -4.71553E-11  1.38070E-06  1.38070E-06  1.38070E-06  6.16874E+02  6.28453E+02
     73 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  2.88183E-13  1.94072E-13 -4.39368E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -4.27510E-11 -4.27674E-11 -4.27935E-11  1.38070E-06  1.38070E-06  1.38070E-06  6.17773E+02  6.30772E+02
     74 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  2.98224E-13  2.01374E-13 -4.52507E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -3.84834E-11 -3.84982E-11 -3.85221E-11  1.38070E-06  1.38070E-06  1.38070E-06  6.18627E+02  6.32987E+02
     75 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  3.05704E-13  2.07021E-13 -4.61658E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -3.43110E-11 -3.43242E-11 -3.43459E-11  1.38070E-06  1.38070E-06  1.38070E-06  6.19438E+02  6.35103E+02
     76 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  3.10519E-13  2.10847E-13 -4.66677E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -3.02305E-11 -3.02421E-11 -3.02616E-11  1.38070E-06  1.38070E-06  1.38070E-06  6.20208E+02  6.37126E+02
     77 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  3.12536E-13  2.12698E-13 -4.67436E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -2.62455E-11 -2.62554E-11 -2.62726E-11  1.38070E-06  1.38070E-06  1.38070E-06  6.20939E+02  6.39059E+02
     78 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  3.11730E-13  2.12518E-13 -4.63870E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -2.23601E-11 -2.23683E-11 -2.23830E-11  1.38070E-06  1.38070E-06  1.38070E-06  6.21635E+02  6.40908E+02
     79 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  3.08016E-13  2.10273E-13 -4.55887E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -1.85792E-11 -1.85858E-11 -1.85979E-11  1.38070E-06  1.38070E-06  1.38070E-06  6.22296E+02  6.42675E+02
     80 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  3.01308E-13  2.05963E-13 -4.43390E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -1.49198E-11 -1.49249E-11 -1.49343E-11  1.38070E-06  1.38070E-06  1.38070E-06  6.22925E+02  6.44364E+02
     81 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  7.23104E-05  4.15379E+01 -1.66014E-01  1.87502E-03  9.49478E-04 -1.68029E-03  4.14132E-04  6.41795E-10  5.91235E-06  1.02309E+00 -1.31256E+00  2.94039E-02  2.91469E-02  6.35275E-06  1.39105E-06  1.49469E-03  6.22931E+02  6.44374E+02
     82 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  2.56555E-04  1.35163E+02 -7.31483E-01  1.43585E-03  1.35768E-03 -4.72849E-03  2.10411E-03  2.47402E-09  1.86550E-05  1.04954E+00 -5.77059E+00  1.69776E-01  1.66845E-01  2.39432E-05  1.42000E-06  6.10875E-03  6.22938E+02  6.44386E+02
     83 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  6.39032E-04  5.30162E+02 -1.75431E+00 -1.43049E-04  1.67492E-03 -1.30894E-02  8.20390E-03  1.29976E-08  6.91102E-05  1.11550E+00 -1.59132E+01  4.91853E-01  4.82455E-01  6.75152E-05  1.53692E-06  2.73537E-02  6.22952E+02  6.44409E+02
     84 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  2.81366E-03  2.13174E+03 -2.89528E+00  8.96082E-04  9.50815E-04 -3.69422E-02  2.11387E-02 -2.68697E-08  2.34994E-04  1.40431E+00 -4.86671E+01  1.55339E+00  1.52169E+00  2.55492E-04  1.98321E-06  1.25125E-01  6.22993E+02  6.44486E+02
     85 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  5.22907E-03  4.99753E+03 -3.81652E+00  3.94806E-03 -3.07987E-05 -6.19255E-02  3.97593E-02  2.18610E-08  5.16536E-04  1.91767E+00 -8.11511E+01  2.69155E+00  2.63266E+00  5.76538E-04  2.95628E-06  2.21472E-01  6.23054E+02  6.44648E+02
     86 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  5.10821E-03  8.21322E+03 -4.55639E+00  4.55959E-03  7.67267E-05 -9.63847E-02  7.15115E-02  1.40916E-07  8.70586E-04  2.39632E+00 -9.82492E+01  3.30674E+00  3.23139E+00  8.63459E-04  3.45475E-06  3.14936E-01  6.23114E+02  6.44811E+02
     87 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  3.00739E-06  1.19999E+04 -4.99319E+00  3.76273E-03  1.76386E-04 -1.37639E-01  1.14310E-01  2.36633E-07  1.31136E-03  2.39661E+00 -9.82565E+01  3.30702E+00  3.23166E+00  8.63874E-04  4.08334E-06  4.05456E-01  6.23174E+02  6.44973E+02
     88 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  1.38103E-05  1.67506E+04 -5.15749E+00  2.73532E-03  4.13651E-04 -1.84955E-01  1.63988E-01  2.18302E-07  1.85285E-03  2.39814E+00 -9.82909E+01  3.30823E+00  3.23287E+00  8.65855E-04  7.73636E-06  4.92993E-01  6.23233E+02  6.45135E+02
     89 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  6.39327E-05  2.15759E+04 -5.18857E+00  2.06783E-03  6.96652E-04 -2.32672E-01  2.19839E-01  6.95571E-07  2.43489E-03  2.40525E+00 -9.84487E+01  3.31371E+00  3.23833E+00  8.75000E-04  9.01605E-06  5.77528E-01  6.23291E+02  6.45294E+02
     90 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  2.93196E-04  2.63457E+04 -5.19117E+00  1.50276E-03  1.13128E-03 -2.78513E-01  2.72287E-01  1.89067E-06  3.02006E-03  2.43814E+00 -9.91554E+01  3.33752E+00  3.26206E+00  9.17048E-04  1.35917E-05  6.59056E-01  6.23349E+02  6.45451E+02
     91 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  1.28943E-03  3.10080E+04 -5.20065E+00  6.94763E-04  1.39398E-03 -3.23068E-01  3.22482E-01  3.29550E-06  3.61835E-03  2.58518E+00 -1.01981E+02  3.42453E+00  3.34879E+00  1.10698E-03  2.49966E-05  7.37590E-01  6.23407E+02  6.45606E+02
     92 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.95125E-03  3.55866E+04 -5.19679E+00 -3.05089E-04  1.65948E-03 -3.68168E-01  3.78480E-01  4.64065E-06  4.28802E-03  3.15331E+00 -1.09939E+02  3.63394E+00  3.56192E+00  1.95552E-03  3.63319E-05  8.13153E-01  6.23464E+02  6.45759E+02
     93 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.89512E-03  4.00624E+04 -5.17901E+00 -1.35319E-03  2.07728E-03 -4.14238E-01  4.42284E-01  5.87913E-06  5.06647E-03  3.69262E+00 -1.14509E+02  3.72133E+00  3.66190E+00  3.15728E-03  4.87321E-05  8.85780E-01  6.23521E+02  6.45912E+02
     94 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.86066E-03  4.44978E+04 -5.14384E+00 -2.26597E-03  2.46497E-03 -4.60717E-01  5.11822E-01  7.23161E-06  5.97878E-03  4.23914E+00 -1.16943E+02  3.71669E+00  3.67789E+00  4.55590E-03  6.59942E-05  9.55517E-01  6.23578E+02  6.46064E+02
     95 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.83698E-03  4.88755E+04 -5.10430E+00 -3.09564E-03  2.73994E-03 -5.07047E-01  5.85049E-01  8.43602E-06  7.03667E-03  4.79182E+00 -1.17943E+02  3.65057E+00  3.63825E+00  6.05467E-03  8.87933E-05  1.02242E+00  6.23635E+02  6.46215E+02
     96 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.74207E-03  5.32062E+04 -5.05606E+00 -3.92652E-03  2.95907E-03 -5.51318E-01  6.58015E-01  9.62945E-06  8.20355E-03  5.34120E+00 -1.18199E+02  3.55057E+00  3.56752E+00  7.56978E-03  1.17626E-04  1.08654E+00  6.23691E+02  6.46366E+02
     97 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.67862E-03  5.75045E+04 -5.00096E+00 -4.71058E-03  3.19046E-03 -5.93413E-01  7.30185E-01  1.08343E-05  9.45508E-03  5.88769E+00 -1.17883E+02  3.42614E+00  3.47431E+00  9.04936E-03  1.44505E-04  1.14795E+00  6.23747E+02  6.46516E+02
     98 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.63863E-03  6.17615E+04 -4.94050E+00 -5.44238E-03  3.40957E-03 -6.33497E-01  8.01538E-01  1.19353E-05  1.07792E-02  6.43194E+00 -1.17125E+02  3.28460E+00  3.36493E+00  1.04604E-02  1.73293E-04  1.20672E+00  6.23803E+02  6.46666E+02
     99 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.61626E-03  6.59522E+04 -4.87550E+00 -6.12198E-03  3.62371E-03 -6.71724E-01  8.72058E-01  1.29814E-05  1.21683E-02  6.97480E+00 -1.16032E+02  3.13177E+00  3.24387E+00  1.17830E-02  2.06072E-04  1.26292E+00  6.23859E+02  6.46815E+02
    100 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.60723E-03  7.00581E+04 -4.80652E+00 -6.73524E-03  3.83965E-03 -7.08235E-01  9.41733E-01  1.39597E-05  1.36186E-02  7.51688E+00 -1.14701E+02  2.97193E+00  3.11507E+00  1.30057E-02  2.42952E-04  1.31664E+00  6.23914E+02  6.46964E+02
    101 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.60836E-03  7.40597E+04 -4.73399E+00 -7.28500E-03  4.05063E-03 -7.43148E-01  1.01055E+00  1.48485E-05  1.51276E-02  8.05858E+00 -1.13185E+02  2.80936E+00  2.98176E+00  1.41233E-02  2.83978E-04  1.36795E+00  6.23969E+02  6.47112E+02
    102 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.51211E-03  7.79438E+04 -4.65231E+00 -7.74152E-03  4.22275E-03 -7.75436E-01  1.07659E+00  1.54370E-05  1.65747E-02  8.58891E+00 -1.11693E+02  2.65148E+00  2.85021E+00  1.48931E-02  3.22717E-04  1.41693E+00  6.24024E+02  6.47259E+02
    103 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.44656E-03  8.16878E+04 -4.56211E+00 -8.13890E-03  4.37596E-03 -8.05957E-01  1.14024E+00  1.56267E-05  1.79720E-02  9.11015E+00 -1.10333E+02  2.50067E+00  2.72196E+00  1.54189E-02  3.60023E-04  1.46367E+00  6.24079E+02  6.47406E+02
    104 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.40049E-03  8.52922E+04 -4.46414E+00 -8.48930E-03  4.51758E-03 -8.34967E-01  1.20152E+00  1.53247E-05  1.93264E-02  9.62394E+00 -1.09107E+02  2.35627E+00  2.59664E+00  1.57705E-02  3.96454E-04  1.50826E+00  6.24133E+02  6.47553E+02
    105 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.36761E-03  8.87636E+04 -4.36029E+00 -8.79449E-03  4.65585E-03 -8.62617E-01  1.26049E+00  1.44686E-05  2.06428E-02  1.01455E+01 -1.07904E+02  2.21330E+00  2.46982E+00  1.59966E-02  4.32394E-04  1.55077E+00  6.24187E+02  6.47698E+02
    106 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.34489E-03  9.21306E+04 -4.25029E+00 -9.07788E-03  4.79759E-03 -8.89015E-01  1.31725E+00  1.30406E-05  2.19257E-02  1.06784E+01 -1.06691E+02  2.07142E+00  2.34110E+00  1.61292E-02  4.52096E-04  1.59130E+00  6.24241E+02  6.47844E+02
    107 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.32966E-03  9.54047E+04 -4.13534E+00 -9.35468E-03  4.94623E-03 -9.14261E-01  1.37195E+00  1.10258E-05  2.31777E-02  1.12198E+01 -1.05475E+02  1.93197E+00  2.21187E+00  1.61912E-02  4.64078E-04  1.62994E+00  6.24295E+02  6.47989E+02
    108 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.31979E-03  9.85967E+04 -4.01841E+00 -9.62642E-03  5.10108E-03 -9.38446E-01  1.42474E+00  8.42308E-06  2.44014E-02  1.17675E+01 -1.04259E+02  1.79585E+00  2.08317E+00  1.61997E-02  4.74944E-04  1.66678E+00  6.24348E+02  6.48133E+02
    109 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.31377E-03  1.01715E+05 -3.90175E+00 -9.89296E-03  5.26147E-03 -9.61649E-01  1.47576E+00  5.22923E-06  2.55982E-02  1.23198E+01 -1.03043E+02  1.66365E+00  1.95575E+00  1.61675E-02  4.84770E-04  1.70192E+00  6.24402E+02  6.48277E+02
    110 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.31053E-03  1.04772E+05 -3.78699E+00 -1.01533E-02  5.42707E-03 -9.83944E-01  1.52515E+00  1.45431E-06  2.67698E-02  1.28681E+01 -1.01862E+02  1.53584E+00  1.83031E+00  1.60915E-02  4.91824E-04  1.73546E+00  6.24455E+02  6.48421E+02
    111 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.30114E-03  1.07770E+05 -3.67522E+00 -1.04055E-02  5.59702E-03 -1.00540E+00  1.57304E+00 -2.90092E-06  2.79168E-02  1.34072E+01 -1.00734E+02  1.41285E+00  1.70749E+00  1.59763E-02  4.98096E-04  1.76754E+00  6.24508E+02  6.48566E+02
    112 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.27781E-03  1.10715E+05 -3.56706E+00 -1.06491E-02  5.77102E-03 -1.02607E+00  1.61955E+00 -7.80850E-06  2.90399E-02  1.39347E+01 -9.96744E+01  1.29504E+00  1.58788E+00  1.58315E-02  5.03750E-04  1.79829E+00  6.24562E+02  6.48710E+02
    113 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.25674E-03  1.13615E+05 -3.46284E+00 -1.08836E-02  5.94934E-03 -1.04602E+00  1.66479E+00 -1.32485E-05  3.01398E-02  1.44498E+01 -9.86648E+01  1.18267E+00  1.47198E+00  1.56590E-02  5.08949E-04  1.82791E+00  6.24616E+02  6.48856E+02
    114 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.23766E-03  1.16482E+05 -3.36270E+00 -1.11088E-02  6.13191E-03 -1.06529E+00  1.70884E+00 -1.91865E-05  3.12177E-02  1.49533E+01 -9.76966E+01  1.07543E+00  1.35973E+00  1.54665E-02  5.13845E-04  1.85664E+00  6.24671E+02  6.49004E+02
    115 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.22033E-03  1.19343E+05 -3.26665E+00 -1.13252E-02  6.31833E-03 -1.08392E+00  1.75179E+00 -2.55842E-05  3.22758E-02  1.54460E+01 -9.67632E+01  9.73019E-01  1.25103E+00  1.52603E-02  5.18166E-04  1.88484E+00  6.24729E+02  6.49156E+02
    116 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.20457E-03  1.22243E+05 -3.17461E+00 -1.15324E-02  6.50882E-03 -1.10195E+00  1.79373E+00 -3.24036E-05  3.33175E-02  1.59286E+01 -9.58595E+01  8.75146E-01  1.14579E+00  1.50455E-02  5.21715E-04  1.91310E+00  6.24790E+02  6.49316E+02
    117 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.19019E-03  1.25248E+05 -3.08645E+00 -1.17303E-02  6.70265E-03 -1.11943E+00  1.83472E+00 -3.96175E-05  3.43483E-02  1.64021E+01 -9.49817E+01  7.81519E-01  1.04388E+00  1.48261E-02  5.25590E-04  1.94244E+00  6.24859E+02  6.49491E+02
    118 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.17705E-03  1.28434E+05 -3.00202E+00 -1.19188E-02  6.89851E-03 -1.13638E+00  1.87483E+00 -4.71852E-05  3.53741E-02  1.68670E+01 -9.41268E+01  6.91867E-01  9.45170E-01  1.46053E-02  5.29918E-04  1.97507E+00  6.24935E+02  6.49683E+02
    119 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.16501E-03  1.32092E+05 -2.92117E+00 -1.20978E-02  7.09543E-03 -1.15282E+00  1.91412E+00 -5.50685E-05  3.64177E-02  1.73241E+01 -9.32925E+01  6.05935E-01  8.49544E-01  1.43857E-02  5.34803E-04  2.01751E+00  6.25027E+02  6.49911E+02
    120 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.15395E-03  1.37076E+05 -2.84370E+00 -1.22672E-02  7.29269E-03 -1.16880E+00  1.95265E+00 -6.32352E-05  3.75450E-02  1.77740E+01 -9.24769E+01  5.23488E-01  7.56877E-01  1.41692E-02  5.40340E-04  2.06892E+00  6.25165E+02  6.50250E+02
    121 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.14378E-03  1.42455E+05 -2.76946E+00 -1.24270E-02  7.48997E-03 -1.18433E+00  1.99047E+00 -7.16425E-05  3.86851E-02  1.82173E+01 -9.16783E+01  4.44307E-01  6.67051E-01  1.39575E-02  5.46610E-04  2.11378E+00  6.25302E+02  6.50625E+02
    122 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.13440E-03  1.47749E+05 -2.69825E+00 -1.25774E-02  7.68715E-03 -1.19943E+00  2.02763E+00 -8.02640E-05  3.98013E-02  1.86547E+01 -9.08954E+01  3.68193E-01  5.79951E-01  1.37515E-02  5.53681E-04  2.15240E+00  6.25438E+02  6.50996E+02
    123 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.12575E-03  1.52853E+05 -2.62993E+00 -1.27185E-02  7.88379E-03 -1.21413E+00  2.06417E+00 -8.90723E-05  4.08865E-02  1.90865E+01 -9.01269E+01  2.94965E-01  4.95475E-01  1.35523E-02  5.61614E-04  2.18567E+00  6.25571E+02  6.51364E+02
    124 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.11774E-03  1.57706E+05 -2.56434E+00 -1.28507E-02  8.07934E-03 -1.22845E+00  2.10014E+00 -9.80339E-05  4.19364E-02  1.95133E+01 -8.93719E+01  2.24460E-01  4.13528E-01  1.33604E-02  5.70456E-04  2.21434E+00  6.25703E+02  6.51728E+02
    125 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.11031E-03  1.62324E+05 -2.50134E+00 -1.29740E-02  8.27313E-03 -1.24240E+00  2.13557E+00 -1.07116E-04  4.29529E-02  1.99357E+01 -8.86295E+01  1.56530E-01  3.34020E-01  1.31762E-02  5.80243E-04  2.23906E+00  6.25833E+02  6.52087E+02
    126 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.10342E-03  1.66663E+05 -2.44079E+00 -1.30889E-02  8.46522E-03 -1.25599E+00  2.17050E+00 -1.16292E-04  4.39334E-02  2.03539E+01 -8.78987E+01  9.10410E-02  2.56874E-01  1.30000E-02  5.90296E-04  2.26039E+00  6.25962E+02  6.52442E+02
    127 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.09702E-03  1.70730E+05 -2.38254E+00 -1.31956E-02  8.65488E-03 -1.26926E+00  2.20496E+00 -1.25532E-04  4.48789E-02  2.07684E+01 -8.71790E+01  2.78721E-02  1.82014E-01  1.28318E-02  6.00373E-04  2.27882E+00  6.26088E+02  6.52793E+02
    128 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.09105E-03  1.74555E+05 -2.32649E+00 -1.32943E-02  8.84160E-03 -1.28222E+00  2.23898E+00 -1.34806E-04  4.57928E-02  2.11795E+01 -8.64695E+01 -3.30866E-02  1.09373E-01  1.26718E-02  6.11216E-04  2.29476E+00  6.26213E+02  6.53139E+02
    129 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.08548E-03  1.78171E+05 -2.27252E+00 -1.33854E-02  9.02511E-03 -1.29487E+00  2.27259E+00 -1.44091E-04  4.66780E-02  2.15877E+01 -8.57698E+01 -9.19349E-02  3.88887E-02  1.25198E-02  6.22846E-04  2.30857E+00  6.26337E+02  6.53481E+02
    130 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.08027E-03  1.81558E+05 -2.22052E+00 -1.34687E-02  9.20499E-03 -1.30724E+00  2.30582E+00 -1.53356E-04  4.75340E-02  2.19933E+01 -8.50792E+01 -1.48764E-01 -2.94980E-02  1.23758E-02  6.35283E-04  2.32055E+00  6.26458E+02  6.53819E+02
