Volume averages, fluxes, etc
it dt rho Hp O2p Op CO2p mx my mz bx by bz e Pmin Pmax
     26  0.00000E+00  4.44847E+01  1.00001E+00  2.00139E+00  1.40317E-03  1.74680E-01 -9.36625E-15 -4.80017E-22 -4.31918E-22 -8.50077E-09  1.50001E+01  1.05236E-11  2.04139E-09  1.26854E-03  1.43285E+02
     27  0.00000E+00  4.45635E+01  1.00001E+00  2.00671E+00  1.39981E-03  1.74995E-01 -9.36624E-15 -4.63738E-22 -5.02720E-22 -8.75074E-09  1.50001E+01  7.73972E-12  2.04142E-09  1.04887E-03  1.80005E+02
     28  0.00000E+00  4.46449E+01  1.00001E+00  2.01219E+00  1.39662E-03  1.75331E-01 -9.36623E-15 -4.42267E-22 -5.79251E-22 -9.80404E-09  1.50001E+01  4.93492E-12  2.04147E-09  8.73085E-04  2.25529E+02
     29  0.00000E+00  4.47292E+01  1.00001E+00  2.01785E+00  1.39360E-03  1.75690E-01 -9.36621E-15 -4.13432E-22 -6.31277E-22 -9.06397E-09  1.50001E+01 -8.62160E-13  2.04152E-09  7.32527E-04  2.81779E+02
     30  0.00000E+00  4.48168E+01  1.00001E+00  2.02373E+00  1.39078E-03  1.76074E-01 -9.36620E-15 -3.72186E-22 -7.63324E-22 -9.25103E-09  1.50001E+01 -4.74041E-12  2.04159E-09  6.20188E-04  3.51044E+02
     31  0.00000E+00  4.49075E+01  1.00001E+00  2.02980E+00  1.38821E-03  1.76482E-01 -9.36618E-15 -3.50730E-22 -7.82173E-22 -7.62681E-09  1.50001E+01 -2.50556E-11  2.04167E-09  5.30444E-04  4.36036E+02
     32  0.00000E+00  4.50018E+01  1.00001E+00  2.03610E+00  1.38585E-03  1.76917E-01 -9.36615E-15 -3.18426E-22 -9.67187E-22 -7.64195E-09  1.50001E+01 -3.11900E-11  2.04177E-09  4.59111E-04  5.39951E+02
     33  0.00000E+00  4.51000E+01  1.00001E+00  2.04265E+00  1.38357E-03  1.77381E-01 -9.36612E-15 -2.71167E-22 -1.23820E-21 -1.03450E-08  1.50001E+01 -2.38943E-11  2.04188E-09  4.03164E-04  6.66537E+02
     34  0.00000E+00  4.52025E+01  1.00001E+00  2.04948E+00  1.38142E-03  1.77875E-01 -9.36609E-15 -3.08624E-22 -1.33931E-21 -5.82621E-09  1.50001E+01  2.43441E-10  2.04202E-09  3.59602E-04  8.20168E+02
     35  0.00000E+00  4.53090E+01  1.00001E+00  2.05657E+00  1.37948E-03  1.78398E-01 -9.36604E-15 -2.98008E-22 -1.20013E-21 -8.25325E-09  1.50001E+01  4.08618E-10  2.04218E-09  3.26060E-04  1.00592E+03
     36  0.00000E+00  4.54197E+01  1.00001E+00  2.06392E+00  1.37776E-03  1.78952E-01 -9.36598E-15 -2.86966E-22 -1.42679E-21 -7.71001E-09  1.50001E+01  4.79139E-10  2.04238E-09  3.00747E-04  1.22966E+03
     37  0.00000E+00  4.55345E+01  1.00001E+00  2.07154E+00  1.37609E-03  1.79536E-01 -9.36590E-15 -2.00354E-22 -1.37603E-21 -6.23933E-09  1.50001E+01  4.51204E-10  2.04261E-09  2.82397E-04  1.49812E+03
     38  0.00000E+00  4.56541E+01  1.00001E+00  2.07947E+00  1.37455E-03  1.80152E-01 -9.36581E-15 -1.75347E-22 -1.25611E-21 -8.93730E-09  1.50001E+01  4.93434E-10  2.04288E-09  2.70377E-04  1.81732E+03
     39  0.00000E+00  4.57777E+01  1.00001E+00  2.08765E+00  1.37320E-03  1.80797E-01 -9.36570E-15 -2.23258E-22 -1.66862E-21 -6.23963E-09  1.50001E+01  4.64378E-10  2.04320E-09  2.47554E-04  2.17725E+03
     40  0.00000E+00  4.59053E+01  1.00001E+00  2.09610E+00  1.37198E-03  1.81471E-01 -9.36556E-15 -2.47393E-22 -2.01394E-21 -5.53319E-09  1.50001E+01  4.60359E-10  2.04357E-09  2.06561E-04  2.59259E+03
     41  0.00000E+00  4.60363E+01  1.00001E+00  2.10476E+00  1.37086E-03  1.82168E-01 -9.36540E-15  2.23377E-22 -1.55755E-21 -3.00612E-09  1.50001E+01  3.59709E-10  2.04400E-09  1.73953E-04  3.05802E+03
     42  0.00000E+00  4.61707E+01  1.00001E+00  2.11364E+00  1.36987E-03  1.82889E-01 -9.36520E-15  8.01318E-22 -7.65592E-22 -1.10352E-09  1.50001E+01  2.22969E-10  2.04449E-09  1.48293E-04  3.58624E+03
     43  0.00000E+00  4.63075E+01  1.00001E+00  2.12268E+00  1.36903E-03  1.83627E-01 -9.36497E-15  1.34957E-21  1.90082E-22  8.79617E-10  1.50001E+01  5.74481E-11  2.04505E-09  1.28211E-04  4.17086E+03
     44  0.00000E+00  4.64470E+01  1.00001E+00  2.13188E+00  1.36833E-03  1.84382E-01 -9.36470E-15  1.34588E-21  5.87526E-22  4.10633E-09  1.50001E+01 -1.48587E-11  2.04568E-09  1.12599E-04  4.82272E+03
     45  0.00000E+00  4.65884E+01  1.00001E+00  2.14121E+00  1.36772E-03  1.85151E-01 -9.36440E-15  1.25479E-21  3.69410E-22  4.82863E-09  1.50001E+01 -4.51403E-11  2.04639E-09  1.00567E-04  5.54467E+03
     46  0.00000E+00  4.67315E+01  1.00001E+00  2.15066E+00  1.36720E-03  1.85931E-01 -9.36405E-15  9.58781E-22 -7.62571E-23 -6.85047E-09  1.50001E+01 -5.76938E-11  2.04718E-09  9.14084E-05  6.33871E+03
     47  0.00000E+00  4.68760E+01  1.00001E+00  2.16019E+00  1.36682E-03  1.86720E-01 -9.36366E-15  4.68170E-22 -8.36870E-22 -6.19255E-09  1.50001E+01  2.10197E-11  2.04806E-09  8.45828E-05  7.21667E+03
     48  0.00000E+00  4.70215E+01  1.00001E+00  2.16979E+00  1.36655E-03  1.87517E-01 -9.36323E-15 -2.15588E-22 -1.93390E-21 -6.52161E-09  1.50001E+01  1.10806E-10  2.04903E-09  7.96939E-05  8.17646E+03
     49  0.00000E+00  4.71679E+01  1.00001E+00  2.17944E+00  1.36634E-03  1.88319E-01 -9.36275E-15 -1.14432E-21 -3.46492E-21 -2.25013E-09  1.50001E+01  1.49203E-10  2.05010E-09  7.65137E-05  9.21680E+03
     50  0.00000E+00  4.73151E+01  1.00001E+00  2.18915E+00  1.36619E-03  1.89126E-01 -9.36222E-15 -2.63359E-21 -6.97776E-21  3.06473E-09  1.50001E+01  6.41403E-10  2.05126E-09  7.49155E-05  1.03606E+04
