Volume averages, fluxes, etc
it rho mx my mz bx by bz p pmin pmax jin jout jinmax joutmax
     27  8.10015E-03 -8.32453E-18 -1.50272E-23 -3.99510E-22  5.90156E-02 -1.72778E-02  5.58145E-03  2.19935E-06  1.11835E-06  3.51646E-03 -1.70230E-08  2.01592E-08 -2.02113E-07  4.76752E-07
     28  8.10016E-03 -8.32423E-18 -1.61070E-23 -4.15884E-22  5.89971E-02 -1.72767E-02  5.54790E-03  2.20859E-06  1.11835E-06  3.65027E-03 -1.69365E-08  1.92077E-08 -1.98059E-07  4.45501E-07
     29  8.10017E-03 -8.32393E-18 -1.72264E-23 -4.32853E-22  5.89787E-02 -1.72756E-02  5.51532E-03  2.21901E-06  1.11834E-06  3.79075E-03 -1.68451E-08  1.84909E-08 -1.95745E-07  4.20574E-07
     30  8.10018E-03 -8.32362E-18 -1.83881E-23 -4.50472E-22  5.89603E-02 -1.72744E-02  5.48378E-03  2.23072E-06  1.11834E-06  4.04088E-03 -1.67802E-08  1.80106E-08 -1.94912E-07  4.01657E-07
     31  8.10019E-03 -8.32329E-18 -1.95938E-23 -4.68785E-22  5.89420E-02 -1.72732E-02  5.45335E-03  2.24384E-06  1.11833E-06  4.29805E-03 -1.67119E-08  1.77091E-08 -1.95185E-07  3.88141E-07
     32  8.10021E-03 -8.32296E-18 -2.08420E-23 -4.87829E-22  5.89238E-02 -1.72719E-02  5.42408E-03  2.25849E-06  1.11833E-06  4.52341E-03 -1.66787E-08  1.75732E-08 -1.96318E-07  3.78932E-07
     33  8.10022E-03 -8.32262E-18 -2.21363E-23 -5.07629E-22  5.89057E-02 -1.72706E-02  5.39605E-03  2.27477E-06  1.11832E-06  4.75426E-03 -1.66333E-08  1.75238E-08 -1.98136E-07  3.72970E-07
     34  8.10023E-03 -8.32227E-18 -2.34793E-23 -5.28217E-22  5.88877E-02 -1.72693E-02  5.36929E-03  2.29277E-06  1.11832E-06  5.00069E-03 -1.65757E-08  1.75418E-08 -2.00512E-07  3.69321E-07
     35  8.10025E-03 -8.32190E-18 -2.48707E-23 -5.49636E-22  5.88698E-02 -1.72679E-02  5.34387E-03  2.31257E-06  1.11831E-06  5.28506E-03 -1.65107E-08  1.76094E-08 -2.03391E-07  3.67176E-07
     36  8.10027E-03 -8.32153E-18 -2.63119E-23 -5.71913E-22  5.88520E-02 -1.72665E-02  5.31984E-03  2.33421E-06  1.11831E-06  5.58608E-03 -1.64517E-08  1.77108E-08 -2.06667E-07  3.65758E-07
     37  8.10028E-03 -8.32115E-18 -2.78057E-23 -5.95073E-22  5.88343E-02 -1.72651E-02  5.29721E-03  2.35768E-06  1.11830E-06  5.82575E-03 -1.64016E-08  1.78251E-08 -2.10371E-07  3.64576E-07
