Volume averages, fluxes, etc
it t dt rho mx my mz bx by bz e Pmin Pmax
     31  2.07922E+01  7.30201E-01  5.00000E+00 -3.34476E-15 -2.25900E-36 -2.25900E-36  0.00000E+00  7.54641E-20  9.89714E-01  6.79765E-10  6.90277E-03  2.75343E-01
     32  2.15225E+01  7.30253E-01  5.00000E+00 -3.34475E-15  0.00000E+00  5.64751E-36  1.23839E-19  8.66870E-19  9.89341E-01  6.79764E-10  6.90296E-03  2.78332E-01
     33  2.22528E+01  7.30301E-01  5.00000E+00 -3.34473E-15 -1.69425E-36  0.00000E+00 -2.47677E-19 -2.79604E-19  9.88968E-01  6.79764E-10  6.90306E-03  2.81104E-01
     34  2.29831E+01  7.30347E-01  5.00000E+00 -3.34472E-15  5.64751E-36 -1.69425E-36  4.95354E-19  2.63157E-19  9.88594E-01  6.79763E-10  6.90316E-03  2.83695E-01
     35  2.37135E+01  7.30390E-01  5.00000E+00 -3.34470E-15  1.12950E-36  1.12950E-36 -2.47677E-19 -2.89279E-19  9.88221E-01  6.79763E-10  6.90324E-03  2.86132E-01
     36  2.44440E+01  7.30433E-01  5.00000E+00 -3.34469E-15  0.00000E+00 -2.25900E-36 -4.95354E-19  1.29643E-19  9.87848E-01  6.79762E-10  6.90328E-03  2.88441E-01
     37  2.51744E+01  7.30474E-01  5.00000E+00 -3.34468E-15  6.77701E-36  1.12950E-36  7.43031E-19  4.83744E-21  9.87475E-01  6.79762E-10  6.90332E-03  2.90642E-01
     38  2.59050E+01  7.30514E-01  5.00000E+00 -3.34466E-15 -6.77701E-36  0.00000E+00 -4.95354E-19  1.88660E-19  9.87102E-01  6.79761E-10  6.90336E-03  2.92755E-01
     39  2.66355E+01  7.30555E-01  5.00000E+00 -3.34465E-15  1.01655E-35  2.25900E-36  4.95354E-19  2.22522E-19  9.86729E-01  6.79761E-10  6.90339E-03  2.94793E-01
     40  2.73661E+01  7.30595E-01  5.00000E+00 -3.34464E-15 -3.38851E-36 -2.25900E-36 -2.47677E-19  7.06267E-20  9.86356E-01  6.79761E-10  6.90341E-03  2.96769E-01
     41  2.80967E+01  7.30636E-01  5.00000E+00 -3.34462E-15  4.51801E-36  2.25900E-36 -7.43031E-19  2.11880E-19  9.85983E-01  6.79760E-10  6.90343E-03  2.98693E-01
     42  2.88274E+01  7.30677E-01  5.00000E+00 -3.34461E-15  2.25900E-36 -1.12950E-36  2.47677E-19  1.20936E-19  9.85610E-01  6.79760E-10  6.90344E-03  3.00574E-01
     43  2.95581E+01  7.30719E-01  5.00000E+00 -3.34460E-15 -2.25900E-36  7.90651E-36  1.23839E-18  1.38351E-19  9.85237E-01  6.79760E-10  6.90345E-03  3.02419E-01
     44  3.02889E+01  7.30761E-01  5.00000E+00 -3.34458E-15  4.51801E-36  7.90651E-36 -1.73374E-18 -5.80493E-20  9.84864E-01  6.79759E-10  6.90346E-03  3.04233E-01
     45  3.10197E+01  7.30804E-01  5.00000E+00 -3.34457E-15  4.51801E-36  6.77701E-36 -1.48606E-18 -1.29643E-19  9.84491E-01  6.79759E-10  6.90347E-03  3.06021E-01
     46  3.17506E+01  7.30848E-01  5.00000E+00 -3.34456E-15 -9.03601E-36  2.25900E-36  0.00000E+00  2.86377E-19  9.84118E-01  6.79759E-10  6.90347E-03  3.07787E-01
     47  3.24814E+01  7.30892E-01  5.00000E+00 -3.34455E-15  3.38851E-36 -1.12950E-36  0.00000E+00  1.45123E-19  9.83745E-01  6.79758E-10  6.90348E-03  3.09533E-01
     48  3.32124E+01  7.30937E-01  5.00000E+00 -3.34453E-15 -6.77701E-36 -5.64751E-36 -2.47677E-19 -5.41794E-20  9.83372E-01  6.79758E-10  6.90348E-03  3.11261E-01
     49  3.39434E+01  7.30983E-01  5.00000E+00 -3.34452E-15 -7.90651E-36  6.77701E-36  2.47677E-19  1.00619E-19  9.83000E-01  6.79758E-10  6.90348E-03  3.12973E-01
     50  3.46744E+01  7.31029E-01  5.00000E+00 -3.34451E-15 -2.25900E-36  3.38851E-36 -9.90708E-19  1.74148E-19  9.82627E-01  6.79758E-10  6.90348E-03  3.14671E-01
     51  3.54055E+01  7.31076E-01  5.00000E+00 -3.34450E-15 -1.12950E-35  2.25900E-36  2.47677E-19  1.41253E-19  9.82254E-01  6.79757E-10  6.90348E-03  3.16354E-01
     52  3.61366E+01  7.31123E-01  5.00000E+00 -3.34449E-15 -1.12950E-36  6.77701E-36  2.47677E-19  8.12690E-20  9.81881E-01  6.79757E-10  6.90348E-03  3.18024E-01
     53  3.68678E+01  7.31171E-01  5.00000E+00 -3.34447E-15 -2.25900E-36  1.80720E-35  1.73374E-18  2.07043E-19  9.81509E-01  6.79757E-10  6.90348E-03  3.19681E-01
     54  3.75990E+01  7.31220E-01  5.00000E+00 -3.34446E-15 -9.03601E-36 -2.25900E-36  9.90708E-19 -1.68343E-19  9.81136E-01  6.79757E-10  6.90349E-03  3.21324E-01
     55  3.83303E+01  7.31268E-01  5.00000E+00 -3.34445E-15 -6.77701E-36  1.12950E-35  9.90708E-19  2.76702E-19  9.80764E-01  6.79756E-10  6.90349E-03  3.22955E-01
     56  3.90616E+01  7.31317E-01  5.00000E+00 -3.34444E-15  4.51801E-36  2.25900E-36 -1.48606E-18 -1.78018E-19  9.80391E-01  6.79756E-10  6.90349E-03  3.24572E-01
     57  3.97929E+01  7.31367E-01  5.00000E+00 -3.34443E-15 -4.51801E-36  6.77701E-36  9.90708E-19  1.47058E-19  9.80018E-01  6.79756E-10  6.90349E-03  3.26176E-01
     58  4.05244E+01  7.31416E-01  5.00000E+00 -3.34442E-15  2.25900E-36 -4.51801E-36 -2.22909E-18 -6.38542E-20  9.79646E-01  6.79756E-10  6.90350E-03  3.27767E-01
     59  4.12558E+01  7.31466E-01  5.00000E+00 -3.34440E-15 -4.51801E-36 -1.35540E-35 -2.47677E-19 -2.43807E-19  9.79273E-01  6.79755E-10  6.90350E-03  3.29343E-01
     60  4.19873E+01  7.31516E-01  5.00000E+00 -3.34439E-15 -4.51801E-36 -6.77701E-36  0.00000E+00 -2.67027E-19  9.78901E-01  6.79755E-10  6.90350E-03  3.30906E-01
