Volume averages, fluxes, etc
it t rho dt p ux uy uz bx by bz
     300  0.00000E+00  3.17665E+016  0.00000E+000  8.35429E+010  2.20278E-007  1.69179E-014  3.45101E+002  3.24990E+001 -1.52574E-015  3.71938E-016
     301  1.73430E-03  3.17665E+016  1.73430E-003  8.35427E+010 -8.50988E-005 -1.28908E-014  3.45101E+002  3.24991E+001  1.43415E-013 -2.38033E-009
     302  3.94641E-03  3.17664E+016  2.21210E-003  8.35425E+010 -6.24317E-004 -1.44653E-014  3.45101E+002  3.24991E+001 -9.95259E-014 -9.41930E-009
     303  6.15860E-03  3.17664E+016  2.21220E-003  8.35423E+010 -7.27161E-004  1.39050E-014  3.45101E+002  3.24991E+001 -3.16504E-013 -1.54609E-008
     304  8.37091E-03  3.17664E+016  2.21230E-003  8.35421E+010 -7.97047E-004  1.76294E-014  3.45101E+002  3.24992E+001 -5.11766E-013 -2.10082E-008
     305  1.05833E-02  3.17663E+016  2.21241E-003  8.35418E+010 -8.62265E-004  1.56673E-014  3.45101E+002  3.24992E+001 -6.82987E-013 -2.59344E-008
     306  1.27958E-02  3.17663E+016  2.21251E-003  8.35416E+010 -9.25647E-004 -3.28957E-014  3.45101E+002  3.24993E+001 -8.31581E-013 -3.04310E-008
     307  1.50084E-02  3.17663E+016  2.21261E-003  8.35414E+010 -9.86937E-004 -1.38397E-014  3.45101E+002  3.24993E+001 -9.68673E-013 -3.47508E-008
     308  1.72212E-02  3.17662E+016  2.21272E-003  8.35412E+010 -1.04573E-003 -2.46354E-014  3.45102E+002  3.24994E+001 -1.08827E-012 -3.88756E-008
     309  1.94340E-02  3.17662E+016  2.21282E-003  8.35410E+010 -1.10271E-003 -2.27805E-014  3.45102E+002  3.24994E+001 -1.19328E-012 -4.27733E-008
     310  2.16469E-02  3.17662E+016  2.21292E-003  8.35407E+010 -1.15715E-003 -2.80500E-014  3.45102E+002  3.24995E+001 -1.28159E-012 -4.64848E-008
     311  2.38599E-02  3.17661E+016  2.21302E-003  8.35405E+010 -1.20879E-003 -3.90017E-014  3.45102E+002  3.24995E+001 -1.36497E-012 -5.00968E-008
     312  2.60730E-02  3.17661E+016  2.21312E-003  8.35403E+010 -1.25754E-003 -1.00395E-014  3.45102E+002  3.24996E+001 -1.43860E-012 -5.37348E-008
     313  2.82862E-02  3.17661E+016  2.21321E-003  8.35401E+010 -1.30333E-003  7.01886E-015  3.45102E+002  3.24996E+001 -1.50350E-012 -5.73432E-008
     314  3.04995E-02  3.17660E+016  2.21331E-003  8.35398E+010 -1.34660E-003 -7.53123E-015  3.45102E+002  3.24997E+001 -1.55994E-012 -6.07017E-008
     315  3.27130E-02  3.17660E+016  2.21341E-003  8.35396E+010 -1.38777E-003 -3.02455E-014  3.45102E+002  3.24998E+001 -1.60998E-012 -6.38576E-008
     316  3.49265E-02  3.17660E+016  2.21350E-003  8.35394E+010 -1.42683E-003 -8.99445E-014  3.45102E+002  3.24998E+001 -1.65409E-012 -6.66815E-008
     317  3.71401E-02  3.17659E+016  2.21360E-003  8.35392E+010 -1.46423E-003 -6.00227E-014  3.45102E+002  3.24999E+001 -1.68875E-012 -6.92087E-008
     318  3.93538E-02  3.17659E+016  2.21370E-003  8.35390E+010 -1.49999E-003 -9.47457E-014  3.45103E+002  3.24999E+001 -1.72102E-012 -7.14813E-008
     319  4.15675E-02  3.17659E+016  2.21379E-003  8.35387E+010 -1.53434E-003 -1.79171E-013  3.45103E+002  3.25000E+001 -1.74502E-012 -7.34882E-008
     320  4.37814E-02  3.17658E+016  2.21388E-003  8.35385E+010 -1.56749E-003 -1.72878E-013  3.45103E+002  3.25001E+001 -1.76598E-012 -7.52046E-008
     321  4.59954E-02  3.17658E+016  2.21398E-003  8.35383E+010 -1.59967E-003 -2.62316E-013  3.45103E+002  3.25001E+001 -1.78208E-012 -7.66986E-008
     322  4.82095E-02  3.17657E+016  2.21407E-003  8.35381E+010 -1.63098E-003 -3.28794E-013  3.45103E+002  3.25002E+001 -1.79699E-012 -7.79238E-008
     323  5.04236E-02  3.17657E+016  2.21416E-003  8.35379E+010 -1.66152E-003 -4.10612E-013  3.45103E+002  3.25003E+001 -1.80494E-012 -7.89001E-008
     324  5.26379E-02  3.17657E+016  2.21426E-003  8.35376E+010 -1.69141E-003 -5.06541E-013  3.45103E+002  3.25003E+001 -1.81413E-012 -7.96890E-008
     325  5.48523E-02  3.17656E+016  2.21435E-003  8.35374E+010 -1.72071E-003 -5.85352E-013  3.45103E+002  3.25004E+001 -1.81330E-012 -8.02964E-008
     326  5.70667E-02  3.17656E+016  2.21444E-003  8.35372E+010 -1.74949E-003 -6.54923E-013  3.45103E+002  3.25005E+001 -1.81066E-012 -8.08415E-008
     327  5.92812E-02  3.17656E+016  2.21453E-003  8.35370E+010 -1.77778E-003 -7.63631E-013  3.45103E+002  3.25005E+001 -1.80652E-012 -8.12988E-008
     328  6.14958E-02  3.17655E+016  2.21462E-003  8.35367E+010 -1.80563E-003 -8.52528E-013  3.45104E+002  3.25006E+001 -1.79866E-012 -8.16246E-008
     329  6.37105E-02  3.17655E+016  2.21471E-003  8.35365E+010 -1.83310E-003 -9.43415E-013  3.45104E+002  3.25007E+001 -1.78688E-012 -8.17282E-008
     330  6.59253E-02  3.17655E+016  2.21480E-003  8.35363E+010 -1.86024E-003 -1.00525E-012  3.45104E+002  3.25007E+001 -1.77456E-012 -8.16932E-008
     331  6.81402E-02  3.17654E+016  2.21489E-003  8.35361E+010 -1.88710E-003 -1.13541E-012  3.45104E+002  3.25008E+001 -1.75915E-012 -8.15139E-008
     332  7.03552E-02  3.17654E+016  2.21498E-003  8.35359E+010 -1.91367E-003 -1.20870E-012  3.45104E+002  3.25009E+001 -1.73853E-012 -8.11858E-008
     333  7.25703E-02  3.17654E+016  2.21506E-003  8.35356E+010 -1.93998E-003 -1.31478E-012  3.45104E+002  3.25009E+001 -1.71366E-012 -8.07162E-008
     334  7.47854E-02  3.17653E+016  2.21515E-003  8.35354E+010 -1.96605E-003 -1.41121E-012  3.45104E+002  3.25010E+001 -1.69070E-012 -8.01030E-008
     335  7.70007E-02  3.17653E+016  2.21524E-003  8.35352E+010 -1.99188E-003 -1.50095E-012  3.45104E+002  3.25011E+001 -1.66207E-012 -7.93942E-008
     336  7.92160E-02  3.17653E+016  2.21533E-003  8.35350E+010 -2.01750E-003 -1.58255E-012  3.45104E+002  3.25011E+001 -1.63312E-012 -7.84866E-008
     337  8.14314E-02  3.17652E+016  2.21541E-003  8.35347E+010 -2.04290E-003 -1.67892E-012  3.45105E+002  3.25012E+001 -1.59920E-012 -7.74295E-008
     338  8.36469E-02  3.17652E+016  2.21550E-003  8.35345E+010 -2.06809E-003 -1.76366E-012  3.45105E+002  3.25013E+001 -1.56405E-012 -7.62475E-008
     339  8.58625E-02  3.17652E+016  2.21559E-003  8.35343E+010 -2.09310E-003 -1.86246E-012  3.45105E+002  3.25013E+001 -1.52709E-012 -7.49547E-008
     340  8.80782E-02  3.17651E+016  2.21567E-003  8.35341E+010 -2.11792E-003 -1.93430E-012  3.45105E+002  3.25014E+001 -1.48959E-012 -7.35404E-008
     341  9.02939E-02  3.17651E+016  2.21576E-003  8.35339E+010 -2.14255E-003 -2.04114E-012  3.45105E+002  3.25015E+001 -1.44711E-012 -7.19351E-008
     342  9.25098E-02  3.17650E+016  2.21584E-003  8.35336E+010 -2.16695E-003 -2.13892E-012  3.45105E+002  3.25015E+001 -1.40643E-012 -7.01301E-008
     343  9.47257E-02  3.17650E+016  2.21592E-003  8.35334E+010 -2.19114E-003 -2.17789E-012  3.45105E+002  3.25016E+001 -1.35945E-012 -6.81219E-008
     344  9.69417E-02  3.17650E+016  2.21601E-003  8.35332E+010 -2.21510E-003 -2.25682E-012  3.45105E+002  3.25017E+001 -1.31009E-012 -6.59375E-008
     345  9.91578E-02  3.17649E+016  2.21609E-003  8.35330E+010 -2.23885E-003 -2.31520E-012  3.45105E+002  3.25017E+001 -1.26218E-012 -6.35435E-008
