Volume averages, fluxes, etc
it t rho dt p ux uy uz bx by bz
      37  0.00000E+00  2.25859E+007  0.00000E+000  2.80959E-002 -1.43061E-015 -8.08291E-016  3.91932E+002  3.00266E+001  2.89656E-016  1.92550E-016
      38  0.00000E+00  2.25859E+007  0.00000E+000  2.98177E-002 -1.60109E-015 -1.90912E-015  3.91637E+002  3.00285E+001  5.70247E-016 -4.84242E-017
      39  0.00000E+00  2.25859E+007  0.00000E+000  3.16616E-002 -9.97110E-016 -1.62210E-015  3.91340E+002  3.00311E+001  1.09954E-016 -2.07158E-016
      40  0.00000E+00  2.25859E+007  0.00000E+000  3.36125E-002 -3.70671E-016 -2.35737E-015  3.91041E+002  3.00343E+001 -3.89829E-016  3.40437E-016
      41  0.00000E+00  2.25859E+007  0.00000E+000  3.56531E-002 -1.26940E-015 -1.31777E-015  3.90739E+002  3.00379E+001  1.22595E-015  2.21645E-017
      42  0.00000E+00  2.25859E+007  0.00000E+000  3.77694E-002 -1.42619E-015 -6.64710E-016  3.90432E+002  3.00420E+001  8.52929E-016  1.34952E-016
      43  0.00000E+00  2.25859E+007  0.00000E+000  3.99562E-002 -7.20932E-016 -3.22796E-015  3.90121E+002  3.00466E+001 -1.11224E-015  3.20502E-018
      44  0.00000E+00  2.25859E+007  0.00000E+000  4.22060E-002 -4.99062E-016 -1.56012E-015  3.89805E+002  3.00518E+001 -1.14920E-015  1.97286E-016
      45  0.00000E+00  2.25859E+007  0.00000E+000  4.45449E-002 -1.32280E-015  8.42216E-016  3.89483E+002  3.00576E+001  1.92684E-015  1.98853E-017
      46  0.00000E+00  2.25859E+007  0.00000E+000  4.69645E-002 -1.33261E-015 -2.34803E-015  3.89156E+002  3.00638E+001  2.28422E-016 -3.47103E-016
      47  0.00000E+00  2.25859E+007  0.00000E+000  4.94478E-002 -1.74213E-017 -4.19081E-015  3.88825E+002  3.00704E+001 -1.26912E-015 -1.95150E-017
      48  0.00000E+00  2.25859E+007  0.00000E+000  5.19678E-002 -1.57032E-015 -2.52570E-015  3.88490E+002  3.00776E+001  8.94378E-016 -3.82394E-016
      49  0.00000E+00  2.25859E+007  0.00000E+000  5.45134E-002  3.39211E-016 -8.61389E-016  3.88149E+002  3.00855E+001  6.64632E-016 -6.66928E-017
      50  0.00000E+00  2.25859E+007  0.00000E+000  5.70860E-002 -1.44942E-015 -2.54602E-016  3.87803E+002  3.00941E+001  7.95630E-016  1.87529E-017
      51  0.00000E+00  2.25859E+007  0.00000E+000  5.96918E-002  7.62192E-016  2.26313E-015  3.87451E+002  3.01034E+001  1.41466E-018 -5.80571E-016
      52  0.00000E+00  2.25859E+007  0.00000E+000  6.23378E-002 -1.54312E-016 -1.26282E-016  3.87094E+002  3.01135E+001 -5.25990E-016 -3.98982E-016
      53  0.00000E+00  2.25859E+007  0.00000E+000  6.50065E-002  7.18958E-017 -2.56952E-016  3.86731E+002  3.01243E+001 -1.00933E-015 -2.63082E-016
      54  0.00000E+00  2.25859E+007  0.00000E+000  6.76909E-002  1.50711E-015 -1.94549E-015  3.86365E+002  3.01357E+001  6.04596E-016 -6.87725E-017
      55  0.00000E+00  2.25859E+007  0.00000E+000  7.03929E-002  4.92613E-016 -2.29157E-015  3.85995E+002  3.01478E+001  3.25492E-016 -3.20473E-016
      56  0.00000E+00  2.25859E+007  0.00000E+000  7.30905E-002  1.33393E-015 -3.05296E-016  3.85619E+002  3.01607E+001 -6.19947E-016  2.63951E-017
      57  0.00000E+00  2.25859E+007  0.00000E+000  7.57785E-002  1.08348E-016 -7.01090E-016  3.85239E+002  3.01742E+001 -4.58738E-016  6.65731E-016
      58  0.00000E+00  2.25859E+007  0.00000E+000  7.84706E-002  4.10459E-016 -3.64222E-015  3.84852E+002  3.01885E+001  4.71716E-016  1.78199E-016
      59  0.00000E+00  2.25859E+007  0.00000E+000  8.11868E-002  1.88054E-015 -5.80948E-016  3.84458E+002  3.02037E+001 -1.07579E-016  1.66205E-016
      60  0.00000E+00  2.25859E+007  0.00000E+000  8.39243E-002  1.09142E-015  6.31991E-017  3.84059E+002  3.02199E+001  5.20260E-016 -3.06243E-016
      61  0.00000E+00  2.25859E+007  0.00000E+000  8.66670E-002 -1.99348E-016  6.54530E-016  3.83657E+002  3.02373E+001  4.36081E-017  4.96763E-016
      62  0.00000E+00  2.25859E+007  0.00000E+000  8.93877E-002  1.11979E-015 -1.70922E-016  3.83252E+002  3.02558E+001 -5.69089E-016  8.19344E-016
      63  0.00000E+00  2.25859E+007  0.00000E+000  9.20722E-002  1.28124E-015 -9.53618E-017  3.82845E+002  3.02756E+001 -4.70005E-016  3.36142E-016
      64  0.00000E+00  2.25859E+007  0.00000E+000  9.47468E-002 -1.38571E-015 -4.19042E-016  3.82435E+002  3.02968E+001 -7.62550E-016  4.99754E-016
      65  0.00000E+00  2.25859E+007  0.00000E+000  9.74386E-002  1.63687E-015  2.90493E-015  3.82023E+002  3.03194E+001  2.42412E-016  2.68238E-016
      66  0.00000E+00  2.25859E+007  0.00000E+000  1.00140E-001  6.09238E-016  3.55806E-015  3.81609E+002  3.03437E+001 -2.65680E-016  6.05449E-016
      67  0.00000E+00  2.25859E+007  0.00000E+000  1.02834E-001  2.58979E-016  1.43910E-015  3.81193E+002  3.03694E+001  9.68231E-016  4.66679E-016
      68  0.00000E+00  2.25859E+007  0.00000E+000  1.05515E-001 -1.25597E-015  4.15154E-015  3.80777E+002  3.03966E+001  1.02201E-016  6.57270E-016
      69  0.00000E+00  2.25859E+007  0.00000E+000  1.08192E-001 -6.97773E-016 -2.72284E-015  3.80359E+002  3.04252E+001  6.04834E-016  5.34995E-016
      70  0.00000E+00  2.25859E+007  0.00000E+000  1.10876E-001  6.27170E-016 -5.09136E-016  3.79940E+002  3.04551E+001  8.68797E-016  4.00271E-017
      71  0.00000E+00  2.25859E+007  0.00000E+000  1.13552E-001 -1.60753E-015  7.03193E-016  3.79520E+002  3.04863E+001 -3.48987E-016  5.03458E-016
      72  0.00000E+00  2.25859E+007  0.00000E+000  1.16196E-001  9.30273E-016  8.17466E-015  3.79098E+002  3.05181E+001 -1.01779E-015  3.98220E-016
      73  0.00000E+00  2.25859E+007  0.00000E+000  1.18800E-001 -2.39768E-015 -4.13608E-015  3.78671E+002  3.05500E+001  1.01589E-016 -4.39871E-017
      74  0.00000E+00  2.25859E+007  0.00000E+000  1.21375E-001 -1.08356E-015 -5.73961E-015  3.78237E+002  3.05817E+001 -1.76390E-016  6.78808E-016
      75  0.00000E+00  2.25859E+007  0.00000E+000  1.23931E-001 -7.86491E-017 -8.79514E-015  3.77794E+002  3.06123E+001 -4.72368E-016  3.73947E-016
      76  0.00000E+00  2.25859E+007  0.00000E+000  1.26455E-001 -8.36840E-016 -3.13972E-015  3.77341E+002  3.06412E+001  5.05774E-016  6.41886E-016
