deg deg R km/s g/cm3 km/s km/s km/s G G G erg/cm3 erg/cm3 erg/cm3 dyne/cm^2 dyne/cm^2 K K -- -- -- -- deg deg km/s
       320  1.0000000000E+02  2  3 23
      37      19
  6.9600000000E+08  1.0000000000E+00  1.6666666667E+00
lon lat r divudx Rho Ux Uy Uz Bx By Bz Ehot I01 I02 Pe P te ti normx normy normz comprho thetaup thetadn ushk xSI r g
  3.0000000000E+02 -9.0000000000E+01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  3.1000000000E+02 -9.0000000000E+01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  3.2000000000E+02 -9.0000000000E+01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  3.3000000000E+02 -9.0000000000E+01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  3.4000000000E+02 -9.0000000000E+01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  3.5000000000E+02 -9.0000000000E+01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  3.6000000000E+02 -9.0000000000E+01  2.0195891664E+00 -5.9188989377E+01  2.7400241503E-18  4.7495522146E+01 -6.2425931583E+01 -1.2499985235E+02 -5.2860972385E-01  1.3936636299E+00 -2.4934563444E+00  3.4546210269E-05  4.3569719915E-04  7.1266620189E-07  3.2081931670E-04  1.0023032854E-02  1.3974393008E+06  5.3072607750E+07  3.9220137805E-03  1.4279979249E-01 -9.8210099744E-01  1.9731083219E+01  2.4704591505E+01  2.4702414136E+01  1.5921834325E+01
  0.0000000000E+00 -8.0000000000E+01  2.8933367975E+00 -7.1683872988E+01  5.3330891259E-19  7.6412455666E+01 -1.4043590918E+01 -2.2540646596E+02 -4.4046979154E-02  5.1690372746E-01 -1.1257564639E+00  1.0777736771E-05  1.1812014004E-04  3.3921141020E-07  5.2493373270E-05  2.8064320467E-03  1.1603929895E+06  5.7671578067E+07  1.3794479650E-01  8.7268702637E-02 -9.8123413278E-01  2.0525083085E+01  1.9789596596E+01  2.5243171808E+01  8.8061250554E+01
  1.0000000000E+01 -8.0000000000E+01  3.3302106130E+00 -6.0814344492E+01  2.9324074141E-19  9.8127450368E+01 -1.2951608121E+01 -1.9533581461E+02 -3.3205960150E-02  3.6313743553E-01 -7.4799287144E-01  6.9932206444E-06  6.6385778202E-05  2.2643688986E-07  2.5768838773E-05  9.2765256131E-04  1.0508349626E+06  3.6252409548E+07  1.1256071472E-01  6.2906860650E-02 -9.8779462776E-01  1.9017307805E+01  2.0568312456E+01  2.6716930936E+01  1.5196815524E+02
  2.0000000000E+01 -8.0000000000E+01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  3.0000000000E+01 -8.0000000000E+01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
