Volume averages, fluxes, etc
it t dt rho mx my mz bx by bz Ew e Pmin Pmax
     29  0.00000E+00  0.00000E+00  1.35928E-20  4.12987E-14  8.60568E-13 -3.26313E-13 -9.78633E-03 -9.32396E-03  5.56376E-02  3.61454E-02  1.16095E-02  1.09769E-06  9.72711E-02
     30  0.00000E+00  0.00000E+00  1.34606E-20  4.61361E-16  8.57391E-13 -3.44356E-13 -1.03056E-02 -9.72207E-03  5.67666E-02  3.74216E-02  1.22690E-02  1.16110E-06  9.93645E-02
     31  0.00000E+00  0.00000E+00  1.33003E-20 -3.82205E-14  8.50379E-13 -3.57663E-13 -1.08672E-02 -1.01784E-02  5.82556E-02  3.77145E-02  1.28085E-02  1.22715E-06  1.30192E-01
     32  0.00000E+00  0.00000E+00  1.30726E-20 -7.67542E-14  8.42585E-13 -3.71468E-13 -1.14116E-02 -1.06027E-02  5.96231E-02  3.81761E-02  1.32931E-02  1.29270E-06  1.32338E-01
     33  0.00000E+00  0.00000E+00  1.27875E-20 -1.14123E-13  8.34254E-13 -3.85664E-13 -1.19357E-02 -1.09933E-02  6.08346E-02  3.85337E-02  1.37593E-02  1.35235E-06  1.40910E-01
     34  0.00000E+00  0.00000E+00  1.24565E-20 -1.48815E-13  8.25458E-13 -4.00100E-13 -1.24336E-02 -1.13519E-02  6.18786E-02  3.89305E-02  1.41844E-02  1.40619E-06  1.46869E-01
     35  0.00000E+00  0.00000E+00  1.20908E-20 -1.79717E-13  8.16410E-13 -4.14483E-13 -1.28966E-02 -1.16775E-02  6.27551E-02  3.93421E-02  1.45714E-02  1.46032E-06  1.50173E-01
     36  0.00000E+00  0.00000E+00  1.16999E-20 -2.05850E-13  8.07137E-13 -4.28061E-13 -1.33132E-02 -1.19702E-02  6.34648E-02  3.97711E-02  1.49180E-02  1.55282E-06  1.51130E-01
     37  0.00000E+00  0.00000E+00  1.12924E-20 -2.26458E-13  7.97717E-13 -4.39953E-13 -1.36734E-02 -1.22258E-02  6.40073E-02  4.02020E-02  1.52261E-02  1.61466E-06  1.50238E-01
     38  0.00000E+00  0.00000E+00  1.08747E-20 -2.41408E-13  7.87923E-13 -4.48915E-13 -1.39694E-02 -1.24426E-02  6.43782E-02  4.06180E-02  1.54975E-02  1.68212E-06  1.47815E-01
     39  0.00000E+00  0.00000E+00  1.04518E-20 -2.51077E-13  7.77697E-13 -4.53902E-13 -1.41963E-02 -1.26111E-02  6.45681E-02  4.10094E-02  1.57342E-02  1.75769E-06  1.44201E-01
     40  0.00000E+00  0.00000E+00  1.00276E-20 -2.56281E-13  7.67065E-13 -4.54194E-13 -1.43502E-02 -1.27241E-02  6.45648E-02  4.13644E-02  1.59382E-02  1.85766E-06  1.39847E-01
     41  0.00000E+00  0.00000E+00  9.60461E-21 -2.57920E-13  7.56048E-13 -4.49711E-13 -1.44283E-02 -1.27734E-02  6.43564E-02  4.16803E-02  1.61110E-02  2.19355E-06  1.36648E-01
     42  0.00000E+00  0.00000E+00  9.18470E-21 -2.56974E-13  7.44788E-13 -4.40766E-13 -1.44280E-02 -1.27527E-02  6.39311E-02  4.19519E-02  1.62542E-02  2.37405E-06  1.33376E-01
     43  0.00000E+00  0.00000E+00  8.76938E-21 -2.54212E-13  7.33389E-13 -4.28152E-13 -1.43496E-02 -1.26569E-02  6.32810E-02  4.21802E-02  1.63690E-02  2.57130E-06  1.29670E-01
     44  0.00000E+00  0.00000E+00  8.36032E-21 -2.50178E-13  7.21876E-13 -4.12805E-13 -1.41973E-02 -1.24860E-02  6.24011E-02  4.23651E-02  1.64571E-02  3.02682E-06  1.25874E-01
     45  0.00000E+00  0.00000E+00  7.95924E-21 -2.45192E-13  7.10112E-13 -3.95670E-13 -1.39804E-02 -1.22463E-02  6.12945E-02  4.25157E-02  1.65193E-02  3.79367E-06  1.22171E-01
     46  0.00000E+00  0.00000E+00  7.56794E-21 -2.39406E-13  6.97936E-13 -3.77636E-13 -1.37101E-02 -1.19475E-02  5.99718E-02  4.26368E-02  1.65580E-02  6.71180E-06  1.18764E-01
     47  0.00000E+00  0.00000E+00  7.18825E-21 -2.32853E-13  6.85140E-13 -3.59535E-13 -1.33973E-02 -1.15999E-02  5.84496E-02  4.27319E-02  1.65759E-02  1.73584E-05  1.15709E-01
     48  0.00000E+00  0.00000E+00  6.82179E-21 -2.25443E-13  6.71549E-13 -3.42039E-13 -1.30520E-02 -1.12136E-02  5.67507E-02  4.28098E-02  1.65756E-02  5.06678E-05  1.13035E-01
     49  0.00000E+00  0.00000E+00  6.46995E-21 -2.17156E-13  6.57086E-13 -3.25632E-13 -1.26824E-02 -1.07984E-02  5.49006E-02  4.28766E-02  1.65601E-02  1.18046E-04  1.10699E-01
     50  0.00000E+00  0.00000E+00  6.13385E-21 -2.08030E-13  6.41804E-13 -3.10623E-13 -1.22944E-02 -1.03623E-02  5.29268E-02  4.29418E-02  1.65319E-02  2.12794E-04  1.08693E-01
     51  0.00000E+00  0.00000E+00  5.81426E-21 -1.98168E-13  6.25893E-13 -2.97131E-13 -1.18920E-02 -9.91241E-03  5.08557E-02  4.30027E-02  1.64945E-02  3.22423E-04  1.06991E-01
     52  0.00000E+00  0.00000E+00  5.51163E-21 -1.87699E-13  6.09549E-13 -2.85125E-13 -1.14784E-02 -9.45402E-03  4.87111E-02  4.30632E-02  1.64505E-02  4.35469E-04  1.06409E-01
     53  0.00000E+00  0.00000E+00  5.22601E-21 -1.76775E-13  5.92940E-13 -2.74503E-13 -1.10557E-02 -8.99091E-03  4.65142E-02  4.31289E-02  1.64016E-02  5.43643E-04  1.06200E-01
     54  0.00000E+00  0.00000E+00  4.95713E-21 -1.65550E-13  5.76222E-13 -2.65120E-13 -1.06259E-02 -8.52569E-03  4.42828E-02  4.31964E-02  1.63501E-02  6.36781E-04  1.06018E-01
     55  0.00000E+00  0.00000E+00  4.70452E-21 -1.54171E-13  5.59512E-13 -2.56786E-13 -1.01907E-02 -8.06021E-03  4.20323E-02  4.32648E-02  1.62970E-02  6.95398E-04  1.05853E-01
     56  0.00000E+00  0.00000E+00  4.46745E-21 -1.42726E-13  5.42799E-13 -2.49311E-13 -9.75220E-03 -7.59533E-03  3.97756E-02  4.33394E-02  1.62421E-02  6.75523E-04  1.05699E-01
