Volume averages, fluxes, etc
it t dt rho mx my mz bx by bz Ew e Pmin Pmax
    126  0.00000E+00  0.00000E+00  1.62178E-20  5.60478E-14  3.96344E-14 -1.19657E-13  1.80900E-03  6.31933E-03 -2.76771E-03  2.24062E-02  9.21577E-03  3.75200E-04  2.61200E-01
    127  0.00000E+00  0.00000E+00  1.63924E-20  5.45584E-14  4.02741E-14 -1.17514E-13  1.88834E-03  6.36673E-03 -2.80136E-03  2.20838E-02  9.11963E-03  3.67829E-04  2.59334E-01
    128  0.00000E+00  0.00000E+00  1.65662E-20  5.30718E-14  4.10493E-14 -1.15441E-13  1.96555E-03  6.41300E-03 -2.83496E-03  2.17639E-02  9.02411E-03  3.60704E-04  2.57131E-01
    129  0.00000E+00  0.00000E+00  1.67392E-20  5.15835E-14  4.19448E-14 -1.13453E-13  2.04058E-03  6.45820E-03 -2.86867E-03  2.14466E-02  8.92909E-03  3.53848E-04  2.54594E-01
    130  0.00000E+00  0.00000E+00  1.69115E-20  5.00871E-14  4.29405E-14 -1.11562E-13  2.11331E-03  6.50230E-03 -2.90267E-03  2.11318E-02  8.83448E-03  3.47259E-04  2.51769E-01
    131  0.00000E+00  0.00000E+00  1.70831E-20  4.85815E-14  4.40233E-14 -1.09779E-13  2.18366E-03  6.54527E-03 -2.93710E-03  2.08193E-02  8.74018E-03  3.40986E-04  2.48707E-01
    132  0.00000E+00  0.00000E+00  1.72541E-20  4.70616E-14  4.51794E-14 -1.08114E-13  2.25149E-03  6.58702E-03 -2.97215E-03  2.05091E-02  8.64611E-03  3.35064E-04  2.45464E-01
    133  0.00000E+00  0.00000E+00  1.74243E-20  4.55233E-14  4.63896E-14 -1.06565E-13  2.31668E-03  6.62746E-03 -3.00799E-03  2.02014E-02  8.55218E-03  3.23109E-04  2.42091E-01
    134  0.00000E+00  0.00000E+00  1.75938E-20  4.39652E-14  4.76359E-14 -1.05130E-13  2.37911E-03  6.66646E-03 -3.04481E-03  1.98963E-02  8.45831E-03  3.07789E-04  2.38633E-01
    135  0.00000E+00  0.00000E+00  1.77626E-20  4.23841E-14  4.89048E-14 -1.03818E-13  2.43867E-03  6.70388E-03 -3.08277E-03  1.95937E-02  8.36442E-03  2.93049E-04  2.35024E-01
    136  0.00000E+00  0.00000E+00  1.79307E-20  4.07771E-14  5.01791E-14 -1.02630E-13  2.49525E-03  6.73954E-03 -3.12209E-03  1.92937E-02  8.27046E-03  2.78912E-04  2.31343E-01
    137  0.00000E+00  0.00000E+00  1.80981E-20  3.91386E-14  5.14440E-14 -1.01565E-13  2.54876E-03  6.77327E-03 -3.16296E-03  1.89965E-02  8.17638E-03  2.65369E-04  2.27650E-01
    138  0.00000E+00  0.00000E+00  1.82648E-20  3.74658E-14  5.26839E-14 -1.00615E-13  2.59913E-03  6.80490E-03 -3.20555E-03  1.87022E-02  8.08211E-03  2.52488E-04  2.23993E-01
    139  0.00000E+00  0.00000E+00  1.84307E-20  3.57569E-14  5.38808E-14 -9.97786E-14  2.64630E-03  6.83425E-03 -3.25005E-03  1.84109E-02  7.98761E-03  2.40333E-04  2.20412E-01
    140  0.00000E+00  0.00000E+00  1.85959E-20  3.40114E-14  5.50214E-14 -9.90481E-14  2.69026E-03  6.86117E-03 -3.29662E-03  1.81227E-02  7.89286E-03  2.28874E-04  2.16949E-01
    141  0.00000E+00  0.00000E+00  1.87603E-20  3.22290E-14  5.60930E-14 -9.84137E-14  2.73098E-03  6.88552E-03 -3.34537E-03  1.78378E-02  7.79781E-03  2.18086E-04  2.13631E-01
    142  0.00000E+00  0.00000E+00  1.89240E-20  3.04117E-14  5.70858E-14 -9.78647E-14  2.76850E-03  6.90719E-03 -3.39643E-03  1.75561E-02  7.70245E-03  2.07922E-04  2.10499E-01
    143  0.00000E+00  0.00000E+00  1.90870E-20  2.85627E-14  5.79923E-14 -9.73896E-14  2.80287E-03  6.92605E-03 -3.44988E-03  1.72779E-02  7.60674E-03  1.98328E-04  2.07579E-01
    144  0.00000E+00  0.00000E+00  1.92492E-20  2.66865E-14  5.88072E-14 -9.69785E-14  2.83416E-03  6.94203E-03 -3.50576E-03  1.70033E-02  7.51069E-03  1.89246E-04  2.04888E-01
    145  0.00000E+00  0.00000E+00  1.94107E-20  2.47889E-14  5.95272E-14 -9.66205E-14  2.86246E-03  6.95507E-03 -3.56411E-03  1.67321E-02  7.41430E-03  1.80619E-04  2.02455E-01
    146  0.00000E+00  0.00000E+00  1.95714E-20  2.28746E-14  6.01490E-14 -9.63030E-14  2.88791E-03  6.96512E-03 -3.62492E-03  1.64648E-02  7.31756E-03  1.72392E-04  2.00203E-01
    147  0.00000E+00  0.00000E+00  1.97314E-20  2.09492E-14  6.06712E-14 -9.60144E-14  2.91062E-03  6.97220E-03 -3.68816E-03  1.62012E-02  7.22050E-03  1.64523E-04  1.98118E-01
    148  0.00000E+00  0.00000E+00  1.98907E-20  1.90199E-14  6.10942E-14 -9.57455E-14  2.93075E-03  6.97632E-03 -3.75381E-03  1.59415E-02  7.12314E-03  1.56984E-04  1.96212E-01
    149  0.00000E+00  0.00000E+00  2.00492E-20  1.70947E-14  6.14191E-14 -9.54891E-14  2.94845E-03  6.97757E-03 -3.82182E-03  1.56857E-02  7.02553E-03  1.49756E-04  1.94513E-01
    150  0.00000E+00  0.00000E+00  2.02070E-20  1.51829E-14  6.16477E-14 -9.52361E-14  2.96387E-03  6.97603E-03 -3.89213E-03  1.54338E-02  6.92775E-03  1.42829E-04  1.93041E-01
    151  0.00000E+00  0.00000E+00  2.03640E-20  1.32942E-14  6.17830E-14 -9.49785E-14  2.97716E-03  6.97183E-03 -3.96468E-03  1.51858E-02  6.82982E-03  1.36233E-04  1.91796E-01
    152  0.00000E+00  0.00000E+00  2.05203E-20  1.14373E-14  6.18285E-14 -9.47098E-14  2.98848E-03  6.96508E-03 -4.03940E-03  1.49419E-02  6.73184E-03  1.29943E-04  1.90775E-01
    153  0.00000E+00  0.00000E+00  2.06758E-20  9.62040E-15  6.17888E-14 -9.44267E-14  2.99796E-03  6.95591E-03 -4.11623E-03  1.47020E-02  6.63388E-03  1.23948E-04  1.89977E-01
    154  0.00000E+00  0.00000E+00  2.08306E-20  7.85104E-15  6.16686E-14 -9.41247E-14  3.00576E-03  6.94447E-03 -4.19510E-03  1.44662E-02  6.53604E-03  1.18248E-04  1.89386E-01
    155  0.00000E+00  0.00000E+00  2.09847E-20  6.13627E-15  6.14729E-14 -9.37987E-14  3.01198E-03  6.93092E-03 -4.27593E-03  1.42343E-02  6.43841E-03  1.12834E-04  1.88980E-01
    156  0.00000E+00  0.00000E+00  2.11381E-20  4.48317E-15  6.12056E-14 -9.34467E-14  3.01675E-03  6.91538E-03 -4.35868E-03  1.40065E-02  6.34108E-03  1.07700E-04  1.88737E-01
    157  0.00000E+00  0.00000E+00  2.12907E-20  2.89904E-15  6.08726E-14 -9.30657E-14  3.02018E-03  6.89801E-03 -4.44328E-03  1.37826E-02  6.24416E-03  1.02836E-04  1.88618E-01
    158  0.00000E+00  0.00000E+00  2.14426E-20  1.38968E-15  6.04791E-14 -9.26534E-14  3.02237E-03  6.87895E-03 -4.52970E-03  1.35628E-02  6.14772E-03  9.82292E-05  1.88607E-01
    159  0.00000E+00  0.00000E+00  2.15938E-20 -3.99849E-17  6.00299E-14 -9.22091E-14  3.02340E-03  6.85834E-03 -4.61789E-03  1.33469E-02  6.05186E-03  9.38678E-05  1.88693E-01
    160  0.00000E+00  0.00000E+00  2.17443E-20 -1.38593E-15  5.95308E-14 -9.17325E-14  3.02335E-03  6.83631E-03 -4.70781E-03  1.31350E-02  5.95667E-03  8.97388E-05  1.88861E-01
    161  0.00000E+00  0.00000E+00  2.18940E-20 -2.64484E-15  5.89876E-14 -9.12225E-14  3.02228E-03  6.81296E-03 -4.79945E-03  1.29269E-02  5.86223E-03  8.58288E-05  1.89096E-01
    162  0.00000E+00  0.00000E+00  2.20431E-20 -3.81409E-15  5.84058E-14 -9.06786E-14  3.02022E-03  6.78839E-03 -4.89276E-03  1.27228E-02  5.76862E-03  8.21236E-05  1.89384E-01
    163  0.00000E+00  0.00000E+00  2.21914E-20 -4.89238E-15  5.77910E-14 -9.01025E-14  3.01723E-03  6.76268E-03 -4.98770E-03  1.25226E-02  5.67589E-03  7.86097E-05  1.89713E-01
    164  0.00000E+00  0.00000E+00  2.23391E-20 -5.87940E-15  5.71488E-14 -8.94956E-14  3.01334E-03  6.73590E-03 -5.08425E-03  1.23263E-02  5.58413E-03  7.52730E-05  1.90071E-01
    165  0.00000E+00  0.00000E+00  2.24860E-20 -6.77608E-15  5.64839E-14 -8.88580E-14  3.00856E-03  6.70811E-03 -5.18236E-03  1.21339E-02  5.49339E-03  7.21003E-05  1.90445E-01
    166  0.00000E+00  0.00000E+00  2.26323E-20 -7.58394E-15  5.58012E-14 -8.81902E-14  3.00290E-03  6.67934E-03 -5.28199E-03  1.19454E-02  5.40372E-03  6.90790E-05  1.90826E-01
    167  0.00000E+00  0.00000E+00  2.27778E-20 -8.30538E-15  5.51051E-14 -8.74917E-14  2.99639E-03  6.64964E-03 -5.38310E-03  1.17607E-02  5.31515E-03  6.61972E-05  1.91205E-01
    168  0.00000E+00  0.00000E+00  2.29226E-20 -8.94351E-15  5.44000E-14 -8.67623E-14  2.98902E-03  6.61901E-03 -5.48564E-03  1.15798E-02  5.22775E-03  6.34441E-05  1.91575E-01
    169  0.00000E+00  0.00000E+00  2.30668E-20 -9.50207E-15  5.36895E-14 -8.60024E-14  2.98080E-03  6.58746E-03 -5.58956E-03  1.14026E-02  5.14154E-03  6.08097E-05  1.91929E-01
    170  0.00000E+00  0.00000E+00  2.32103E-20 -9.98472E-15  5.29765E-14 -8.52133E-14  2.97174E-03  6.55500E-03 -5.69482E-03  1.12291E-02  5.05655E-03  5.82851E-05  1.92263E-01
    171  0.00000E+00  0.00000E+00  2.33531E-20 -1.03960E-14  5.22634E-14 -8.43961E-14  2.96183E-03  6.52163E-03 -5.80139E-03  1.10591E-02  4.97280E-03  5.58623E-05  1.92546E-01
    172  0.00000E+00  0.00000E+00  2.34952E-20 -1.07403E-14  5.15515E-14 -8.35518E-14  2.95107E-03  6.48733E-03 -5.90923E-03  1.08927E-02  4.89028E-03  5.35344E-05  1.92793E-01
    173  0.00000E+00  0.00000E+00  2.36366E-20 -1.10225E-14  5.08417E-14 -8.26812E-14  2.93948E-03  6.45211E-03 -6.01830E-03  1.07298E-02  4.80901E-03  5.12957E-05  1.93011E-01
    174  0.00000E+00  0.00000E+00  2.37775E-20 -1.12472E-14  5.01349E-14 -8.17858E-14  2.92705E-03  6.41595E-03 -6.12858E-03  1.05702E-02  4.72899E-03  4.91408E-05  1.93206E-01
    175  0.00000E+00  0.00000E+00  2.39177E-20 -1.14192E-14  4.94316E-14 -8.08672E-14  2.91381E-03  6.37884E-03 -6.24004E-03  1.04138E-02  4.65023E-03  4.70649E-05  1.93379E-01
    176  0.00000E+00  0.00000E+00  2.40572E-20 -1.15435E-14  4.87324E-14 -7.99268E-14  2.89976E-03  6.34076E-03 -6.35265E-03  1.02607E-02  4.57271E-03  4.50642E-05  1.93535E-01
    177  0.00000E+00  0.00000E+00  2.41962E-20 -1.16250E-14  4.80374E-14 -7.89668E-14  2.88493E-03  6.30173E-03 -6.46640E-03  1.01107E-02  4.49643E-03  4.31355E-05  1.93668E-01
    178  0.00000E+00  0.00000E+00  2.43347E-20 -1.16688E-14  4.73469E-14 -7.79888E-14  2.86934E-03  6.26174E-03 -6.58126E-03  9.96389E-03  4.42137E-03  4.12761E-05  1.93778E-01
    179  0.00000E+00  0.00000E+00  2.44726E-20 -1.16800E-14  4.66606E-14 -7.69948E-14  2.85302E-03  6.22080E-03 -6.69722E-03  9.82009E-03  4.34754E-03  3.94846E-05  1.93862E-01
    180  0.00000E+00  0.00000E+00  2.46100E-20 -1.16632E-14  4.59783E-14 -7.59870E-14  2.83601E-03  6.17894E-03 -6.81425E-03  9.67925E-03  4.27494E-03  3.77597E-05  1.93920E-01
    181  0.00000E+00  0.00000E+00  2.47468E-20 -1.16233E-14  4.52997E-14 -7.49679E-14  2.81834E-03  6.13620E-03 -6.93235E-03  9.54137E-03  4.20357E-03  3.61010E-05  1.93952E-01
    182  0.00000E+00  0.00000E+00  2.48832E-20 -1.15647E-14  4.46239E-14 -7.39399E-14  2.80006E-03  6.09262E-03 -7.05151E-03  9.40641E-03  4.13342E-03  3.45088E-05  1.93958E-01
    183  0.00000E+00  0.00000E+00  2.50191E-20 -1.14912E-14  4.39503E-14 -7.29054E-14  2.78120E-03  6.04826E-03 -7.17171E-03  9.27444E-03  4.06449E-03  3.29803E-05  1.93942E-01
    184  0.00000E+00  0.00000E+00  2.51546E-20 -1.14064E-14  4.32778E-14 -7.18669E-14  2.76181E-03  6.00319E-03 -7.29296E-03  9.14547E-03  3.99677E-03  3.15129E-05  1.93905E-01
    185  0.00000E+00  0.00000E+00  2.52896E-20 -1.13135E-14  4.26061E-14 -7.08271E-14  2.74193E-03  5.95749E-03 -7.41526E-03  9.01954E-03  3.93027E-03  3.01042E-05  1.93849E-01
    186  0.00000E+00  0.00000E+00  2.54241E-20 -1.12150E-14  4.19346E-14 -6.97885E-14  2.72162E-03  5.91124E-03 -7.53860E-03  8.89668E-03  3.86498E-03  2.87516E-05  1.93777E-01
    187  0.00000E+00  0.00000E+00  2.55583E-20 -1.11132E-14  4.12628E-14 -6.87536E-14  2.70093E-03  5.86454E-03 -7.66301E-03  8.77697E-03  3.80089E-03  2.74528E-05  1.93688E-01
    188  0.00000E+00  0.00000E+00  2.56920E-20 -1.10098E-14  4.05906E-14 -6.77245E-14  2.67989E-03  5.81748E-03 -7.78850E-03  8.66038E-03  3.73801E-03  2.62052E-05  1.93585E-01
    189  0.00000E+00  0.00000E+00  2.58253E-20 -1.09065E-14  3.99181E-14 -6.67031E-14  2.65857E-03  5.77017E-03 -7.91508E-03  8.54691E-03  3.67634E-03  2.50065E-05  1.93467E-01
    190  0.00000E+00  0.00000E+00  2.59582E-20 -1.08042E-14  3.92455E-14 -6.56912E-14  2.63702E-03  5.72272E-03 -8.04280E-03  8.43650E-03  3.61589E-03  2.38543E-05  1.93335E-01
    191  0.00000E+00  0.00000E+00  2.60907E-20 -1.07035E-14  3.85732E-14 -6.46904E-14  2.61528E-03  5.67523E-03 -8.17168E-03  8.32910E-03  3.55666E-03  2.27467E-05  1.93191E-01
    192  0.00000E+00  0.00000E+00  2.62229E-20 -1.06048E-14  3.79021E-14 -6.37018E-14  2.59341E-03  5.62782E-03 -8.30177E-03  8.22470E-03  3.49865E-03  2.16816E-05  1.93036E-01
    193  0.00000E+00  0.00000E+00  2.63546E-20 -1.05080E-14  3.72331E-14 -6.27264E-14  2.57145E-03  5.58059E-03 -8.43311E-03  8.12328E-03  3.44186E-03  2.06572E-05  1.92870E-01
    194  0.00000E+00  0.00000E+00  2.64861E-20 -1.04131E-14  3.65673E-14 -6.17648E-14  2.54945E-03  5.53364E-03 -8.56576E-03  8.02480E-03  3.38628E-03  1.96713E-05  1.92694E-01
    195  0.00000E+00  0.00000E+00  2.66171E-20 -1.03198E-14  3.59064E-14 -6.08175E-14  2.52746E-03  5.48708E-03 -8.69976E-03  7.92916E-03  3.33191E-03  1.87222E-05  1.92508E-01
    196  0.00000E+00  0.00000E+00  2.67479E-20 -1.02278E-14  3.52518E-14 -5.98848E-14  2.50552E-03  5.44099E-03 -8.83516E-03  7.83630E-03  3.27874E-03  1.78081E-05  1.92315E-01
    197  0.00000E+00  0.00000E+00  2.68783E-20 -1.01363E-14  3.46050E-14 -5.89669E-14  2.48368E-03  5.39546E-03 -8.97202E-03  7.74618E-03  3.22677E-03  1.69274E-05  1.92114E-01
    198  0.00000E+00  0.00000E+00  2.70083E-20 -1.00447E-14  3.39676E-14 -5.80638E-14  2.46199E-03  5.35058E-03 -9.11037E-03  7.65876E-03  3.17598E-03  1.60785E-05  1.91907E-01
    199  0.00000E+00  0.00000E+00  2.71381E-20 -9.95229E-15  3.33412E-14 -5.71755E-14  2.44047E-03  5.30641E-03 -9.25026E-03  7.57397E-03  3.12636E-03  1.52599E-05  1.91693E-01
    200  0.00000E+00  0.00000E+00  2.72675E-20 -9.85828E-15  3.27272E-14 -5.63020E-14  2.41920E-03  5.26304E-03 -9.39172E-03  7.49176E-03  3.07790E-03  1.44702E-05  1.91474E-01
