Volume averages, fluxes, etc
it t dt Rho Lp Mp H1p H2p Mhcp Hhcp Hnip Mx My Mz Bx By Bz E Pmin Pmax
     20  0.00000E+00  0.00000E+000  1.20053E+000  1.00003E-001  5.06706E-002  1.06878E-003  2.41660E-003  2.14277E-003  1.68951E-003  1.08016E-003  1.60567E-016 -6.08780E-023 -1.81655E-022 -4.52131E-010 -1.40354E-013 -4.99985E+000  3.76143E-011  1.97616E-005  5.31409E-002
     21  0.00000E+00  0.00000E+000  1.20061E+000  1.00003E-001  5.06762E-002  1.07097E-003  2.41601E-003  2.14166E-003  1.68964E-003  1.08013E-003  1.60567E-016 -6.17869E-023 -1.89421E-022 -4.97149E-010 -1.73472E-013 -4.99985E+000  3.76142E-011  1.99350E-005  5.88725E-002
     22  0.00000E+00  0.00000E+000  1.20063E+000  1.00004E-001  5.06812E-002  1.07247E-003  2.41518E-003  2.13994E-003  1.68975E-003  1.08009E-003  1.60566E-016 -6.17413E-023 -1.92565E-022 -5.40941E-010 -2.23070E-013 -4.99985E+000  3.76142E-011  2.00961E-005  6.20448E-002
     23  0.00000E+00  0.00000E+000  1.20058E+000  1.00004E-001  5.06854E-002  1.07320E-003  2.41408E-003  2.13754E-003  1.68983E-003  1.08005E-003  1.60566E-016 -6.02984E-023 -1.91847E-022 -5.81597E-010 -2.73446E-013 -4.99984E+000  3.76142E-011  2.02455E-005  6.26483E-002
     24  0.00000E+00  0.00000E+000  1.20044E+000  1.00004E-001  5.06887E-002  1.07305E-003  2.41267E-003  2.13435E-003  1.68987E-003  1.08002E-003  1.60565E-016 -5.75175E-023 -1.90604E-022 -6.18100E-010 -3.16364E-013 -4.99984E+000  3.76142E-011  2.03837E-005  6.18963E-002
     25  0.00000E+00  0.00000E+000  1.20022E+000  1.00004E-001  5.06910E-002  1.07198E-003  2.41091E-003  2.13032E-003  1.68988E-003  1.07998E-003  1.60564E-016 -5.39033E-023 -1.86897E-022 -6.48946E-010 -3.41068E-013 -4.99984E+000  3.76141E-011  2.05113E-005  6.15507E-002
     26  0.00000E+00  0.00000E+000  1.19990E+000  1.00004E-001  5.06924E-002  1.06999E-003  2.40880E-003  2.12544E-003  1.68984E-003  1.07995E-003  1.60564E-016 -4.98570E-023 -1.77679E-022 -6.73905E-010 -3.65411E-013 -4.99984E+000  3.76141E-011  2.06288E-005  6.37318E-002
     27  0.00000E+00  0.00000E+000  1.19950E+000  1.00004E-001  5.06928E-002  1.06715E-003  2.40637E-003  2.11977E-003  1.68977E-003  1.07991E-003  1.60563E-016 -4.56363E-023 -1.63387E-022 -6.91882E-010 -3.83412E-013 -4.99983E+000  3.76140E-011  2.07367E-005  6.40528E-002
     28  0.00000E+00  0.00000E+000  1.19902E+000  1.00004E-001  5.06925E-002  1.06354E-003  2.40362E-003  2.11338E-003  1.68966E-003  1.07987E-003  1.60563E-016 -4.12709E-023 -1.47241E-022 -7.02247E-010 -3.95261E-013 -4.99983E+000  3.76140E-011  2.08355E-005  6.29431E-002
     29  0.00000E+00  0.00000E+000  1.19847E+000  1.00004E-001  5.06912E-002  1.05925E-003  2.40058E-003  2.10632E-003  1.68951E-003  1.07984E-003  1.60562E-016 -3.72598E-023 -1.33120E-022 -7.06395E-010 -4.01843E-013 -4.99982E+000  3.76139E-011  2.09255E-005  6.10437E-002
     30  0.00000E+00  0.00000E+000  1.19786E+000  1.00004E-001  5.06892E-002  1.05441E-003  2.39729E-003  2.09870E-003  1.68934E-003  1.07980E-003  1.60561E-016 -3.36499E-023 -1.21230E-022 -7.04467E-010 -4.34273E-013 -4.99982E+000  3.76138E-011  2.10073E-005  5.89076E-002
     31  0.00000E+00  0.00000E+000  1.19720E+000  1.00004E-001  5.06867E-002  1.04917E-003  2.39382E-003  2.09066E-003  1.68913E-003  1.07976E-003  1.60561E-016 -3.03565E-023 -1.10315E-022 -6.99957E-010 -4.41028E-013 -4.99981E+000  3.76138E-011  2.10812E-005  5.66890E-002
     32  0.00000E+00  0.00000E+000  1.19652E+000  1.00004E-001  5.06837E-002  1.04368E-003  2.39023E-003  2.08233E-003  1.68891E-003  1.07973E-003  1.60560E-016 -2.71515E-023 -9.84947E-023 -6.94100E-010 -4.40781E-013 -4.99981E+000  3.76137E-011  2.11476E-005  5.47926E-002
     33  0.00000E+00  0.00000E+000  1.19581E+000  1.00004E-001  5.06804E-002  1.03803E-003  2.38655E-003  2.07382E-003  1.68868E-003  1.07969E-003  1.60560E-016 -2.40792E-023 -8.47500E-023 -6.89319E-010 -4.44771E-013 -4.99980E+000  3.76136E-011  2.12069E-005  5.32538E-002
     34  0.00000E+00  0.00000E+000  1.19509E+000  1.00004E-001  5.06769E-002  1.03235E-003  2.38283E-003  2.06526E-003  1.68844E-003  1.07965E-003  1.60560E-016 -2.12389E-023 -6.96144E-023 -6.85721E-010 -4.18412E-013 -4.99980E+000  3.76135E-011  2.12594E-005  5.14220E-002
     35  0.00000E+00  0.00000E+000  1.19438E+000  1.00004E-001  5.06733E-002  1.02673E-003  2.37910E-003  2.05677E-003  1.68819E-003  1.07962E-003  1.60559E-016 -1.86112E-023 -5.45742E-023 -6.82534E-010 -3.81644E-013 -4.99979E+000  3.76134E-011  2.13055E-005  4.92815E-002
     36  0.00000E+00  0.00000E+000  1.19368E+000  1.00004E-001  5.06694E-002  1.02124E-003  2.37537E-003  2.04841E-003  1.68793E-003  1.07958E-003  1.60559E-016 -1.62693E-023 -4.06489E-023 -6.82126E-010 -3.50001E-013 -4.99979E+000  3.76133E-011  2.13454E-005  4.67508E-002
     37  0.00000E+00  0.00000E+000  1.19298E+000  1.00004E-001  5.06655E-002  1.01585E-003  2.37168E-003  2.04014E-003  1.68768E-003  1.07955E-003  1.60558E-016 -1.42566E-023 -2.83972E-023 -6.83622E-010 -3.00775E-013 -4.99978E+000  3.76132E-011  2.13796E-005  4.49576E-002
     38  0.00000E+00  0.00000E+000  1.19229E+000  1.00004E-001  5.06615E-002  1.01060E-003  2.36805E-003  2.03199E-003  1.68744E-003  1.07951E-003  1.60558E-016 -1.25745E-023 -1.85793E-023 -6.87606E-010 -2.52486E-013 -4.99977E+000  3.76131E-011  2.14082E-005  4.49516E-002
     39  0.00000E+00  0.00000E+000  1.19162E+000  1.00004E-001  5.06576E-002  1.00550E-003  2.36452E-003  2.02397E-003  1.68720E-003  1.07948E-003  1.60557E-016 -1.11818E-023 -1.13922E-023 -6.94234E-010 -2.06677E-013 -4.99976E+000  3.76130E-011  2.14316E-005  4.49457E-002
     40  0.00000E+00  0.00000E+000  1.19096E+000  1.00004E-001  5.06538E-002  1.00061E-003  2.36112E-003  2.01614E-003  1.68698E-003  1.07944E-003  1.60557E-016 -1.00601E-023 -6.65198E-024 -7.05503E-010 -1.61869E-013 -4.99976E+000  3.76129E-011  2.14501E-005  4.49397E-002
     41  0.00000E+00  0.00000E+000  1.19033E+000  1.00004E-001  5.06500E-002  9.95958E-004  2.35784E-003  2.00854E-003  1.68677E-003  1.07941E-003  1.60556E-016 -9.16387E-024 -4.03506E-024 -7.20887E-010 -1.36086E-013 -4.99975E+000  3.76128E-011  2.14638E-005  4.49338E-002
     42  0.00000E+00  0.00000E+000  1.18973E+000  1.00003E-001  5.06464E-002  9.91586E-004  2.35472E-003  2.00120E-003  1.68658E-003  1.07938E-003  1.60555E-016 -8.40382E-024 -3.23427E-024 -7.42044E-010 -1.27672E-013 -4.99974E+000  3.76126E-011  2.14731E-005  4.49279E-002
     43  0.00000E+00  0.00000E+000  1.18916E+000  1.00003E-001  5.06430E-002  9.87528E-004  2.35175E-003  1.99416E-003  1.68641E-003  1.07934E-003  1.60555E-016 -7.74057E-024 -3.44020E-024 -7.70221E-010 -1.12011E-013 -4.99973E+000  3.76125E-011  2.14781E-005  4.49221E-002
     44  0.00000E+00  0.00000E+000  1.18861E+000  1.00003E-001  5.06397E-002  9.83805E-004  2.34892E-003  1.98745E-003  1.68626E-003  1.07931E-003  1.60554E-016 -7.14447E-024 -4.09108E-024 -8.05756E-010 -8.84247E-014 -4.99972E+000  3.76123E-011  2.14791E-005  4.49162E-002
     45  0.00000E+00  0.00000E+000  1.18811E+000  1.00003E-001  5.06366E-002  9.80437E-004  2.34625E-003  1.98108E-003  1.68612E-003  1.07928E-003  1.60553E-016 -6.59182E-024 -4.71643E-024 -8.49165E-010 -5.53284E-014 -4.99971E+000  3.76122E-011  2.14762E-005  4.49104E-002
     46  0.00000E+00  0.00000E+000  1.18763E+000  1.00003E-001  5.06337E-002  9.77440E-004  2.34370E-003  1.97508E-003  1.68600E-003  1.07925E-003  1.60553E-016 -6.06207E-024 -4.92263E-024 -8.98500E-010 -2.16790E-014 -4.99970E+000  3.76120E-011  2.14698E-005  4.49045E-002
     47  0.00000E+00  0.00000E+000  1.18719E+000  1.00003E-001  5.06309E-002  9.74770E-004  2.34128E-003  1.96942E-003  1.68589E-003  1.07922E-003  1.60552E-016 -5.55583E-024 -4.72085E-024 -9.52958E-010  3.27292E-015 -4.99969E+000  3.76118E-011  2.14600E-005  4.48987E-002
     48  0.00000E+00  0.00000E+000  1.18677E+000  1.00003E-001  5.06282E-002  9.72388E-004  2.33897E-003  1.96406E-003  1.68579E-003  1.07919E-003  1.60551E-016 -5.07843E-024 -4.14094E-024 -1.01142E-009  2.45288E-014 -4.99968E+000  3.76116E-011  2.14469E-005  4.48929E-002
     49  0.00000E+00  0.00000E+000  1.18638E+000  1.00002E-001  5.06257E-002  9.70256E-004  2.33676E-003  1.95896E-003  1.68571E-003  1.07916E-003  1.60550E-016 -4.64311E-024 -3.27699E-024 -1.07467E-009  3.10701E-014 -4.99967E+000  3.76114E-011  2.14308E-005  4.48871E-002
     50  0.00000E+00  0.00000E+000  1.18601E+000  1.00002E-001  5.06232E-002  9.68344E-004  2.33463E-003  1.95411E-003  1.68564E-003  1.07913E-003  1.60549E-016 -4.25285E-024 -2.22925E-024 -1.14240E-009  2.24931E-014 -4.99965E+000  3.76112E-011  2.14118E-005  4.48813E-002
