Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ex Ey Ez HypE E ElRho ElMx ElMy ElMz ElE Pmin Pmax
    850  1.35840E+03  1.60000E+000  1.00000E+000 -2.30250E-006 -6.51860E-007 -1.47144E-005  1.00000E+000  3.74700E-018  5.69206E-021 -2.66792E-004  1.89254E-004  4.53391E-004  2.94393E-009  1.74814E-002  1.00000E-002 -2.48754E-007  4.07880E-007 -5.19368E-006  1.50154E-002  9.94155E-003  1.00685E-002
    900  1.43840E+03  1.60000E+000  1.00000E+000 -2.37806E-006 -7.67623E-007 -1.50453E-005  1.00000E+000  9.29812E-018  1.43657E-020 -2.68838E-004  1.27606E-004  1.08799E-003  3.33023E-009  1.74845E-002  1.00000E-002 -2.83001E-007  4.24132E-007 -5.10078E-006  1.50161E-002  9.93535E-003  1.00751E-002
    950  1.51840E+03  1.60000E+000  1.00000E+000 -2.45049E-006 -8.63945E-007 -1.49214E-005  1.00000E+000  4.30211E-018  4.20128E-021 -2.63032E-004  5.61352E-005  1.70897E-003  2.90345E-009  1.74868E-002  1.00000E-002 -3.16991E-007  4.32247E-007 -4.92539E-006  1.50176E-002  9.92905E-003  1.00818E-002
   1000  1.59840E+03  1.60000E+000  1.00000E+000 -2.51856E-006 -9.29027E-007 -1.47965E-005  1.00000E+000  9.57567E-018  2.16840E-021 -2.48752E-004 -2.33575E-005  2.30509E-003  2.81879E-009  1.74883E-002  1.00000E-002 -3.49689E-007  4.31267E-007 -4.67448E-006  1.50199E-002  9.92241E-003  1.00891E-002
   1050  1.67840E+03  1.60000E+000  1.00000E+000 -2.58468E-006 -9.88945E-007 -1.46389E-005  1.00000E+000  1.05471E-017 -8.13152E-022 -2.25781E-004 -1.09309E-004  2.86583E-003  3.14109E-009  1.74890E-002  1.00000E-002 -3.80047E-007  4.20035E-007 -4.35152E-006  1.50227E-002  9.91542E-003  1.00964E-002
   1100  1.75840E+03  1.60000E+000  1.00000E+000 -2.65621E-006 -1.02569E-006 -1.45461E-005  1.00000E+000 -4.16334E-019  5.42101E-022 -1.94228E-004 -1.99794E-004  3.38168E-003  4.48056E-009  1.74890E-002  1.00000E-002 -4.07054E-007  3.98050E-007 -3.96251E-006  1.50257E-002  9.90837E-003  1.01038E-002
   1150  1.83840E+03  1.60000E+000  1.00000E+000 -2.73044E-006 -1.05071E-006 -1.48317E-005  1.00000E+000  3.74700E-018  1.08420E-021 -1.54537E-004 -2.92498E-004  3.84396E-003  4.27324E-009  1.74882E-002  1.00000E-002 -4.29635E-007  3.64756E-007 -3.51676E-006  1.50288E-002  9.90128E-003  1.01113E-002
   1200  1.91840E+03  1.60000E+000  1.00000E+000 -2.81283E-006 -1.08517E-006 -1.55167E-005  1.00000E+000 -1.45717E-018 -2.16840E-021 -1.07561E-004 -3.85259E-004  4.24501E-003  4.15627E-009  1.74868E-002  1.00000E-002 -4.46877E-007  3.19755E-007 -3.02168E-006  1.50317E-002  9.89417E-003  1.01188E-002
   1250  1.99840E+03  1.60000E+000  1.00000E+000 -2.90713E-006 -1.12292E-006 -1.58760E-005  1.00000E+000 -2.08167E-018  1.35525E-021 -5.45480E-005 -4.76570E-004  4.57835E-003  2.67511E-009  1.74849E-002  1.00000E-002 -4.57982E-007  2.63198E-007 -2.47807E-006  1.50344E-002  9.88707E-003  1.01263E-002
   1300  2.07840E+03  1.60000E+000  1.00000E+000 -3.01135E-006 -1.09850E-006 -1.60080E-005  1.00000E+000  6.24500E-019 -3.79471E-021  3.03155E-006 -5.64054E-004  4.83877E-003  2.05100E-009  1.74826E-002  1.00000E-002 -4.62265E-007  1.96109E-007 -1.89572E-006  1.50366E-002  9.87999E-003  1.01337E-002
   1350  2.15840E+03  1.60000E+000  1.00000E+000 -3.13477E-006 -1.04497E-006 -1.67951E-005  1.00000E+000  6.45317E-018 -1.08420E-021  6.33581E-005 -6.44559E-004  5.02223E-003  1.33246E-009  1.74799E-002  1.00000E-002 -4.59360E-007  1.18809E-007 -1.29283E-006  1.50382E-002  9.87299E-003  1.01410E-002
   1400  2.23840E+03  1.60000E+000  1.00000E+000 -3.27368E-006 -9.77428E-007 -1.74976E-005  1.00000E+000 -4.54498E-018  7.58942E-021  1.24371E-004 -7.16623E-004  5.12594E-003  2.28829E-009  1.74771E-002  1.00000E-002 -4.49016E-007  3.20806E-008 -6.71802E-007  1.50392E-002  9.86583E-003  1.01486E-002
   1450  2.31840E+03  1.60000E+000  1.00000E+000 -3.42727E-006 -8.91679E-007 -1.83943E-005  1.00000E+000  5.65520E-018  5.14996E-021  1.83855E-004 -7.77864E-004  5.14854E-003  2.60927E-009  1.74742E-002  1.00000E-002 -4.31274E-007 -6.28363E-008 -4.54726E-008  1.50396E-002  9.85848E-003  1.01563E-002
   1500  2.39840E+03  1.60000E+000  1.00000E+000 -3.60205E-006 -8.04534E-007 -1.93130E-005  1.00000E+000  3.03577E-018  9.75782E-021  2.39550E-004 -8.26511E-004  5.08992E-003  2.37225E-009  1.74714E-002  1.00000E-002 -4.06531E-007 -1.64658E-007  5.77736E-007  1.50393E-002  9.85124E-003  1.01639E-002
   1550  2.47840E+03  1.60000E+000  1.00000E+000 -3.79121E-006 -7.08579E-007 -2.00597E-005  1.00000E+000 -4.19803E-018  5.55654E-021  2.89198E-004 -8.61026E-004  4.95132E-003  3.38446E-009  1.74688E-002  1.00000E-002 -3.75332E-007 -2.71631E-007  1.18970E-006  1.50385E-002  9.84414E-003  1.01712E-002
   1600  2.55840E+03  1.60000E+000  1.00000E+000 -3.99973E-006 -5.91893E-007 -2.06574E-005  1.00000E+000 -5.11310E-018  4.20128E-021  3.30656E-004 -8.79908E-004  4.73527E-003  4.01367E-009  1.74665E-002  1.00000E-002 -3.38618E-007 -3.81754E-007  1.78035E-006  1.50372E-002  9.83722E-003  1.01782E-002
   1650  2.63840E+03  1.60000E+000  1.00000E+000 -4.22251E-006 -4.28494E-007 -2.11439E-005  1.00000E+000 -9.43473E-018  5.53113E-021  3.62008E-004 -8.81912E-004  4.44553E-003  3.31712E-009  1.74646E-002  1.00000E-002 -2.97487E-007 -4.92720E-007  2.33989E-006  1.50355E-002  9.83049E-003  1.01848E-002
   1700  2.71840E+03  1.60000E+000  1.00000E+000 -4.45247E-006 -2.41234E-007 -2.17504E-005  1.00000E+000 -6.87818E-018  3.04932E-021  3.81582E-004 -8.65916E-004  4.08694E-003  2.19403E-009  1.74632E-002  1.00000E-002 -2.53240E-007 -6.02582E-007  2.85711E-006  1.50336E-002  9.82400E-003  1.01910E-002
