Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ex Ey Ez HypE E ElRho ElMx ElMy ElMz ElE Pmin Pmax
   3800  6.07840E+03  1.60000E+000  1.00000E+000 -1.32931E-005 -1.64778E-006 -1.60664E-005  1.00000E+000 -1.24900E-018 -1.04354E-020  4.15081E-004 -1.90166E-003  4.34505E-003  5.43463E-009  1.74272E-002  1.00000E-002  2.81845E-006  8.78911E-007 -1.90177E-006  1.50844E-002  9.77761E-003  1.02210E-002
   3850  6.15840E+03  1.60000E+000  1.00000E+000 -1.36676E-005 -1.41562E-006 -1.66781E-005  1.00000E+000  4.16334E-018 -1.76183E-020  2.25530E-005 -2.05048E-003  4.49451E-003  6.51586E-009  1.74267E-002  1.00000E-002  2.84247E-006  6.31726E-007 -1.34432E-006  1.50820E-002  9.77699E-003  1.02213E-002
   3900  6.23840E+03  1.60000E+000  1.00000E+000 -1.39694E-005 -1.16382E-006 -1.72212E-005  1.00000E+000 -1.66533E-018 -1.16552E-020 -3.95023E-004 -2.16973E-003  4.57122E-003  5.86782E-009  1.74267E-002  1.00000E-002  2.81649E-006  3.67951E-007 -7.70886E-007  1.50783E-002  9.77645E-003  1.02222E-002
   3950  6.31840E+03  1.60000E+000  1.00000E+000 -1.42013E-005 -8.89601E-007 -1.78485E-005  1.00000E+000  4.02456E-018 -1.32815E-020 -8.28597E-004 -2.25656E-003  4.57421E-003  6.81411E-009  1.74268E-002  1.00000E-002  2.73792E-006  9.14945E-008 -1.92185E-007  1.50736E-002  9.77594E-003  1.02238E-002
   4000  6.39840E+03  1.60000E+000  1.00000E+000 -1.43477E-005 -5.95795E-007 -1.84774E-005  1.00000E+000 -3.60822E-018 -1.42302E-020 -1.26837E-003 -2.30882E-003  4.50365E-003  7.49720E-009  1.74271E-002  1.00000E-002  2.60552E-006 -1.93487E-007  3.83373E-007  1.50680E-002  9.77542E-003  1.02259E-002
   4050  6.47840E+03  1.60000E+000  1.00000E+000 -1.44110E-005 -2.88547E-007 -1.90864E-005  1.00000E+000 -7.49401E-018 -1.27394E-020 -1.70397E-003 -2.32485E-003  4.36092E-003  8.17814E-009  1.74276E-002  1.00000E-002  2.41913E-006 -4.82623E-007  9.46859E-007  1.50618E-002  9.77487E-003  1.02283E-002
   4100  6.55840E+03  1.60000E+000  1.00000E+000 -1.43904E-005  2.52499E-008 -1.96655E-005  1.00000E+000 -1.72778E-017 -1.55854E-020 -2.12475E-003 -2.30355E-003  4.14849E-003  7.60676E-009  1.74280E-002  1.00000E-002  2.17995E-006 -7.71378E-007  1.48947E-006  1.50552E-002  9.77429E-003  1.02311E-002
   4150  6.63840E+03  1.60000E+000  1.00000E+000 -1.42812E-005  3.36881E-007 -2.01219E-005  1.00000E+000 -1.68615E-017 -8.13152E-021 -2.52009E-003 -2.24448E-003  3.86995E-003  7.78102E-009  1.74283E-002  1.00000E-002  1.89054E-006 -1.05513E-006  2.00359E-006  1.50487E-002  9.77362E-003  1.02342E-002
   4200  6.71840E+03  1.60000E+000  1.00000E+000 -1.40971E-005  6.43404E-007 -2.05936E-005  1.00000E+000 -7.07767E-018 -4.20128E-021 -2.87967E-003 -2.14762E-003  3.52994E-003  7.68703E-009  1.74285E-002  1.00000E-002  1.55458E-006 -1.32919E-006  2.47983E-006  1.50424E-002  9.77269E-003  1.02376E-002
   4250  6.79840E+03  1.60000E+000  1.00000E+000 -1.38352E-005  9.42386E-007 -2.10128E-005  1.00000E+000 -1.44329E-017 -4.20128E-021 -3.19379E-003 -2.01376E-003  3.13404E-003  7.63940E-009  1.74285E-002  1.00000E-002  1.17720E-006 -1.58889E-006  2.91148E-006  1.50367E-002  9.77124E-003  1.02413E-002
   4300  6.87840E+03  1.60000E+000  1.00000E+000 -1.35078E-005  1.22928E-006 -2.14801E-005  1.00000E+000 -7.21645E-018 -1.30104E-020 -3.45367E-003 -1.84418E-003  2.68874E-003  7.70452E-009  1.74282E-002  1.00000E-002  7.64508E-007 -1.82973E-006  3.29090E-006  1.50318E-002  9.76743E-003  1.02451E-002
   4350  6.95840E+03  1.60000E+000  1.00000E+000 -1.31273E-005  1.49797E-006 -2.18124E-005  1.00000E+000 -9.29812E-018 -7.31836E-021 -3.65170E-003 -1.64103E-003  2.20127E-003  7.35056E-009  1.74276E-002  1.00000E-002  3.23648E-007 -2.04745E-006  3.61414E-006  1.50279E-002  9.76322E-003  1.02492E-002
   4400  7.03840E+03  1.60000E+000  1.00000E+000 -1.26989E-005  1.74099E-006 -2.20461E-005  1.00000E+000 -1.26982E-017 -5.01444E-021 -3.78167E-003 -1.40685E-003  1.67949E-003  7.14375E-009  1.74267E-002  1.00000E-002 -1.37298E-007 -2.23806E-006  3.87601E-006  1.50252E-002  9.75894E-003  1.02535E-002
   4450  7.11840E+03  1.60000E+000  1.00000E+000 -1.22462E-005  1.95610E-006 -2.22682E-005  1.00000E+000 -1.56819E-017  1.35525E-022 -3.83903E-003 -1.14472E-003  1.13179E-003  7.62887E-009  1.74255E-002  1.00000E-002 -6.09757E-007 -2.39791E-006  4.07181E-006  1.50238E-002  9.75476E-003  1.02578E-002
   4500  7.19840E+03  1.60000E+000  1.00000E+000 -1.17761E-005  2.13970E-006 -2.23489E-005  1.00000E+000 -1.49533E-017 -1.21973E-021 -3.82098E-003 -8.58435E-004  5.66965E-004  8.29781E-009  1.74240E-002  1.00000E-002 -1.08453E-006 -2.52375E-006  4.20009E-006  1.50236E-002  9.75074E-003  1.02622E-002
   4550  7.27840E+03  1.60000E+000  1.00000E+000 -1.13063E-005  2.28627E-006 -2.23822E-005  1.00000E+000 -1.55431E-017 -7.45389E-021 -3.72664E-003 -5.52040E-004 -5.98395E-006  8.23428E-009  1.74222E-002  1.00000E-002 -1.55230E-006 -2.61288E-006  4.25827E-006  1.50247E-002  9.74689E-003  1.02665E-002
   4600  7.35840E+03  1.60000E+000  1.00000E+000 -1.08563E-005  2.39343E-006 -2.23267E-005  1.00000E+000 -1.57166E-017 -7.18284E-021 -3.55709E-003 -2.30132E-004 -5.77939E-004  8.41279E-009  1.74202E-002  1.00000E-002 -2.00376E-006 -2.66308E-006  4.24626E-006  1.50269E-002  9.74319E-003  1.02708E-002
   4650  7.43840E+03  1.60000E+000  1.00000E+000 -1.04340E-005  2.45674E-006 -2.22333E-005  1.00000E+000 -1.99320E-017 -7.58942E-021 -3.31538E-003  1.02452E-004 -1.13983E-003  9.27812E-009  1.74180E-002  1.00000E-002 -2.42976E-006 -2.67277E-006  4.16418E-006  1.50302E-002  9.73926E-003  1.02749E-002
   4700  7.51840E+03  1.60000E+000  1.00000E+000 -1.00640E-005  2.47626E-006 -2.19887E-005  1.00000E+000 -5.71591E-018 -3.79471E-021 -3.00649E-003  4.40443E-004 -1.68279E-003  9.20107E-009  1.74157E-002  1.00000E-002 -2.82183E-006 -2.64093E-006  4.01490E-006  1.50342E-002  9.73529E-003  1.02787E-002
   4750  7.59840E+03  1.60000E+000  1.00000E+000 -9.75331E-006  2.45393E-006 -2.17202E-005  1.00000E+000 -1.83967E-017 -4.70950E-021 -2.63719E-003  7.78624E-004 -2.19829E-003  9.43454E-009  1.74134E-002  1.00000E-002 -3.17204E-006 -2.56718E-006  3.80000E-006  1.50387E-002  9.73152E-003  1.02823E-002
   4800  7.67840E+03  1.60000E+000  1.00000E+000 -9.51511E-006  2.38583E-006 -2.14319E-005  1.00000E+000 -2.59168E-017 -1.69407E-021 -2.21593E-003  1.11156E-003 -2.67827E-003  9.71502E-009  1.74113E-002  1.00000E-002 -3.47348E-006 -2.45190E-006  3.52329E-006  1.50436E-002  9.72793E-003  1.02854E-002
   4850  7.75840E+03  1.60000E+000  1.00000E+000 -9.36494E-006  2.27079E-006 -2.11321E-005  1.00000E+000 -2.16927E-017 -5.09914E-021 -1.75256E-003  1.43381E-003 -3.11526E-003  9.33944E-009  1.74093E-002  1.00000E-002 -3.72041E-006 -2.29609E-006  3.18954E-006  1.50485E-002  9.72454E-003  1.02878E-002
   4900  7.83840E+03  1.60000E+000  1.00000E+000 -9.30231E-006  2.11144E-006 -2.07709E-005  1.00000E+000 -2.98546E-017 -7.01343E-021 -1.25813E-003  1.73995E-003 -3.50251E-003  9.56626E-009  1.74077E-002  1.00000E-002 -3.90824E-006 -2.10140E-006  2.80498E-006  1.50531E-002  9.72135E-003  1.02908E-002
   4950  7.91840E+03  1.60000E+000  1.00000E+000 -9.34274E-006  1.90875E-006 -2.02749E-005  1.00000E+000 -2.36269E-017  8.26704E-021 -7.44565E-004  2.02469E-003 -3.83410E-003  8.82519E-009  1.74065E-002  1.00000E-002 -4.03399E-006 -1.87016E-006  2.37686E-006  1.50572E-002  9.71834E-003  1.02934E-002
   5000  7.99840E+03  1.60000E+000  1.00000E+000 -9.48323E-006  1.66716E-006 -1.97493E-005  1.00000E+000 -1.17961E-017 -6.85673E-021 -2.24356E-004  2.28319E-003 -4.10503E-003  7.55419E-009  1.74058E-002  1.00000E-002 -4.09600E-006 -1.60531E-006  1.91133E-006  1.50607E-002  9.71551E-003  1.02954E-002
   5050  8.07840E+03  1.60000E+000  1.00000E+000 -9.72291E-006  1.39424E-006 -1.92032E-005  1.00000E+000 -1.94983E-017  9.45289E-021  2.89830E-004  2.51084E-003 -4.31130E-003  7.44382E-009  1.74058E-002  1.00000E-002 -4.09423E-006 -1.31034E-006  1.41607E-006  1.50632E-002  9.71287E-003  1.02964E-002
   5100  8.15840E+03  1.60000E+000  1.00000E+000 -1.00663E-005  1.08937E-006 -1.86935E-005  1.00000E+000 -2.38698E-017  3.62530E-021  7.85448E-004  2.70349E-003 -4.44995E-003  8.65599E-009  1.74065E-002  1.00000E-002 -4.03026E-006 -9.89387E-007  8.98709E-007  1.50648E-002  9.71044E-003  1.02967E-002
   5150  8.23840E+03  1.60000E+000  1.00000E+000 -1.04978E-005  7.59242E-007 -1.81505E-005  1.00000E+000 -2.60902E-017  3.99800E-021  1.25045E-003  2.85735E-003 -4.51913E-003  8.88981E-009  1.74080E-002  1.00000E-002 -3.90702E-006 -6.46994E-007  3.68447E-007  1.50653E-002  9.70833E-003  1.02964E-002
   5200  8.31840E+03  1.60000E+000  1.00000E+000 -1.10185E-005  4.06768E-007 -1.74709E-005  1.00000E+000 -3.15720E-017  4.60786E-021  1.67369E-003  2.96917E-003 -4.51812E-003  8.36558E-009  1.74103E-002  1.00000E-002 -3.72905E-006 -2.88183E-007 -1.65021E-007  1.50648E-002  9.70663E-003  1.02958E-002
   5250  8.39840E+03  1.60000E+000  1.00000E+000 -1.16137E-005  3.17865E-008 -1.69871E-005  1.00000E+000 -2.04003E-017  5.01444E-021  2.04517E-003  3.03675E-003 -4.44732E-003  8.86200E-009  1.74135E-002  1.00000E-002 -3.50206E-006  8.16415E-008 -6.96336E-007  1.50632E-002  9.70556E-003  1.02950E-002
   5300  8.47840E+03  1.60000E+000  1.00000E+000 -1.22667E-005 -3.53196E-007 -1.65291E-005  1.00000E+000 -2.14412E-017 -5.42101E-022  2.35638E-003  3.05805E-003 -4.30826E-003  8.37054E-009  1.74176E-002  1.00000E-002 -3.23290E-006  4.56928E-007 -1.21524E-006  1.50607E-002  9.70515E-003  1.02938E-002
   5350  8.55840E+03  1.60000E+000  1.00000E+000 -1.29722E-005 -7.45056E-007 -1.61753E-005  1.00000E+000 -2.76168E-017  6.36969E-021  2.60051E-003  3.03201E-003 -4.10358E-003  9.00074E-009  1.74226E-002  1.00000E-002 -2.92950E-006  8.31845E-007 -1.71421E-006  1.50573E-002  9.70532E-003  1.02924E-002
   5400  8.63840E+03  1.60000E+000  1.00000E+000 -1.37035E-005 -1.13853E-006 -1.56531E-005  1.00000E+000 -2.26208E-017  9.48677E-022  2.77274E-003  2.95794E-003 -3.83693E-003  7.61951E-009  1.74285E-002  1.00000E-002 -2.60030E-006  1.20048E-006 -2.18261E-006  1.50534E-002  9.70515E-003  1.02910E-002
   5450  8.71840E+03  1.60000E+000  1.00000E+000 -1.44502E-005 -1.52635E-006 -1.52258E-005  1.00000E+000 -1.51268E-017 -5.42101E-022  2.87028E-003  2.83645E-003 -3.51294E-003  6.75097E-009  1.74352E-002  1.00000E-002 -2.25436E-006  1.55695E-006 -2.61568E-006  1.50489E-002  9.70520E-003  1.02894E-002
   5500  8.79840E+03  1.60000E+000  1.00000E+000 -1.51946E-005 -1.90198E-006 -1.48867E-005  1.00000E+000 -2.56739E-017  4.20128E-021  2.89254E-003  2.66865E-003 -3.13717E-003  5.61085E-009  1.74426E-002  1.00000E-002 -1.90092E-006  1.89545E-006 -3.00660E-006  1.50442E-002  9.70569E-003  1.02878E-002
   5550  8.87840E+03  1.60000E+000  1.00000E+000 -1.59123E-005 -2.25758E-006 -1.46240E-005  1.00000E+000 -2.24820E-017  1.21973E-021  2.84108E-003  2.45639E-003 -2.71596E-003  5.83673E-009  1.74507E-002  1.00000E-002 -1.54907E-006  2.21036E-006 -3.34923E-006  1.50395E-002  9.70627E-003  1.02863E-002
   5600  8.95840E+03  1.60000E+000  1.00000E+000 -1.65973E-005 -2.59056E-006 -1.42954E-005  1.00000E+000 -2.56739E-017  1.08420E-020  2.71963E-003  2.20214E-003 -2.25638E-003  6.18975E-009  1.74592E-002  1.00000E-002 -1.20775E-006  2.49631E-006 -3.63699E-006  1.50348E-002  9.70701E-003  1.02847E-002
   5650  9.03840E+03  1.60000E+000  1.00000E+000 -1.72247E-005 -2.89639E-006 -1.41283E-005  1.00000E+000 -2.05391E-017  2.71051E-021  2.53395E-003  1.90946E-003 -1.76602E-003  6.00264E-009  1.74682E-002  1.00000E-002 -8.85120E-007  2.74831E-006 -3.86787E-006  1.50305E-002  9.70825E-003  1.02830E-002
   5700  9.11840E+03  1.60000E+000  1.00000E+000 -1.77835E-005 -3.16200E-006 -1.40012E-005  1.00000E+000 -2.34535E-017  9.75782E-021  2.29165E-003  1.58221E-003 -1.25297E-003  6.40128E-009  1.74774E-002  1.00000E-002 -5.88640E-007  2.96193E-006 -4.03739E-006  1.50265E-002  9.71000E-003  1.02810E-002
   5750  9.19840E+03  1.60000E+000  1.00000E+000 -1.82651E-005 -3.38633E-006 -1.39222E-005  1.00000E+000 -2.08167E-017  4.60786E-021  2.00197E-003  1.22502E-003 -7.25594E-004  6.76547E-009  1.74866E-002  1.00000E-002 -3.24742E-007  3.13313E-006 -4.14337E-006  1.50231E-002  9.71220E-003  1.02785E-002
   5800  9.27840E+03  1.60000E+000  1.00000E+000 -1.86513E-005 -3.56655E-006 -1.38837E-005  1.00000E+000 -3.24740E-017  8.40257E-021  1.67554E-003  8.43029E-004 -1.92468E-004  6.45504E-009  1.74958E-002  1.00000E-002 -9.85135E-008  3.25852E-006 -4.18454E-006  1.50202E-002  9.71479E-003  1.02752E-002
   5850  9.35840E+03  1.60000E+000  1.00000E+000 -1.89458E-005 -3.69563E-006 -1.39835E-005  1.00000E+000 -2.87270E-017  1.05710E-020  1.32399E-003  4.41995E-004  3.37817E-004  6.50031E-009  1.75047E-002  1.00000E-002  8.61354E-008  3.33543E-006 -4.16174E-006  1.50180E-002  9.71780E-003  1.02725E-002
   5900  9.43840E+03  1.60000E+000  1.00000E+000 -1.91373E-005 -3.77084E-006 -1.41391E-005  1.00000E+000 -1.83187E-017  9.21572E-021  9.59635E-004  2.78744E-005  8.56779E-004  6.99640E-009  1.75132E-002  1.00000E-002  2.26942E-007  3.36186E-006 -4.07511E-006  1.50163E-002  9.72129E-003  1.02692E-002
   5950  9.51840E+03  1.60000E+000  1.00000E+000 -1.92258E-005 -3.79211E-006 -1.43815E-005  1.00000E+000 -2.27596E-017  0.00000E+000  5.95110E-004 -3.92957E-004  1.35619E-003  7.03477E-009  1.75211E-002  1.00000E-002  3.23097E-007  3.33658E-006 -3.92691E-006  1.50151E-002  9.72525E-003  1.02650E-002
   6000  9.59840E+03  1.60000E+000  1.00000E+000 -1.92186E-005 -3.76087E-006 -1.46776E-005  1.00000E+000 -1.95677E-017  1.76183E-020  2.42936E-004 -8.13969E-004  1.82820E-003  7.26898E-009  1.75283E-002  1.00000E-002  3.75291E-007  3.25913E-006 -3.71981E-006  1.50144E-002  9.72951E-003  1.02599E-002
   6050  9.67840E+03  1.60000E+000  1.00000E+000 -1.91126E-005 -3.67649E-006 -1.48938E-005  1.00000E+000 -2.20657E-017  1.24683E-020 -8.48609E-005 -1.22862E-003  2.26547E-003  7.88879E-009  1.75346E-002  1.00000E-002  3.85859E-007  3.12993E-006 -3.45641E-006  1.50141E-002  9.73338E-003  1.02537E-002
   6100  9.75840E+03  1.60000E+000  1.00000E+000 -1.89256E-005 -3.53695E-006 -1.51934E-005  1.00000E+000 -2.33147E-017  2.19551E-020 -3.77110E-004 -1.63008E-003  2.66130E-003  8.55618E-009  1.75398E-002  1.00000E-002  3.58380E-007  2.95021E-006 -3.14314E-006  1.50141E-002  9.73763E-003  1.02469E-002
   6150  9.83840E+03  1.60000E+000  1.00000E+000 -1.86627E-005 -3.34260E-006 -1.56129E-005  1.00000E+000 -1.77636E-017  1.76183E-020 -6.23840E-004 -2.01172E-003  3.00972E-003  7.27322E-009  1.75440E-002  1.00000E-002  2.97886E-007  2.72203E-006 -2.78596E-006  1.50142E-002  9.74226E-003  1.02405E-002
   6200  9.91840E+03  1.60000E+000  1.00000E+000 -1.83372E-005 -3.09824E-006 -1.60969E-005  1.00000E+000 -1.79023E-017  1.11131E-020 -8.16627E-004 -2.36724E-003  3.30559E-003  8.80250E-009  1.75470E-002  1.00000E-002  2.10479E-007  2.44821E-006 -2.39061E-006  1.50144E-002  9.74725E-003  1.02337E-002
   6250  9.99840E+03  1.60000E+000  1.00000E+000 -1.79702E-005 -2.80804E-006 -1.65308E-005  1.00000E+000 -2.19269E-017  9.48677E-021 -9.48835E-004 -2.69071E-003  3.54470E-003  9.07050E-009  1.75487E-002  1.00000E-002  1.03127E-007  2.13236E-006 -1.96280E-006  1.50145E-002  9.75257E-003  1.02264E-002
   6251  1.00000E+04  1.60000E+000  1.00000E+000 -1.63630E-005  2.16976E-006 -1.95424E-005  1.00000E+000 -2.35922E-017  7.86047E-021  9.51096E-004  2.73305E-003 -3.59045E-003  9.09870E-009  1.74776E-002  1.00000E-002 -4.44083E-007 -2.13196E-006  1.59315E-006  1.50846E-002  9.75268E-003  1.02262E-002
