AIA filters optically thin plasma response: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 1 3
200 14
0.0
l10T l10ne 94 131 335
4.50000e+00 5.00000e+00 1.40574e-13 5.99413e-12 7.03706e-05
4.51758e+00 5.00000e+00 3.05785e-13 1.92426e-11 9.43778e-05
4.53517e+00 5.00000e+00 6.59044e-13 6.08759e-11 1.24413e-04
4.55276e+00 5.00000e+00 1.40287e-12 1.88911e-10 1.62974e-04
4.57035e+00 5.00000e+00 2.93794e-12 5.72006e-10 2.14145e-04
4.58793e+00 5.00000e+00 6.03490e-12 1.68260e-09 2.84262e-04
4.60552e+00 5.00000e+00 1.21526e-11 4.80303e-09 3.82928e-04
4.62311e+00 5.00000e+00 2.39433e-11 1.32464e-08 5.23709e-04
4.64070e+00 5.00000e+00 4.61381e-11 3.52609e-08 7.24238e-04
4.65829e+00 5.00000e+00 8.70332e-11 9.05460e-08 1.00805e-03
4.67587e+00 5.00000e+00 1.61194e-10 2.24518e-07 1.40632e-03
4.69346e+00 5.00000e+00 2.94593e-10 5.38571e-07 1.95975e-03
4.71105e+00 5.00000e+00 5.35146e-10 1.25298e-06 2.72061e-03
4.72864e+00 5.00000e+00 9.72444e-10 2.82457e-06 3.74771e-03
4.74623e+00 5.00000e+00 1.77965e-09 6.15482e-06 5.09831e-03
4.76381e+00 5.00000e+00 3.30592e-09 1.29329e-05 6.81992e-03
4.78140e+00 5.00000e+00 6.27160e-09 2.61441e-05 8.93516e-03
4.79899e+00 5.00000e+00 1.21624e-08 5.07342e-05 1.14233e-02
4.81658e+00 5.00000e+00 2.39901e-08 9.43978e-05 1.42045e-02
4.83417e+00 5.00000e+00 4.74649e-08 1.67768e-04 1.71462e-02
4.85175e+00 5.00000e+00 9.28839e-08 2.84422e-04 2.00633e-02
4.86934e+00 5.00000e+00 1.77237e-07 4.59014e-04 2.27290e-02
4.88693e+00 5.00000e+00 3.25896e-07 7.03779e-04 2.49036e-02
4.90452e+00 5.00000e+00 5.72332e-07 1.02312e-03 2.63721e-02
4.92211e+00 5.00000e+00 9.55970e-07 1.41178e-03 2.70589e-02
4.93969e+00 5.00000e+00 1.52447e-06 1.86164e-03 2.71132e-02
4.95728e+00 5.00000e+00 2.33382e-06 2.36337e-03 2.67546e-02
4.97487e+00 5.00000e+00 3.45165e-06 2.90990e-03 2.62074e-02
4.99246e+00 5.00000e+00 4.96479e-06 3.50020e-03 2.56650e-02
5.01005e+00 5.00000e+00 6.99161e-06 4.14182e-03 2.52676e-02
5.02763e+00 5.00000e+00 9.67338e-06 4.83923e-03 2.50715e-02
5.04522e+00 5.00000e+00 1.31630e-05 5.58873e-03 2.50892e-02
5.06281e+00 5.00000e+00 1.76345e-05 6.38614e-03 2.53312e-02
5.08040e+00 5.00000e+00 2.32850e-05 7.22756e-03 2.58031e-02
5.09799e+00 5.00000e+00 3.03408e-05 8.11059e-03 2.65000e-02
5.11557e+00 5.00000e+00 3.91673e-05 9.03772e-03 2.74004e-02
5.13316e+00 5.00000e+00 4.99375e-05 1.00067e-02 2.84746e-02
5.15075e+00 5.00000e+00 6.30424e-05 1.10248e-02 2.96698e-02
5.16834e+00 5.00000e+00 7.88708e-05 1.21107e-02 3.08976e-02
5.18592e+00 5.00000e+00 9.78734e-05 1.33062e-02 3.20327e-02
5.20351e+00 5.00000e+00 1.20570e-04 1.46904e-02 3.29242e-02
5.22110e+00 5.00000e+00 1.47549e-04 1.64018e-02 3.34585e-02
5.23869e+00 5.00000e+00 1.79564e-04 1.86750e-02 3.36410e-02
5.25628e+00 5.00000e+00 2.17655e-04 2.18958e-02 3.35330e-02
5.27386e+00 5.00000e+00 2.63375e-04 2.66786e-02 3.32274e-02
5.29145e+00 5.00000e+00 3.19210e-04 3.39777e-02 3.28341e-02
5.30904e+00 5.00000e+00 3.89246e-04 4.52349e-02 3.24728e-02
5.32663e+00 5.00000e+00 4.79833e-04 6.25456e-02 3.23116e-02
5.34422e+00 5.00000e+00 6.00347e-04 8.87914e-02 3.25469e-02
5.36180e+00 5.00000e+00 7.63974e-04 1.27614e-01 3.33467e-02
5.37939e+00 5.00000e+00 9.87802e-04 1.83045e-01 3.48319e-02
5.39698e+00 5.00000e+00 1.29135e-03 2.58520e-01 3.70234e-02
5.41457e+00 5.00000e+00 1.69343e-03 3.55455e-01 3.97859e-02
5.43216e+00 5.00000e+00 2.21316e-03 4.74044e-01 4.29910e-02
5.44974e+00 5.00000e+00 2.86837e-03 6.13395e-01 4.65076e-02
5.46733e+00 5.00000e+00 3.67165e-03 7.70989e-01 5.01718e-02
5.48492e+00 5.00000e+00 4.62694e-03 9.42604e-01 5.38186e-02
5.50251e+00 5.00000e+00 5.72521e-03 1.12220e+00 5.72951e-02
5.52010e+00 5.00000e+00 6.94550e-03 1.30326e+00 6.05485e-02
5.53768e+00 5.00000e+00 8.26622e-03 1.48188e+00 6.37846e-02
5.55527e+00 5.00000e+00 9.66156e-03 1.65486e+00 6.72476e-02
5.57286e+00 5.00000e+00 1.10998e-02 1.81878e+00 7.11307e-02
5.59045e+00 5.00000e+00 1.25435e-02 1.96966e+00 7.55474e-02
5.60804e+00 5.00000e+00 1.39509e-02 2.10287e+00 8.05200e-02
5.62562e+00 5.00000e+00 1.52879e-02 2.21416e+00 8.58998e-02
5.64321e+00 5.00000e+00 1.65379e-02 2.30022e+00 9.13782e-02
5.66080e+00 5.00000e+00 1.76959e-02 2.35765e+00 9.65970e-02
