Coefficients order= 30 center=CT2077:180
Observation time
          B0 angle & Nmax:        0           30





Max Harmonic Order: 30              Units: Gauss
 
  l   m      g(uT)      h(uT)
 
   17    3        0.3341693062       -0.0227049866
   17    4       -0.0482820245       -0.0393312323
   17    5       -0.0522703291       -0.0026126707
   17    6       -0.5211124679       -0.0193933369
   17    7       -0.0958710598        0.1657517676
   17    8       -0.0268941625        0.1935235705
   17    9        0.2073305630        0.2990881598
   17   10        0.5077597546        0.0202815982
   17   11        0.0766364527       -0.2075719201
   17   12        0.1320958758       -0.0786158515
   17   13       -0.2798641255        0.4692411963
   17   14        0.0634036931       -0.1069800580
   17   15        0.0719367666       -0.2401482270
   17   16       -0.1052075530        0.0450824419
   17   17        0.1852125100       -0.0104726356
   18    0       -0.0542627487        0.0000000000
   18    1        0.1900282200       -0.0051818016
   18    2        0.1412233861       -0.0210021097
   18    3        0.1016666292       -0.1899536590
   18    4        0.1291605669       -0.0297595262
   18    5       -0.0432800595       -0.2608138731
   18    6       -0.1417583806       -0.3108557652
   18    7       -0.2735814564       -0.0461104800
   18    8        0.2890200937        0.1825287139
   18    9       -0.0689362810       -0.1333140618
   18   10        0.2937618702       -0.0992797268
   18   11       -0.4250548285        0.0565190982
   18   12       -0.1772785287        0.0831759532
   18   13       -0.0445382814        0.4007201109
   18   14        0.2156124491       -0.0262868499
   18   15       -0.0357607820       -0.1951740126
   18   16       -0.0297698367       -0.0835215716
   18   17        0.0468924501        0.0476488330
   18   18        0.0556153736       -0.0249059648
   19    0        0.0486150726        0.0000000000
   19    1        0.1217061140       -0.1065642737
   19    2        0.2262794515       -0.2818859456
   19    3       -0.0360234906       -0.0433365274
   19    4        0.1368199632       -0.0049728490
   19    5       -0.3233559114       -0.0325646696
   19    6        0.0411010485        0.1671235620
   19    7       -0.1337539411        0.2828366687
   19    8        0.0714322222       -0.1000542990
   19    9        0.0999224862        0.0795431653
   19   10        0.3206371212       -0.5332418552
   19   11       -0.4119405614       -0.0308549259
   19   12       -0.1620779727        0.0711143939
   19   13        0.2691883767        0.3071256744
   19   14        0.0461612107       -0.2272552401
   19   15        0.1076177107       -0.2854675613
   19   16       -0.0691158720        0.2537037928
   19   17        0.1377781763        0.0657813059
   19   18       -0.0253882717        0.0122258079
   19   19        0.1720606047        0.1411297533
   20    0        0.0245376123        0.0000000000
   20    1        0.1164850743       -0.0079385855
   20    2       -0.0388295643        0.0409901510
   20    3       -0.3237301244       -0.0726043295
   20    4        0.1592726618       -0.0002024302
   20    5       -0.3679412376        0.2293002390
   20    6        0.0406846055        0.2762318681
   20    7       -0.0469306235        0.0214799317
   20    8        0.1235009426        0.0598151712
   20    9        0.1269582557        0.0391968992
   20   10       -0.1950369966       -0.2610814294
   20   11       -0.1824295105        0.0279125868
   20   12       -0.1479458855       -0.0705596300
   20   13        0.3760390953        0.0464158346
   20   14        0.1721917821        0.0017089222
   20   15        0.2100226702       -0.1644307840
   20   16       -0.3105996794        0.3898274618
   20   17       -0.3093081849       -0.0452435303
   20   18       -0.1665764750       -0.0587260041
   20   19       -0.3788351222        0.1124512248
   20   20        0.0353379336       -0.0693126153
   21    0        0.1898502318        0.0000000000
   21    1       -0.0360443754       -0.0971301500
   21    2       -0.2089889535        0.0478017055
   21    3        0.0229756303       -0.1422585202
   21    4        0.0745220564        0.0284321652
   21    5        0.0198454671        0.0999507276
   21    6        0.3111735362        0.1265055710
   21    7        0.2891003418       -0.3168281587
   21    8        0.1147307097       -0.3554179613
   21    9       -0.1088412373        0.0253996043
