XRT filters optically thin plasma response: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 1 2
200 14
0.0
l10T l10ne Ti-poly Al-poly
6.20602e+00 5.00000e+00 8.11832e-01 1.76785e+00
6.22361e+00 5.00000e+00 8.48638e-01 1.91953e+00
6.24120e+00 5.00000e+00 8.88663e-01 2.08914e+00
6.25879e+00 5.00000e+00 9.37168e-01 2.28421e+00
6.27638e+00 5.00000e+00 9.99341e-01 2.51344e+00
6.29397e+00 5.00000e+00 1.07966e+00 2.78495e+00
6.31155e+00 5.00000e+00 1.18075e+00 3.10274e+00
6.32914e+00 5.00000e+00 1.30448e+00 3.46951e+00
6.34673e+00 5.00000e+00 1.45271e+00 3.88775e+00
6.36432e+00 5.00000e+00 1.62653e+00 4.35729e+00
6.38190e+00 5.00000e+00 1.82640e+00 4.87614e+00
6.39949e+00 5.00000e+00 2.05222e+00 5.44109e+00
6.41708e+00 5.00000e+00 2.30325e+00 6.04883e+00
6.43467e+00 5.00000e+00 2.57862e+00 6.69822e+00
6.45226e+00 5.00000e+00 2.87802e+00 7.38985e+00
6.46984e+00 5.00000e+00 3.20134e+00 8.12455e+00
6.48743e+00 5.00000e+00 3.54943e+00 8.90487e+00
6.50502e+00 5.00000e+00 3.92431e+00 9.73554e+00
6.52261e+00 5.00000e+00 4.32805e+00 1.06212e+01
6.54020e+00 5.00000e+00 4.76120e+00 1.15635e+01
6.55778e+00 5.00000e+00 5.22351e+00 1.25620e+01
6.57537e+00 5.00000e+00 5.71383e+00 1.36141e+01
6.59296e+00 5.00000e+00 6.22974e+00 1.47143e+01
6.61055e+00 5.00000e+00 6.76752e+00 1.58539e+01
6.62814e+00 5.00000e+00 7.32402e+00 1.70256e+01
6.64572e+00 5.00000e+00 7.89733e+00 1.82238e+01
6.66331e+00 5.00000e+00 8.48498e+00 1.94410e+01
6.68090e+00 5.00000e+00 9.08367e+00 2.06676e+01
6.69849e+00 5.00000e+00 9.68896e+00 2.18907e+01
6.71608e+00 5.00000e+00 1.02951e+01 2.30939e+01
6.73366e+00 5.00000e+00 1.08944e+01 2.42561e+01
6.75125e+00 5.00000e+00 1.14776e+01 2.53519e+01
6.76884e+00 5.00000e+00 1.20324e+01 2.63494e+01
6.78643e+00 5.00000e+00 1.25423e+01 2.72083e+01
6.80401e+00 5.00000e+00 1.29864e+01 2.78793e+01
6.82160e+00 5.00000e+00 1.33525e+01 2.83366e+01
6.83919e+00 5.00000e+00 1.36568e+01 2.86185e+01
6.85678e+00 5.00000e+00 1.39139e+01 2.87608e+01
6.87437e+00 5.00000e+00 1.41291e+01 2.87809e+01
6.89195e+00 5.00000e+00 1.42946e+01 2.86705e+01
6.90954e+00 5.00000e+00 1.43881e+01 2.83945e+01
6.92713e+00 5.00000e+00 1.44083e+01 2.79643e+01
6.94472e+00 5.00000e+00 1.43762e+01 2.74350e+01
6.96231e+00 5.00000e+00 1.43025e+01 2.68385e+01
6.97989e+00 5.00000e+00 1.41857e+01 2.61809e+01
6.99748e+00 5.00000e+00 1.40117e+01 2.54438e+01
7.01507e+00 5.00000e+00 1.37601e+01 2.45976e+01
7.03266e+00 5.00000e+00 1.34393e+01 2.36641e+01
7.05025e+00 5.00000e+00 1.30640e+01 2.26739e+01
7.06783e+00 5.00000e+00 1.26414e+01 2.16413e+01
7.08542e+00 5.00000e+00 1.21706e+01 2.05660e+01
7.10301e+00 5.00000e+00 1.16439e+01 1.94360e+01
7.12060e+00 5.00000e+00 1.10622e+01 1.82544e+01
7.13819e+00 5.00000e+00 1.04543e+01 1.70695e+01
7.15577e+00 5.00000e+00 9.84317e+00 1.59175e+01
7.17336e+00 5.00000e+00 9.24347e+00 1.48185e+01
7.19095e+00 5.00000e+00 8.66362e+00 1.37819e+01
7.20854e+00 5.00000e+00 8.10806e+00 1.28104e+01
7.22613e+00 5.00000e+00 7.58413e+00 1.19115e+01
7.24371e+00 5.00000e+00 7.10031e+00 1.10949e+01
7.26130e+00 5.00000e+00 6.66021e+00 1.03624e+01
7.27889e+00 5.00000e+00 6.26397e+00 9.71100e+00
7.29648e+00 5.00000e+00 5.90965e+00 9.13471e+00
7.31407e+00 5.00000e+00 5.59394e+00 8.62605e+00
7.33165e+00 5.00000e+00 5.31185e+00 8.17540e+00
7.34924e+00 5.00000e+00 5.05845e+00 7.77359e+00
7.36683e+00 5.00000e+00 4.82998e+00 7.41367e+00
7.38442e+00 5.00000e+00 4.62347e+00 7.09019e+00
7.40200e+00 5.00000e+00 4.43650e+00 6.79873e+00
7.41959e+00 5.00000e+00 4.26710e+00 6.53576e+00
7.43718e+00 5.00000e+00 4.11322e+00 6.29771e+00
7.45477e+00 5.00000e+00 3.97306e+00 6.08149e+00
7.47236e+00 5.00000e+00 3.84503e+00 5.88440e+00
7.48994e+00 5.00000e+00 3.72769e+00 5.70407e+00
7.50753e+00 5.00000e+00 3.59785e+00 5.45794e+00
7.52512e+00 5.00000e+00 3.49909e+00 5.30860e+00
7.54271e+00 5.00000e+00 3.40711e+00 5.16965e+00
7.56030e+00 5.00000e+00 3.32081e+00 5.03944e+00
7.57788e+00 5.00000e+00 3.23932e+00 4.91663e+00
7.59547e+00 5.00000e+00 3.16186e+00 4.80004e+00
7.61306e+00 5.00000e+00 3.08774e+00 4.68857e+00
7.63065e+00 5.00000e+00 3.01692e+00 4.58221e+00
7.64824e+00 5.00000e+00 2.94917e+00 4.48052e+00
7.66582e+00 5.00000e+00 2.88436e+00 4.38331e+00
7.68341e+00 5.00000e+00 2.82238e+00 4.29034e+00
7.70100e+00 5.00000e+00 2.76308e+00 4.20137e+00
7.71859e+00 5.00000e+00 2.70632e+00 4.11621e+00
7.73618e+00 5.00000e+00 2.65204e+00 4.03475e+00
