Coefficients order=120 Central=C   0:180
Observation time
          B0 angle & Nmax:        0          120





Max Harmonic Order:120              Units: Gauss
 
  l   m      g(uT)      h(uT)
 
   17    3       -0.2508706462        0.7450259338
   17    4       -0.4407881548        0.1751542271
   17    5       -0.6666635134       -0.1713455623
   17    6        0.2461509662       -0.3936115504
   17    7        0.2326093644       -0.8511209674
   17    8        0.2178444092       -0.0701226696
   17    9        0.4244166770       -0.5153595631
   17   10       -0.3378227984       -0.4453671561
   17   11        0.4588056892        0.4678758594
   17   12       -0.0945521176       -0.3650334402
   17   13        0.0781131336        0.1665820874
   17   14        0.8209442645        0.5886628404
   17   15        0.0407894421        0.0171283402
   17   16       -0.1235491533        0.1446522288
   17   17        1.9216090345        0.7625987920
   18    0        0.5743818420        0.0000000000
   18    1       -0.1511835852       -0.0582629393
   18    2       -0.0766230625       -0.1948134380
   18    3        0.1787537919        0.2503899919
   18    4        0.0446073969       -0.8500561951
   18    5       -0.4014610029        0.4243858171
   18    6        0.1951540718       -0.6865610936
   18    7       -0.4566533791       -0.1624100484
   18    8        0.1079895134        0.3880650730
   18    9        0.4606327395       -0.4146948944
   18   10       -0.2322032231       -0.2380173898
   18   11        0.7098795481       -0.0617420530
   18   12        0.2377615702        0.0740875773
   18   13        0.4218520582        0.4499319816
   18   14        0.6309532846       -0.2434113101
   18   15       -0.0844574029        0.9551492174
   18   16       -0.5783392882       -0.1689708833
   18   17       -1.6823258953       -0.1648082817
   18   18       -0.4841098792        1.1774839191
   19    0       -0.3022609808        0.0000000000
   19    1       -0.4013642456       -0.0166142730
   19    2       -0.1832649157       -0.0547375261
   19    3        0.2072023134       -0.7525953112
   19    4        0.2115120474        0.3530143640
   19    5        0.2283066261        0.5082635650
   19    6        0.3644979351       -0.0469061488
   19    7       -0.2077910034        0.5646679039
   19    8        0.0035469710        0.3636063649
   19    9       -0.0122606074        0.9623875088
   19   10        0.1069191215       -0.1378140780
   19   11       -0.5470374284        0.0055845111
   19   12       -0.4624110057        0.7011840932
   19   13        0.1164698015       -0.6006018384
   19   14       -0.3048257460        0.4229489698
   19   15        0.2787636212       -0.7872767824
   19   16       -0.2435853451       -0.7240351871
   19   17       -0.2788757224        0.5197940513
   19   18        0.4038345456       -1.4522850162
   19   19        0.1486426969       -1.2549353388
   20    0        0.6020045084        0.0000000000
   20    1        0.0876954024        0.6123011700
   20    2       -0.0509892525       -0.0435663131
   20    3       -0.3676732926        0.0004440747
   20    4        0.2451658773       -0.4210360346
   20    5        0.6145149208       -0.5453402714
   20    6       -0.1904180103       -0.0017298335
   20    7        0.0111382989        0.4674001264
   20    8       -0.3484644638       -0.5527162160
   20    9       -0.3210572537        0.2165666086
   20   10       -0.0028396127        0.2234692218
   20   11       -0.3814731394        0.1119946120
   20   12       -0.3225184766       -0.5733730577
   20   13       -0.6095398925       -0.9551860320
   20   14        0.4813724099       -0.0283904919
   20   15        0.2789599941       -0.6967774964
   20   16        0.2254446105        0.5205552945
   20   17        0.6748963435        0.5863367131
   20   18        0.1226824953        0.4901407598
   20   19        0.3457574495        1.1069817234
   20   20        1.8769093089        0.8378119784
   21    0       -0.4201908042        0.0000000000
   21    1       -0.1054532589        0.1783920749
   21    2       -0.3542177567       -0.3686244124
   21    3       -0.3767557901        0.1251526702
   21    4        0.3849017290        0.0327068347
   21    5       -0.5534243096       -0.2629580545
   21    6       -0.2486001139       -0.2601669130
   21    7        0.2841216770       -0.2812099177
   21    8        0.3053489501       -0.2635535904
   21    9        0.0811659795       -0.4147385589
   21   10        0.3880414273       -0.2991866388
   21   11        0.6448639191        0.0571161983
   21   12        0.3860069010       -0.2085040632
   21   13        0.0336971632        0.3051820000
   21   14        0.2333023092       -0.1271708772
   21   15       -0.3758642428        0.8954013753
   21   16        0.3429606307        0.9615351725
   21   17       -0.4634223313       -0.3030351560
   21   18       -0.5635995851        0.7872819248
   21   19       -0.4366944396       -0.4404701730
   21   20       -1.7713169641       -0.2185265697
   21   21       -1.3723764475        0.5623115726
   22    0       -0.1810621435        0.0000000000
   22    1       -0.1088945499       -0.2441784403
   22    2        0.0328030788       -0.5120611429
   22    3        0.2500222756       -0.0873051845
   22    4       -0.5173438258       -0.3961516147
   22    5       -0.2552458064        0.2443381880
   22    6        0.3428879962       -0.1438928897
   22    7       -0.1826908946       -0.1938981914
   22    8       -0.0588011086        0.1520931158
   22    9        0.1839058614       -0.1939577820
   22   10        0.1901788059        0.4991073249
   22   11        0.0122850826       -0.0329777890
   22   12       -0.0015830295        0.6967278583
   22   13        0.2722015949        0.9723594268
   22   14       -0.8499439671        0.1333129739
   22   15       -0.4244694075        0.1328772242
   22   16       -0.0599336092       -0.6435593202
   22   17       -0.7398309643       -0.1694418742
   22   18       -0.1664406755       -1.2080327773
   22   19       -0.1754025649       -0.9905901352
   22   20        0.4082806835        0.3120591234
   22   21        0.9137991271       -1.3235885821
   22   22        0.0659075953       -0.6261888978
   23    0       -0.3682500907        0.0000000000
   23    1        0.1092888080       -0.0290446585
   23    2        0.2651194417        0.3288695092
   23    3        0.0221087574        0.1568754532
   23    4       -0.6366566047       -0.2774934873
   23    5        0.2071664824       -0.0833815151
   23    6       -0.2156158284        0.4462488187
   23    7        0.2727533778       -0.0746442105
   23    8       -0.7432495152       -0.2673870387
   23    9       -0.1264669658        0.2515502129
   23   10       -0.3383931098       -0.3126635524
   23   11       -0.3616156319       -0.1879755478
   23   12       -0.1779953742       -0.1082814813
   23   13       -0.1324841372       -0.2237124478
   23   14       -0.5678864016        0.1144266185
   23   15        0.2467387760       -0.4698220890
   23   16       -0.1712438607       -0.0228949841
   23   17        0.3747867548        0.4823043518
   23   18        0.4678338882       -0.7750678271
   23   19        0.0170094226        0.9613371477
   23   20        1.1946145650        0.5857489215
   23   21       -0.4183879884       -0.6051774996
   23   22        0.2943645440        1.2570728709
   23   23        1.1208399822        1.1473121976
   24    0        0.3722598606        0.0000000000
   24    1       -0.4166662265        0.2512516846
   24    2        0.0652277986        0.0215255301
   24    3       -0.3140822696       -0.2558065883
   24    4        0.2493803355        0.1953042700
   24    5       -0.5016695258        0.3905972690
   24    6       -0.1458413394        0.1544107918
   24    7        0.1523383190       -0.1626068605
   24    8        0.2486448622        0.2193815584
   24    9        0.0575351200       -0.2683029353
   24   10       -0.1350229845       -0.0030191836
   24   11        0.2601347973       -0.1597236982
   24   12        0.0751489679       -0.8012704271
   24   13        0.3221906367       -0.3491301507
   24   14        0.6465461904        0.1089024152
   24   15       -0.0870156631       -0.2180204619
   24   16        0.1546112780        0.3051976723
   24   17        0.0509384564        0.5237937527
   24   18       -0.3941339975        0.6064686072
   24   19       -0.0420715467        0.7077063459
   24   20       -0.2731214614       -0.8037040173
   24   21       -0.9491578227        1.0095864813
   24   22       -0.2947170480       -0.9832829273
   24   23       -1.3403678992       -0.4195850457
   24   24       -1.0348925012        0.8944522398
   25    0       -0.5073112451        0.0000000000
   25    1        0.0142351641       -0.2145639217
   25    2       -0.3639210896       -0.6765844524
   25    3       -0.0999240731       -0.0307320678
   25    4        0.0842641384       -0.1929039435
   25    5       -0.2539963358        0.0813766668
   25    6       -0.0280687001        0.0090984164
   25    7       -0.6572994922       -0.1699625187
   25    8        0.2738808189        0.4653805733
   25    9        0.4773508276       -0.4159494575
   25   10       -0.2025656885        0.0783749805
   25   11        1.1605138339        0.0122855528
   25   12       -0.0177818180        0.3519935849
   25   13        0.3980644746        0.2376822752
   25   14       -0.1121873692        0.3610450984
   25   15       -0.4065194307        0.6195206288
   25   16       -0.0235673446       -0.0373811312
   25   17       -0.6933908325       -0.0335710277
   25   18       -0.0658312099       -0.2402924289
   25   19       -0.3430471642       -0.5569244928
   25   20       -1.3944460883       -0.4051878991
   25   21        0.4073868819       -0.3485526946
   25   22       -0.0307277294       -1.1015350058
   25   23        0.0943529013        0.9327180903
   25   24        0.6795318543       -1.2300935976
   25   25        0.3955756924       -1.1305312788
   26    0       -0.0234991962        0.0000000000
   26    1        0.0300101284       -0.3738606014
   26    2        0.0555441432       -0.1299275666
   26    3        0.6669545976       -0.0390838550
   26    4       -0.1607153694        0.4103609291
   26    5       -0.0320800005        0.2805009691
   26    6       -0.0507202966       -0.2620638834
   26    7       -0.3429705050        0.2395090867
   26    8        0.6552173929       -0.1781347336
   26    9        0.1067167440        0.3013799264
   26   10       -0.0794468243       -0.5561098862
   26   11       -0.2141589324       -0.5245247537
   26   12       -0.8193090047        0.4049096374
   26   13        0.0160468969       -0.1226459735
   26   14       -0.4654858280        0.0699404379
   26   15        0.1096018039       -0.1689826379
   26   16       -0.7199295321       -0.7481145395
   26   17       -0.0733071904       -0.1426017333
   26   18        0.7532416709       -1.0234461696
   26   19       -0.2612627093        0.1268930400
   26   20        0.8785567076        0.4913251449
   26   21        1.2533187480        0.0424224169
   26   22       -0.2348463416        0.8776018069
   26   23        1.1845721414        0.6851490097
   26   24        0.1793325991       -0.4472605489
   26   25        0.1652196250        0.9429146281
   26   26        1.0665972237        0.6085301268
   27    0        0.3642293196        0.0000000000
   27    1        0.0058497420        0.6416076995
   27    2        0.0807688359        0.2019980566
   27    3        0.2915581900       -0.2891842675
   27    4       -0.1081779259        0.6346589130
   27    5       -0.4892462522        0.1764756197
   27    6       -0.4920617503        0.4054109794
   27    7        0.5513968562        0.4456101654
   27    8       -0.3608248749       -0.0667498288
   27    9       -0.0407880340        0.4787334979
   27   10        0.0230230312       -0.8297877862
   27   11       -0.3894623386       -0.6325973414
   27   12       -0.3160383274       -0.3063212813
   27   13       -0.5595821549        0.2931870361
   27   14        0.4408976290       -0.0422018674
   27   15        0.4997381986       -0.9591199474
   27   16       -0.1080955128        0.4053900567
   27   17        0.9428772374       -0.0077214845
   27   18       -0.0957454765       -0.0180138725
   27   19        0.0978943326        0.5402385800
   27   20        0.4924451400       -0.1177967584
   27   21       -0.2123988326        0.4707332531
   27   22       -0.1005174008       -0.1050452395
   27   23       -0.8984464961       -0.7827930539
   27   24       -0.5189119284        0.3328456234
   27   25        0.3789937897       -0.1274376780
   27   26       -1.1419912394       -0.0609031713
   27   27       -0.8538129642        0.7144201561
   28    0       -0.0025770899        0.0000000000
   28    1       -0.8701843036        0.1573303750
   28    2       -0.0770378882        0.1045627962
   28    3       -0.0209260305        0.0232319272
   28    4        0.3750167702        0.1988818242
   28    5       -0.2505331108       -0.1411619333
   28    6       -0.1769580961       -0.0339580834
   28    7        0.2234702253       -0.3436862269
   28    8       -0.1292118775       -0.1730261846
   28    9       -0.0199846570       -0.5119037239
   28   10        0.1178850347       -0.4401081073
   28   11        0.2912254919        0.1474119276
   28   12       -0.3175367080       -0.2275138012
   28   13       -0.1807734584        0.1315724780
   28   14        0.4903941106        0.0123803043
   28   15       -0.0944237618        0.1374669330
