Values at minimum B
    220  6.0000000000E+01 -2  0 22
      20      25
x y z rho ux uy uz bxSM bySM bzSM p rCurve xZ0 yZ0 zZ0 rhoZ0 uxZ0 uyZ0 uzZ0 bxSMZ0 bySMZ0 bzSMZ0 pZ0 rCurveZ0
  9.3909278205E+06  1.6615394859E+07 -3.9349056018E+06  1.6124159847E-20 -2.1403103447E+03 -1.9630475072E+05  8.8323148002E+02 -1.6891507571E-07 -2.8315790638E-07  1.0476379775E-06  2.4555752805E-10  1.3770074302E+07  7.9361536349E+06  1.6570530076E+07 -5.3427478401E+06  1.6155471267E-20  1.3225742018E+03 -1.2503722629E+04 -1.0349375302E+03  3.9437066746E-09  1.3077545671E-10  1.1445674417E-06  2.2864712889E-10  1.2545721284E+07
  9.9653585680E+06  1.8707037300E+07 -4.6731219110E+06  1.5972866217E-20  4.9349755184E+03 -3.7348650799E+04 -7.1195691120E+02 -9.0636077547E-08 -1.6065512960E-07  7.6346615053E-07  2.8006887502E-10  1.3234818994E+07  8.9107689936E+06  1.8605507454E+07 -5.9988747678E+06  1.5945094331E-20  6.4872526751E+03 -6.9285684679E+03 -1.7612121144E+03  5.5445588266E-09 -2.5426150268E-09  8.0460126088E-07  2.6816949080E-10  1.2081480975E+07
  1.0819055486E+07  2.0764696887E+07 -5.3291241442E+06  1.5614989805E-20  8.5839423841E+03 -2.5143260405E+04 -3.0621453798E+03 -5.4783787592E-08 -1.0562682707E-07  5.6384892906E-07  2.8669109063E-10  1.3221330382E+07  9.8853843523E+06  2.0640484832E+07 -6.6550016956E+06  1.5583966866E-20  9.4108223663E+03 -2.5919535677E+04 -4.1612296122E+03  7.1532324352E-09 -4.4533944128E-09  5.8681327913E-07  2.7842835927E-10  1.2367724865E+07
  1.1847976585E+07  2.2802511640E+07 -5.8689771932E+06  1.5211873656E-20  1.0319251552E+04 -2.8197422466E+04 -5.6766368708E+03 -3.7055224175E-08 -8.0281916511E-08  4.2513257313E-07  2.8769269936E-10  1.3386843419E+07  1.0859999711E+07  2.2675462209E+07 -7.3111286233E+06  1.5204809200E-20  8.9934106175E+03 -2.4244082245E+04 -7.4110445634E+03  6.9618885114E-09 -4.6085059407E-09  4.4059229665E-07  2.8204327473E-10  1.3208012988E+07
  1.2678695878E+07  2.4791085750E+07 -6.7185013484E+06  1.4823800886E-20  9.7853299913E+03 -2.5139364565E+04 -9.0130985048E+03 -1.8712020539E-08 -5.1936976315E-08  3.3220985114E-07  2.8864386547E-10  1.3670390669E+07  1.1834615070E+07  2.4710439587E+07 -7.9672555510E+06  1.4839465851E-20  7.1109173324E+03 -2.0161299888E+04 -1.0787543856E+04  6.4835071200E-09 -4.6981975253E-09  3.3887154738E-07  2.8625984306E-10  1.3946604904E+07
  1.3233301538E+07  2.6775493190E+07 -8.0014492088E+06  1.4481735630E-20  4.9188582309E+03 -1.5511507458E+04 -1.3490190286E+04 -3.4844301241E-09 -2.2181793851E-08  2.6469132275E-07  2.9234729509E-10  1.4505735186E+07  1.2809230428E+07  2.6745416965E+07 -8.6233824788E+06  1.4486614185E-20  3.7638803350E+03 -1.3879772202E+04 -1.4314996767E+04  5.7619050639E-09 -4.7442087846E-09  2.6604676148E-07  2.9109918237E-10  1.4596684929E+07
  1.3836472359E+07  2.8782410815E+07 -9.2029174008E+06  1.4144624847E-20 -9.1321297437E+02 -5.7381777449E+03 -1.7924673176E+04  3.9964083737E-09 -6.3818856904E-09  2.1261670252E-07  2.9673254446E-10  1.5164316228E+07  1.3783845787E+07  2.8780394343E+07 -9.2795094065E+06  1.4144931568E-20 -1.0403256048E+03 -5.6390153451E+03 -1.8020632869E+04  4.8408991460E-09 -4.7682793368E-09  2.1264662686E-07  2.9658241078E-10  1.5171437383E+07
  1.4397065901E+07  3.0813497510E+07 -1.0454321562E+07  1.3813218729E-20 -8.0359128104E+03  4.2041982640E+03 -2.2540972211E+04  8.0691421507E-09  3.5291728302E-09  1.7234920931E-07  3.0172962218E-10  1.5704937136E+07  1.4758461146E+07  3.0815371720E+07 -9.9356363342E+06  1.3813095365E-20 -7.2880742232E+03  4.2905983748E+03 -2.1934945911E+04  3.7643061690E-09 -4.7921488003E-09  1.7269087375E-07  3.0273064640E-10  1.5684046584E+07
  1.5018430849E+07  3.2866613274E+07 -1.1599695959E+07  1.3442562998E-20 -1.9127132013E+04  1.1374861892E+04 -2.6337589152E+04  9.3726327479E-09  7.3218027076E-09  1.4089463891E-07  3.0682775216E-10  1.6245380345E+07  1.5733076504E+07  3.2850349098E+07 -1.0591763262E+07  1.3444265439E-20 -1.7675067603E+04  1.2558600449E+04 -2.5183219086E+04  3.0640406833E-09 -5.1091146814E-09  1.4198843576E-07  3.0878099939E-10  1.6273264896E+07
  1.5702715816E+07  3.4925607541E+07 -1.2635139399E+07  1.3041238824E-20 -3.4930151020E+04  1.6207244441E+04 -2.9300983689E+04  9.5170124741E-09  7.7770353898E-09  1.1625869330E-07  3.1060042913E-10  1.6829299631E+07  1.6707691863E+07  3.4885326476E+07 -1.1247890190E+07  1.3041465992E-20 -3.2646311751E+04  1.8171898049E+04 -2.7623361135E+04  2.8947762656E-09 -5.7502580592E-09  1.1782910289E-07  3.1338192352E-10  1.6977694712E+07
