R R R Mp/cc km/s km/s km/s nT nT nT nPa uA/m2 uA/m2 uA/m2
       352  6.0000000000E+01 -2  3 12
     116       1
  6.3780000000E+06  2.5000000000E+00  1.6666700000E+00
x y z Rho Ux Uy Uz Bx By Bz P jx jy jz xSI r g
 -1.8000000000E+01 -6.0000000000E+00  6.0000000000E+00  4.9915656517E+00 -3.9997034781E+02 -3.7470975295E-02  3.0502939173E-01  7.9967846102E-01 -9.8602764647E-01 -3.4924518836E+00  8.5652245098E-03 -6.5466469498E-06  1.6573149801E-05 -2.3107480473E-06
 -1.5000000000E+01 -7.0000000000E+00  5.0000000000E+00  4.9629914204E+00 -3.9860669830E+02 -4.2612027060E-01  5.1183091426E-02  2.5987697487E+00 -1.4916819962E+00  1.0407100036E-01  1.1512370961E-02 -1.8851743640E-05  2.3161882210E-05  1.5371163971E-05
 -9.0000000000E+00 -9.0000000000E+00  3.0000000000E+00  4.7622623909E+00 -3.7179032150E+02 -4.7861943129E+00 -1.1312110813E+00  8.5914802521E+00 -1.7463440177E+00  7.5928850457E+00  4.1590246731E-02 -1.6716580982E-04  3.0840426925E-04  1.7295697915E-04
 -1.3000000000E+01 -7.0000000000E+00  5.0000000000E+00  4.8839864326E+00 -3.9405733124E+02 -1.6742759567E+00 -1.5709600031E+00  5.8757888792E+00 -6.5286321232E-01  2.5175923527E+00  1.9379805150E-02 -5.3640029354E-05  1.3332860516E-04  2.4258511498E-05
 -7.0000000000E+00 -9.0000000000E+00  1.0000000000E+00  4.7406339687E+00 -2.9577422204E+02 -4.4462086345E+00  1.5213674948E+01  3.3392292550E+00 -9.7976500922E+00  1.2430541419E+01  1.0327818430E-01 -3.1430051099E-04  5.2254925927E-04  6.0297507173E-04
 -1.1000000000E+01 -7.0000000000E+00  1.0000000000E+00  4.4537777991E+00 -3.1826571257E+02 -2.5267952935E+01  3.3963711938E+01 -1.1360475012E+01 -1.2451767310E+01  8.8657852386E+00  7.4415818000E-02 -2.0338631863E-04  4.8731466124E-04  4.6438167550E-04
 -5.0000000000E+00 -9.0000000000E+00  8.1104935689E-01  4.8934795155E+00 -2.5039900215E+02  1.6952502457E-01  4.6545151052E+00  9.5964636757E+00 -7.7757913494E+00  1.5667389868E+01  1.3620174628E-01 -3.1458122439E-04  5.3144847920E-04  5.1119939619E-04
 -1.5000000000E+01 -5.0000000000E+00  3.0000000000E+00  4.7896020899E+00 -3.8816691389E+02 -3.1753597782E+00  7.4893468374E+00 -3.9269231760E+00 -4.4685600561E+00  4.7458113455E+00  2.3991365288E-02 -4.8065425360E-05  1.5137892522E-04  9.0789721191E-05
 -9.0000000000E+00 -7.0000000000E+00  1.0000000000E+00  4.3573643740E+00 -2.3917942567E+02 -2.4748795933E+01  4.6596818451E+01 -1.2713978216E+01 -1.4998961104E+01  1.3280315014E+01  1.1888255856E-01 -3.1612661265E-04  6.9577742528E-04  6.1144217478E-04
 -3.0000000000E+00 -9.0000000000E+00 -1.7606535472E+00  5.4601353817E+00 -1.8871835483E+02 -5.4893717193E+00  6.8999627657E+00  4.7484071143E+00 -2.2921131527E+01  1.4076550250E+01  1.7933962398E-01 -2.0650072187E-04  2.5532329316E-04  6.7935524437E-04
 -1.3000000000E+01 -5.0000000000E+00  5.0000000000E+00  4.7352415770E+00 -3.8135660761E+02 -2.1357407456E-01 -3.5118393270E+00  6.4395417067E+00 -7.4778990013E-01  5.0018672848E+00  3.4952530301E-02 -8.5677785610E-05  3.1892481348E-04  5.1843067868E-05
 -7.0000000000E+00 -7.0000000000E+00  3.0000000000E+00  4.4312731301E+00 -2.2489823611E+02  7.9807142616E+00 -1.8250720952E+01  1.4739297294E+01 -1.1512371651E+00  1.5496410546E+01  1.4400352193E-01 -3.6825510313E-04  9.0503468975E-04  3.2897241980E-04
 -1.1000000000E+01 -5.0000000000E+00  3.0000000000E+00  4.3295986893E+00 -2.9773080226E+02 -4.3833039980E+00  2.4863571325E+01 -3.9828490257E+00 -5.9755843599E+00  1.3167013737E+01  1.0019331468E-01 -2.1188161102E-04  8.2409656367E-04  3.6405995365E-04
 -5.0000000000E+00 -7.0000000000E+00  6.0235980045E-01  5.3290032911E+00 -7.8556944017E+01  8.2434340923E+00  1.4952631315E+01 -9.2984807389E-01 -2.4651092545E+01  2.9112672852E+01  1.8160769639E-01 -3.2616640052E-04  7.1476146532E-04  4.7482139019E-04
 -1.8000000000E+01 -2.0000000000E+00  2.0000000000E+00  4.8785081006E+00 -3.9698017670E+02 -8.1395567026E-01  3.9013390121E+00 -7.1333733896E+00 -1.6801348083E+00 -3.6446641477E-01  1.7661277456E-02 -3.7054282390E-06  4.5972993957E-05  1.0472307417E-05
 -1.5000000000E+01 -3.0000000000E+00  3.0000000000E+00  4.6586170553E+00 -3.7940051183E+02 -3.1318101447E+00  1.4170404558E+01 -6.7214692351E+00 -3.3253496188E+00  6.4820368554E+00  3.4964509056E-02 -4.6711634120E-05  2.6853764136E-04  8.4753040833E-05
 -9.0000000000E+00 -5.0000000000E+00  5.0000000000E+00  4.1916758459E+00 -2.9089689193E+02 -7.1015124607E+00 -2.9990637615E+01  2.0476219990E+01  2.9214521754E+00  7.7117206896E+00  1.0885405797E-01 -2.1704054187E-04  7.4077278461E-04  6.2509935086E-05
 -3.0000000000E+00 -7.0000000000E+00 -1.7039147565E+00  6.3307098058E+00 -4.6628834375E+01 -6.5462134335E-01  1.1822173507E+01 -3.7034192578E+00 -5.9401211503E+01  2.6670495857E+01  1.7869531737E-01 -1.9634005991E-04  3.1096845903E-04  3.7780276234E-04
 -1.3000000000E+01 -3.0000000000E+00  5.0000000000E+00  4.6097503681E+00 -3.6487622586E+02  1.1036246325E+00 -4.1661812439E+00  6.1642819552E+00 -6.7191394949E-01  6.8179322229E+00  5.3337559413E-02 -7.7411305197E-05  5.0393791791E-04  5.8781241788E-05
 -7.0000000000E+00 -5.0000000000E+00  1.0000000000E+00  4.9092443816E+00 -5.0232431102E+01 -4.9246506469E+00  5.2900384832E+01 -2.5349108927E+01 -2.6814346689E+01  3.3122421607E+01  1.6348485210E-01 -2.8136369916E-04  7.5301635557E-04  2.9304681246E-04
 -1.0000000000E+00 -7.0000000000E+00 -6.0784798210E+00  6.2112400583E+00 -1.4754054561E+02 -1.1286519319E+00 -2.1650678336E+00  1.9492961328E+00 -4.7882714496E+01 -1.3612315658E+01  1.7818904198E-01 -6.9357746700E-05 -2.7740792253E-04  6.0707943878E-04
 -1.1000000000E+01 -3.0000000000E+00  3.0000000000E+00  4.1269071507E+00 -2.4946465045E+02 -5.3544348399E+00  4.3882332515E+01 -1.0228981038E+01 -4.9272727117E+00  1.5728682219E+01  1.2645227243E-01 -1.6372177375E-04  9.9263660234E-04  2.6616091264E-04
 -5.0000000000E+00 -5.0000000000E+00  1.0000000000E+00  6.3450445051E+00  7.6845603816E-01  7.5060621716E+00  1.3988324325E+01 -7.8723765801E+00 -4.3540838590E+01  6.5141030791E+01  1.7510184394E-01 -1.6339097125E-04  6.3120039192E-04  1.3544708707E-04
 -1.5000000000E+01 -1.0000000000E+00  3.0000000000E+00  4.5782349667E+00 -3.7380998368E+02 -1.5385555042E+00  1.8684030140E+01 -8.4438484034E+00 -1.2551933004E+00  7.2715968360E+00  4.1575587476E-02 -2.1075467783E-05  3.3071594605E-04  3.4969333850E-05
 -9.0000000000E+00 -3.0000000000E+00  3.0000000000E+00  4.2486238913E+00 -1.2261741240E+02  3.8293751243E+00  3.4024621851E+01 -8.0422673388E+00 -5.9982947432E+00  2.3155363266E+01  1.7965920425E-01 -2.1126524380E-04  1.2280248251E-03  2.9795481254E-04
 -3.0000000000E+00 -5.0000000000E+00 -3.1311358997E-01  7.7235473852E+00  4.0896597257E+00  1.4379567120E+00  8.8817841970E-16  2.0442173665E+00 -1.1627931033E+02  9.3649568701E+01  1.5703125391E-01 -4.6103821647E-05  4.0190955577E-04  5.1522535961E-05
 -1.3000000000E+01 -1.0000000000E+00  5.0000000000E+00  4.5448116861E+00 -3.5344429205E+02  6.8880383437E-01 -3.7524124028E+00  5.7001916916E+00 -2.7704222567E-01  7.7868661844E+00  6.5179686806E-02 -3.0590753813E-05  6.0749422684E-04  2.6094497458E-05
 -7.0000000000E+00 -3.0000000000E+00  1.0000000000E+00  5.5569957768E+00 -1.2681311943E+01 -1.1721431333E+00  4.9238705276E+01 -4.6428692440E+01 -2.9722127647E+01  5.3142748621E+01  1.5837542688E-01 -1.2648929766E-04  5.5181122318E-04  4.0298525676E-05
 -1.0000000000E+00 -5.0000000000E+00 -7.3841773684E+00  6.4139116868E+00 -1.0586089389E+02 -5.3487625429E+00 -1.7886491832E+00 -4.4701841712E+00 -5.2191780646E+01 -4.8337924760E+01  1.8414468106E-01 -4.6336809391E-05 -4.3028260361E-04  3.5968741831E-04
 -1.1000000000E+01 -1.0000000000E+00  5.0000000000E+00  4.2584356856E+00 -2.9178850480E+02  1.0855966241E+00 -1.8448357075E+01  1.1517181228E+01 -2.1142634405E-02  9.9290021553E+00  1.1863676898E-01 -4.8866782135E-05  9.5893959661E-04  3.5143225531E-05
 -5.0000000000E+00 -3.0000000000E+00  1.9381240001E+00  7.0733690750E+00  1.5375216171E+01  3.3725129724E+00  1.7763568394E-15  9.1448268190E-01 -3.8615888490E+01  1.0675659823E+02  1.6594638479E-01 -1.6243459645E-05  4.7474923113E-04  2.9799706609E-05
 -1.8000000000E+01  2.0000000000E+00  6.0000000000E+00  4.9687136187E+00 -3.9917484117E+02 -8.0012973139E-02  5.5319172505E-01  6.7939395732E-01  4.2762087236E-01 -2.0357721877E+00  1.1116223278E-02  4.8350252082E-06  3.7793629059E-05  9.1504720206E-07
 -1.5000000000E+01  1.0000000000E+00  3.0000000000E+00  4.5782349667E+00 -3.7380998368E+02  1.5385555042E+00  1.8684030140E+01 -8.4438484034E+00  1.2551933004E+00  7.2715968360E+00  4.1575587476E-02  2.1075467783E-05  3.3071594605E-04 -3.4969333850E-05
 -9.0000000000E+00 -1.0000000000E+00  5.0000000000E+00  4.1175652378E+00 -1.9503195155E+02  1.3130436571E+00 -4.3422317141E+01  2.1716219538E+01  4.6485713214E-01  1.2069416722E+01  1.6652160755E-01 -6.1760259859E-05  1.0960157188E-03  3.2738783234E-05
 -3.0000000000E+00 -3.0000000000E+00 -1.0000000000E+00  8.7950697720E+00  6.9636263439E+00 -2.5270921273E+00  7.8577008112E+00 -2.3590969369E+02 -4.2646390058E+02  1.5177449919E+02  1.4881098751E-01  4.4384784257E-05  3.4229653972E-04  2.9612815353E-05
 -1.3000000000E+01  1.0000000000E+00  5.0000000000E+00  4.5448116861E+00 -3.5344429205E+02 -6.8880383437E-01 -3.7524124028E+00  5.7001916916E+00  2.7704222567E-01  7.7868661844E+00  6.5179686806E-02  3.0590753813E-05  6.0749422684E-04 -2.6094497458E-05
 -7.0000000000E+00 -1.0000000000E+00  1.0000000000E+00  6.1232500294E+00 -3.7338436767E+00  2.7950864483E-02  4.2950167565E+01 -6.7881558237E+01 -1.4369109166E+01  7.0859562946E+01  1.5497571720E-01 -3.1497310480E-05  4.2966062831E-04 -8.8778520173E-06
 -1.0000000000E+00 -3.0000000000E+00 -7.0000000000E+00  7.1077399194E+00 -6.0954430731E+01 -3.7920845225E+00 -6.3962077803E-01 -3.3794556279E+00 -6.4146985801E+01 -1.0277663028E+02  1.8019108179E-01 -3.3063226842E-05 -2.0159449443E-04  3.1547508710E-05
 -1.1000000000E+01  1.0000000000E+00  5.0000000000E+00  4.2584356856E+00 -2.9178850480E+02 -1.0855966241E+00 -1.8448357075E+01  1.1517181228E+01  2.1142634405E-02  9.9290021553E+00  1.1863676898E-01  4.8866782135E-05  9.5893959661E-04 -3.5143225531E-05
 -5.0000000000E+00 -1.0000000000E+00  1.0000000000E+00  8.1876760077E+00  1.2192222115E+01 -1.0808791576E-01  1.5674058682E+01 -1.1530985295E+02 -4.5194992223E+01  2.1278055013E+02  1.4620981556E-01  1.6143309123E-05  3.2148220910E-04 -1.9837804616E-05
 -1.5000000000E+01  3.0000000000E+00  5.0000000000E+00  4.8212428868E+00 -3.8904530663E+02 -5.6532089252E-01  3.0602757181E-01  2.4299674446E+00  1.0314450497E+00  3.8021953142E+00  2.5365104970E-02  3.5131863881E-05  1.8729749802E-04 -3.0721428534E-05
 -9.0000000000E+00  1.0000000000E+00  3.0000000000E+00  4.3334060500E+00 -8.3554877313E+01 -1.4412084845E+00  4.2073143140E+01 -1.2611605497E+01  2.5667923067E+00  2.7093111787E+01  1.8101355629E-01  7.4657222613E-05  1.2189379247E-03 -9.4837590678E-05
 -3.0000000000E+00 -1.0000000000E+00  1.0000000000E+00  9.4963091701E+00  8.0787048545E+00 -4.4820680004E-01  2.4074033042E+00 -9.7837887954E+01 -1.8262307728E+02  8.6229459117E+02  1.4791361796E-01  2.7447081137E-05  3.4354754115E-04  3.3441789987E-05
 -1.3000000000E+01  3.0000000000E+00  5.0000000000E+00  4.6097503681E+00 -3.6487622586E+02 -1.1036246325E+00 -4.1661812439E+00  6.1642819552E+00  6.7191394949E-01  6.8179322229E+00  5.3337559413E-02  7.7411305197E-05  5.0393791791E-04 -5.8781241788E-05
 -7.0000000000E+00  1.0000000000E+00  1.0000000000E+00  6.1232500294E+00 -3.7338436767E+00 -2.7950864483E-02  4.2950167565E+01 -6.7881558237E+01  1.4369109166E+01  7.0859562946E+01  1.5497571720E-01  3.1497310480E-05  4.2966062831E-04  8.8778520173E-06
 -1.0000000000E+00 -1.0000000000E+00  1.0000000000E+00  1.0000000000E+01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  4.8426056719E+03  1.6597074878E+03  3.1828981841E+03  3.4517500000E-03  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
 -1.1000000000E+01  3.0000000000E+00  5.0000000000E+00  4.3184123030E+00 -3.1453921506E+02 -1.2690839868E+00 -1.7377859453E+01  1.1990251035E+01 -1.2403080942E-01  8.7971990717E+00  9.9797323489E-02  1.2952359050E-04  8.2819858808E-04 -8.1183698934E-05
 -5.0000000000E+00  1.0000000000E+00  3.0000000000E+00  7.3827558322E+00  2.5488663784E+01 -1.5534295520E+00 -6.6284576075E+00  6.7369823222E+01  2.4493291131E+00  1.1465061408E+02  1.6182012292E-01 -1.0024852680E-05  4.1819616323E-04 -2.2778891510E-05
 -1.8000000000E+01  6.0000000000E+00  6.0000000000E+00  4.9915656517E+00 -3.9997034781E+02  3.7470975295E-02  3.0502939173E-01  7.9967846102E-01  9.8602764647E-01 -3.4924518836E+00  8.5652245098E-03  6.5466469498E-06  1.6573149801E-05  2.3107480473E-06
 -1.5000000000E+01  5.0000000000E+00  3.0000000000E+00  4.7896020899E+00 -3.8816691389E+02  3.1753597782E+00  7.4893468374E+00 -3.9269231760E+00  4.4685600561E+00  4.7458113455E+00  2.3991365288E-02  4.8065425360E-05  1.5137892522E-04 -9.0789721191E-05
 -9.0000000000E+00  3.0000000000E+00  5.0000000000E+00  4.1057593226E+00 -2.3159194220E+02 -4.1930468802E-01 -3.9891751587E+01  2.1477411799E+01 -1.5735854750E+00  1.0262738459E+01  1.4723695714E-01  1.6795035248E-04  9.9038918120E-04 -7.8294968843E-05
 -3.0000000000E+00  1.0000000000E+00  1.3028567681E+00  9.3738156835E+00  9.8875496244E+00  2.6045118950E-01 -8.8817841970E-16 -2.9452473484E+01  1.4742043869E+02  7.5342567767E+02  1.4936294171E-01 -2.6818818408E-05  3.4406319380E-04 -3.1893969028E-05
 -1.3000000000E+01  5.0000000000E+00  5.0000000000E+00  4.7352415770E+00 -3.8135660761E+02  2.1357407456E-01 -3.5118393270E+00  6.4395417067E+00  7.4778990013E-01  5.0018672848E+00  3.4952530301E-02  8.5677785610E-05  3.1892481348E-04 -5.1843067868E-05
 -7.0000000000E+00  3.0000000000E+00  1.0000000000E+00  5.5569957768E+00 -1.2681311943E+01  1.1721431333E+00  4.9238705276E+01 -4.6428692440E+01  2.9722127647E+01  5.3142748621E+01  1.5837542688E-01  1.2648929766E-04  5.5181122318E-04 -4.0298525676E-05
 -1.0000000000E+00  1.0000000000E+00               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN
 -1.1000000000E+01  5.0000000000E+00  3.0000000000E+00  4.3295986893E+00 -2.9773080226E+02  4.3833039980E+00  2.4863571325E+01 -3.9828490257E+00  5.9755843599E+00  1.3167013737E+01  1.0019331468E-01  2.1188161102E-04  8.2409656367E-04 -3.6405995365E-04
 -5.0000000000E+00  3.0000000000E+00  1.9381240001E+00  7.0733690750E+00  1.5375216171E+01 -3.3725129724E+00  3.5527136788E-15  9.1448268190E-01  3.8615888490E+01  1.0675659823E+02  1.6594638479E-01  1.6243459645E-05  4.7474923113E-04 -2.9799706609E-05
