VARIABLES="J", "I", "x", "y", "z", "rho", "ux", "uy", "uz", "bxSM", "bySM", "bzSM", "p", "rCurve", "xZ0", "yZ0", "zZ0", "rhoZ0", "uxZ0", "uyZ0", "uzZ0", "bxSMZ0", "bySMZ0", "bzSMZ0", "pZ0", "rCurveZ0"
ZONE T="STRUCTURED GRID", I=    20, J=    25, K=     1, F=POINT
AUXDATA ITER="     352"
AUXDATA TIMESIM="  6.0000000000E+01"
AUXDATA NDIM=" -2"
AUXDATA NPARAM="  0"
AUXDATA NVAR=" 22"
     1      10  1.5798552697E+07  3.4927385490E+07 -1.2513598195E+07  1.3257925913E-20 -3.0138125241E+04  1.2148378218E+04 -2.3737837515E+04  9.6567699756E-09  7.8707374029E-09  1.1275782103E-07  2.2500354986E-10  1.6873689643E+07  1.6831007844E+07  3.4885326476E+07 -1.1062512195E+07  1.3276559878E-20 -2.7539800259E+04  1.3599595408E+04 -2.1393539797E+04  3.1070722593E-09 -5.6911743532E-09  1.1438529910E-07  2.2387620869E-10  1.7040984777E+07
     1      11  1.6400562061E+07  3.6999670273E+07 -1.3637478912E+07  1.2868607844E-20 -4.7615606336E+04  1.6576789023E+04 -2.6245471172E+04  9.5798491092E-09  8.0573815358E-09  9.3578113118E-08  2.3294228964E-10  1.7382857969E+07  1.7812816635E+07  3.6920303854E+07 -1.1707825407E+07  1.2890303169E-20 -4.3766863532E+04  1.8972901716E+04 -2.2940275063E+04  2.9503921606E-09 -6.3685482750E-09  9.5752875222E-08  2.3157868917E-10  1.7772614506E+07
     1      12  1.6945834318E+07  3.9090839952E+07 -1.4803149690E+07  1.2495114992E-20 -6.7330936953E+04  2.1244742545E+04 -2.9028696768E+04  9.1728823418E-09  7.6878750474E-09  7.8062299187E-08  2.3997192781E-10  1.7781657089E+07  1.8794625425E+07  3.8955281231E+07 -1.2353138618E+07  1.2519434441E-20 -6.1917114434E+04  2.4956503329E+04 -2.4602571996E+04  2.8070482019E-09 -7.0708874856E-09  8.0773166569E-08  2.3843910565E-10  1.8493238726E+07
     1      13  1.7345509844E+07  4.1178730594E+07 -1.6105743070E+07  1.2140442874E-20 -8.9371267022E+04  2.5879268250E+04 -3.2202783066E+04  8.8041063697E-09  7.5460364312E-09  6.5300909609E-08  2.4594752146E-10  1.8038475558E+07  1.9776434216E+07  4.0990258609E+07 -1.2998451830E+07  1.2160575777E-20 -8.3370846943E+04  3.1171479228E+04 -2.5491300871E+04  2.7093257730E-09 -7.6609391001E-09  6.8362631433E-08  2.4362651075E-10  1.9560646176E+07
     1      14  1.7598581481E+07  4.3246979400E+07 -1.7547766178E+07  1.1806974462E-20 -1.1367303902E+05  3.0233243896E+04 -3.5759817282E+04  8.3158362461E-09  7.3586287292E-09  5.4683292258E-08  2.5082119419E-10  1.8109894654E+07  2.0758243007E+07  4.3025235987E+07 -1.3643765041E+07  1.1814999549E-20 -1.0757707596E+05  3.7278683536E+04 -2.5969338683E+04  2.6272261039E-09 -8.1487199618E-09  5.7921156192E-08  2.4641805270E-10  2.0838492315E+07
     1      15  1.7901802250E+07  4.5313597579E+07 -1.8916581933E+07  1.1487983351E-20 -1.4130365715E+05  3.3595233806E+04 -3.8215513349E+04  7.6011129587E-09  6.4753174148E-09  4.5791514017E-08  2.4750425225E-10  1.8174036586E+07  2.1740051798E+07  4.5060213365E+07 -1.4289078252E+07  1.1486716057E-20 -1.3444097351E+05  4.2448432974E+04 -2.6028621468E+04  2.5522790269E-09 -8.4983430916E-09  4.8976224108E-08  2.4332599933E-10  2.2251427745E+07
     1      16  1.8351361037E+07  4.7379401065E+07 -2.0034331361E+07  1.1170013306E-20 -1.7241326916E+05  3.4377404887E+04 -3.7209950495E+04  6.9726521763E-09  5.0182330402E-09  3.8403320291E-08  2.2678618272E-10  1.8443033893E+07  2.2721860589E+07  4.7095190742E+07 -1.4934391464E+07  1.1177168840E-20 -1.6453486464E+05  4.3686812042E+04 -2.4366979026E+04  2.5115489991E-09 -8.4248825946E-09  4.0966487051E-08  2.2409938673E-10  2.4034078255E+07
     1      17  1.8708130594E+07  4.9536442533E+07 -2.1194001655E+07  1.0827329084E-20 -2.0613053020E+05  3.3180011881E+04 -3.3740384003E+04  6.6054379729E-09  3.8658287673E-09  3.1847161856E-08  2.0019019344E-10  1.9151229963E+07  2.3703669380E+07  4.9130168120E+07 -1.5579704675E+07  1.0870698957E-20 -1.9524927370E+05  4.4205932522E+04 -2.2573847764E+04  2.4851258555E-09 -8.3156565874E-09  3.4046050851E-08  2.0291691605E-10  2.5625604511E+07
     1      18  1.9301842425E+07  5.1875238143E+07 -2.2038968865E+07  1.0473010669E-20 -2.4096842683E+05  3.3165516696E+04 -3.0277067187E+04  6.1069699442E-09  2.0363832868E-09  2.6233406562E-08  1.7245333739E-10  1.9772842243E+07  2.4685478171E+07  5.1165145498E+07 -1.6225017887E+07  1.0567521379E-20 -2.2652954386E+05  4.3930116957E+04 -2.0597015330E+04  2.4737687499E-09 -8.1693586778E-09  2.8011560627E-08  1.7992241121E-10  2.6952939723E+07
     1      19  1.9394807966E+07  5.4365628001E+07 -2.3207285308E+07  1.0100267594E-20 -2.7766743899E+05  3.1539090300E+04 -2.6092839785E+04  6.0353748021E-09  1.1305004685E-09  2.1111179828E-08  1.4196386617E-10  2.0258535895E+07  2.5667286962E+07  5.3200122876E+07 -1.6870331098E+07  1.0267851079E-20 -2.5831084566E+05  4.2776223603E+04 -1.8378582674E+04  2.4782368359E-09 -7.9846824735E-09  2.2705736004E-08  1.5525969612E-10  2.7943017099E+07
