Values at minimum B
    362  6.0000000000E+01 -2  0 22
      20      25
x y z rho ux uy uz bxSM bySM bzSM p rCurve xZ0 yZ0 zZ0 rhoZ0 uxZ0 uyZ0 uzZ0 bxSMZ0 bySMZ0 bzSMZ0 pZ0 rCurveZ0
  1.4535691921E+08  6.0794132886E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  7.2678459604E+07  3.0397066443E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.5482461126E+08  6.4753903993E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  7.7412305632E+07  3.2376951997E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.6429230332E+08  6.8713675101E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  8.2146151660E+07  3.4356837550E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.7375999538E+08  7.2673446208E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  8.6879997688E+07  3.6336723104E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.8322768743E+08  7.6633217316E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  9.1613843715E+07  3.8316608658E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.9269537949E+08  8.0592988423E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  9.6347689743E+07  4.0296494212E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  2.0216307154E+08  8.4552759531E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  1.0108153577E+08  4.2276379765E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  2.1163076360E+08  8.8512530638E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  1.0581538180E+08  4.4256265319E-10  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.6982515346E+07  5.2390949360E+06 -8.3140091712E+06  1.6203920568E-20  8.2036023562E+03 -2.3264269971E+02 -2.7326647936E+01 -3.9613221375E-07 -1.1298982963E-07  1.0083193575E-06  1.8098187028E-10  1.4743762397E+07  1.5331471515E+07  4.9522436090E+06 -1.0321396244E+07  1.6138966647E-20  8.0778175823E+03 -1.6931419086E+02 -2.2790514411E+03  4.2214534061E-09 -3.0873348679E-10  1.1468790293E-06  1.6508612977E-10  1.5633736090E+07
  1.8936418111E+07  6.6436799277E+06 -1.5631323083E+07  1.5596002068E-20  1.6051159543E+04  1.7606290506E+02 -1.0618764741E+04  1.3515717550E-07  3.5454902711E-08  4.7032648720E-07  2.0632763970E-10  1.3499910187E+07  1.9904015651E+07  6.4292285450E+06 -1.3399707405E+07  1.5694666060E-20  1.4216145406E+04  1.7740063308E+02 -6.7076574293E+03  4.4564136301E-09 -5.4070638198E-10  5.2036375861E-07  2.1083377496E-10  1.3859871017E+07
  2.4390557622E+07  7.9095003886E+06 -1.6605396198E+07  1.4976789415E-20  1.4516656290E+04  2.1145937315E+03 -1.0240106361E+04  6.6806087531E-09  1.7777278552E-10  2.7786639533E-07  2.2502488893E-10  1.4634033856E+07  2.4476559787E+07  7.9062134810E+06 -1.6478018565E+07  1.4979574508E-20  1.4393490349E+04  2.1202399675E+03 -9.9353696136E+03  2.6071410664E-09 -9.4042034152E-10  2.7797755235E-07  2.2527920586E-10  1.4690918597E+07
  2.9820034383E+07  9.4143404248E+06 -1.8628612839E+07  1.4228372094E-20  1.1117308337E+04  6.0492246732E+03 -1.3329202752E+04 -1.4286021749E-08 -5.6861078522E-09  1.6335573361E-07  2.4767436784E-10  1.5554877515E+07  2.9049103923E+07  9.3831984170E+06 -1.9556329726E+07  1.4225711730E-20  9.9016329431E+03  5.8207411578E+03 -1.6043654103E+04  7.7270022927E-10 -1.4434729967E-09  1.6546321805E-07  2.4713520189E-10  1.5275433232E+07
  3.1681708495E+07  1.0928245255E+07 -2.5508119733E+07  1.3479872401E-20 -3.1638400619E+04  9.4423096376E+03 -3.5182566640E+04  2.1173437694E-08  4.4471155727E-09  1.0180326047E-07  2.9233527132E-10  1.6836258656E+07  3.3621648059E+07  1.0860183353E+07 -2.2634640886E+07  1.3495303491E-20 -2.2243751895E+04  1.0498405930E+04 -2.5403735293E+04 -9.7751210840E-10 -2.1003188939E-09  1.0541081773E-07  2.8470010180E-10  1.7447616598E+07
  3.6802462012E+07  1.2399098206E+07 -2.7696223939E+07  1.2740455128E-20 -8.0622059279E+04  1.4896984879E+04 -4.2550592320E+04  6.5468677198E-09  2.4075379294E-11  6.7463678640E-08  3.1010160971E-10  1.9697803819E+07  3.8194192195E+07  1.2337168289E+07 -2.5712952047E+07  1.2750316467E-20 -7.4220402247E+04  1.5843994171E+04 -3.5103124318E+04 -1.8359133025E-09 -2.6036368130E-09  6.8302308999E-08  3.0797185465E-10  2.0418861687E+07
  4.1004050404E+07  1.3949619996E+07 -3.1276813019E+07  1.1978088225E-20 -1.4539472380E+05  2.0287793421E+04 -5.5984549451E+04  2.6573760728E-09 -1.2553040413E-09  4.2752782689E-08  3.1025787081E-10  2.1842644506E+07  4.2766736331E+07  1.3814153225E+07 -2.8791263208E+07  1.1994555002E-20 -1.3642373046E+05  2.1626051668E+04 -4.5408608122E+04 -2.7742630480E-09 -3.1360271944E-09  4.3684764112E-08  3.0970783767E-10  2.2891589904E+07
  4.3084663638E+07  1.6030971098E+07 -3.8264385958E+07  1.1034499356E-20 -2.3818731194E+05  1.8243078388E+04 -5.0849752890E+04  4.8793086006E-09 -6.5812639664E-10  2.3991966320E-08  2.2830713066E-10  2.2833151221E+07  4.7339280467E+07  1.5291138161E+07 -3.1869574368E+07  1.1192800126E-20 -2.1141623575E+05  2.2692499035E+04 -5.0362070878E+04 -3.2925330900E-09 -3.3111947513E-09  2.5604332049E-08  2.5990989657E-10  2.3658931754E+07
  4.4956367807E+07  1.8474463517E+07 -4.3967758030E+07  1.0175786932E-20 -3.2087364490E+05  1.3340292587E+04 -4.1093720594E+04  3.3361998708E-09 -1.2101250914E-09  1.2589131914E-08  1.3717455607E-10  2.3190471914E+07  5.1911824603E+07  1.6768123097E+07 -3.4947885529E+07  1.0346945761E-20 -2.8234392662E+05  1.6905488821E+04 -3.5284200640E+04 -1.8905040439E-09 -2.8210717032E-09  1.3576485305E-08  1.6606053784E-10  2.4448573416E+07
  5.6675926012E+07  1.8010063906E+07 -3.7565293203E+07  9.5705468203E-21 -3.4319816562E+05  1.0238653509E+04 -1.9042898066E+04 -4.4536880528E-10 -2.2184455110E-09  5.2505049465E-09  8.6542280635E-11  2.6473056365E+07  5.6484368739E+07  1.8245108033E+07 -3.8026196689E+07  9.5465461624E-21 -3.4422986271E+05  1.0194511676E+04 -1.9053432398E+04 -2.8053780572E-10 -2.1984495061E-09  5.2818219233E-09  8.4881243247E-11  2.6725874460E+07
  6.3225053165E+07  1.5463107333E+07 -3.8546198432E+07  9.0958957801E-21 -3.6863439046E+05  4.6614994088E+03 -1.0636734098E+04 -1.8094684762E-10 -1.5341759067E-09  1.2576407590E-09  5.0270402378E-11  2.5079621684E+07  6.1056912875E+07  1.9722092969E+07 -4.1104507850E+07  8.9776915941E-21 -3.7592672312E+05  5.1306680507E+03 -9.5804770396E+03  5.8489750235E-10 -1.7874943471E-09  1.4305270533E-09  4.0934728718E-11  2.8013254608E+07
  1.3125891402E+08  4.2398155810E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  6.5629457010E+07  2.1199077905E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.4040400229E+08  4.5352125682E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  7.0202001146E+07  2.2676062841E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.4954909056E+08  4.8306095554E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  7.4774545282E+07  2.4153047777E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.5869417884E+08  5.1260065426E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  7.9347089418E+07  2.5630032713E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.6783926711E+08  5.4214035298E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  8.3919633554E+07  2.7107017649E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.7698435538E+08  5.7168005170E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  8.8492177690E+07  2.8584002585E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.8612944365E+08  6.0121975042E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  9.3064721826E+07  3.0060987521E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.9527453192E+08  6.3075944915E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  9.7637265962E+07  3.1537972457E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  2.0441962020E+08  6.6029914787E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  1.0220981010E+08  3.3014957393E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.6562977299E+07  1.0185013128E+07 -5.9835806980E+06  1.6123309796E-20  8.0448155689E+03 -4.4851225802E+02  8.8782067840E+02 -5.0134996021E-07 -3.0432343483E-07  8.2661483355E-07  1.7892979968E-10  1.4626353582E+07  1.3745821312E+07  9.5670000000E+06 -9.2539107111E+06  1.6088616807E-20  6.9612277801E+03 -3.8395663320E+02 -2.6840873293E+03  3.9827664568E-09 -8.3722347466E-10  1.1471248636E-06  1.5416010291E-10  1.5293593172E+07
  1.7671329980E+07  1.2415157102E+07 -1.2295187452E+07  1.5521139643E-20  1.1614343604E+04 -1.6273036153E+02 -8.6417129104E+03  2.2290234172E-08  9.3169583938E-09  5.1950973859E-07  2.0072415526E-10  1.4517818478E+07  1.7845452230E+07  1.2420315789E+07 -1.2013848993E+07  1.5531270936E-20  1.1688207897E+04 -1.5897219428E+02 -8.2575046155E+03  4.1029219842E-09 -1.3194251149E-09  5.2058829887E-07  2.0153115574E-10  1.4436512271E+07
  2.1267141879E+07  1.5343340124E+07 -1.5871118344E+07  1.4826929890E-20  1.1000745643E+04  2.1868809138E+03 -1.5682945598E+04  3.2413653289E-08  1.5669078055E-08  2.7299690862E-07  2.2049203518E-10  1.4428380549E+07  2.1945083148E+07  1.5273631579E+07 -1.4773787276E+07  1.4853114300E-20  1.0493933356E+04  2.4706466176E+03 -1.2957057462E+04  2.8713757720E-09 -1.9296971474E-09  2.7784531743E-07  2.2219491506E-10  1.4778836954E+07
  2.6348409258E+07  1.8131195195E+07 -1.7130568996E+07  1.4112579893E-20  3.6053908955E+03  8.7410398844E+03 -1.7716417615E+04 -4.3608682508E-09 -6.2926290652E-09  1.6472573957E-07  2.4682010260E-10  1.6032353227E+07  2.6044714066E+07  1.8126947368E+07 -1.7533725558E+07  1.4108163370E-20  3.7795866890E+03  8.6041176315E+03 -1.8941929273E+04  1.4365921715E-09 -2.7541682502E-09  1.6505802697E-07  2.4615171227E-10  1.5865809766E+07
  2.9686132294E+07  2.0973923199E+07 -2.0908534658E+07  1.3322937120E-20 -2.2494276350E+04  1.8401293384E+04 -2.8806376755E+04  4.5404571779E-09 -1.0210868651E-09  1.0541348841E-07  2.7788490652E-10  1.7349704312E+07  3.0144344983E+07  2.0980263158E+07 -2.0293663840E+07  1.3318262389E-20 -1.9387832092E+04  1.9168862739E+04 -2.7187171833E+04 -5.4431435519E-11 -3.9647360037E-09  1.0556867429E-07  2.7772628585E-10  1.7398717841E+07
  3.1150447213E+07  2.4061336263E+07 -2.7277539663E+07  1.2584194652E-20 -8.9904702216E+04  2.4942063685E+04 -4.7022383332E+04  1.4783127972E-08  5.9264723457E-09  6.5325190251E-08  3.0226428903E-10  1.8494685017E+07  3.4243975901E+07  2.3833578947E+07 -2.3053602122E+07  1.2577393655E-20 -7.3996591188E+04  2.8899001285E+04 -3.3919907187E+04 -9.3253922284E-10 -4.9843144372E-09  6.9161981680E-08  2.9437678238E-10  2.0258041150E+07
  3.5462561040E+07  2.7010434654E+07 -2.9611556645E+07  1.1836765250E-20 -1.5669292567E+05  3.1588869240E+04 -5.0228106627E+04  6.2333002965E-09  1.4394998391E-10  4.2842829750E-08  2.8198348605E-10  2.0762984619E+07  3.8343606819E+07  2.6686894737E+07 -2.5813540405E+07  1.1842953170E-20 -1.4396080848E+05  3.4768674292E+04 -3.7317723268E+04 -1.2398298565E-09 -5.4702009761E-09  4.4219692888E-08  2.7766228216E-10  2.3405838744E+07
  3.9810548810E+07  3.0200435787E+07 -3.2156143135E+07  1.1025067258E-20 -2.3507213123E+05  3.3897195194E+04 -4.7898682067E+04  2.0151361483E-09 -2.9476466629E-09  2.5299206440E-08  2.2545574597E-10  2.2650795224E+07  4.2443237736E+07  2.9540210526E+07 -2.8573478687E+07  1.1088215780E-20 -2.2049487036E+05  3.7487168480E+04 -3.7363946930E+04 -1.4179494697E-09 -5.7695120027E-09  2.6337995947E-08  2.3160839176E-10  2.5591920584E+07
  4.3543430531E+07  3.4309412497E+07 -3.5741596229E+07  1.0023034894E-20 -3.1269920403E+05  2.6632383292E+04 -3.1276043305E+04  1.9369070189E-09 -3.3097162561E-09  1.2720336081E-08  1.2972697289E-10  2.5554091036E+07  4.6542868654E+07  3.2393526316E+07 -3.1333416969E+07  1.0275127018E-20 -2.9555332515E+05  3.2347523264E+04 -3.2373081852E+04 -1.3479249024E-09 -5.5953652855E-09  1.3529245952E-08  1.5451617312E-10  2.4376779238E+07
  4.6718816254E+07  3.8381416874E+07 -3.8215733927E+07  9.2994657777E-21 -3.5720146259E+05  1.6177444831E+04 -1.7569630873E+04  2.2644690566E-09 -2.9789270506E-09  6.4704091704E-09  6.7089785803E-11  2.7820693094E+07  5.0642499572E+07  3.5246842105E+07 -3.4093355251E+07  9.4872063541E-21 -3.4476639579E+05  1.8915958681E+04 -1.9233917745E+04 -5.3859443902E-11 -4.3118697138E-09  6.4305977308E-09  8.2158560956E-11  2.5067326743E+07
  5.7109756336E+07  3.3066075344E+07 -3.5286521572E+07  8.9934665138E-21 -3.7721351103E+05  8.1771109591E+03 -7.3089860388E+03  5.0668995382E-10 -3.1005317829E-09  1.5649111707E-09  3.6979054596E-11  2.3273903488E+07  5.4742130490E+07  3.8100157895E+07 -3.6853293534E+07  8.8972629874E-21 -3.7817025295E+05  8.3381548614E+03 -7.9311426281E+03  1.3432614081E-09 -3.0385295116E-09  2.0972249692E-09  3.6104223167E-11  2.8745562868E+07
  1.1768352281E+08  8.1906947368E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  5.8841761407E+07  4.0953473684E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.2588278465E+08  8.7613578947E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  6.2941392325E+07  4.3806789474E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.3408204649E+08  9.3320210526E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  6.7041023243E+07  4.6660105263E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.4228130832E+08  9.9026842105E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  7.1140654160E+07  4.9513421053E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
