Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz E Pmin Pmax
     32  3.45074E+00  1.16436E-001  5.00010E+000 -3.34504E-015  2.08958E-035 -1.41797E-022  5.71475E-007  4.33435E-019  9.98826E-001  6.84201E-010  6.65957E-003  1.32391E+002
     33  3.56744E+00  1.16701E-001  5.00011E+000 -3.34504E-015  9.03601E-036 -1.42852E-022  6.02120E-007  1.54798E-020  9.98788E-001  6.84317E-010  6.67963E-003  1.34617E+002
     34  3.68441E+00  1.16963E-001  5.00011E+000 -3.34504E-015  3.38851E-035 -1.44112E-022  6.33608E-007 -2.78637E-019  9.98750E-001  6.84433E-010  6.70353E-003  1.36750E+002
     35  3.80163E+00  1.17222E-001  5.00011E+000 -3.34503E-015 -6.21226E-036 -1.45595E-022  6.65927E-007  5.72753E-019  9.98712E-001  6.84547E-010  6.73156E-003  1.38791E+002
     36  3.91911E+00  1.17478E-001  5.00012E+000 -3.34503E-015  2.25900E-036 -1.47321E-022  6.99061E-007  0.00000E+000  9.98674E-001  6.84661E-010  6.76400E-003  1.40741E+002
     37  4.03684E+00  1.17732E-001  5.00012E+000 -3.34503E-015  1.80720E-035 -1.49305E-022  7.32996E-007 -2.47677E-019  9.98636E-001  6.84774E-010  6.80114E-003  1.42603E+002
     38  4.15482E+00  1.17983E-001  5.00012E+000 -3.34502E-015  3.38851E-036 -1.51562E-022  7.67715E-007  1.70278E-019  9.98598E-001  6.84887E-010  6.84325E-003  1.44378E+002
     39  4.27305E+00  1.18232E-001  5.00013E+000 -3.34502E-015 -9.03601E-036 -1.54104E-022  8.03202E-007 -5.41794E-019  9.98561E-001  6.84999E-010  6.89061E-003  1.46069E+002
     40  4.39153E+00  1.18479E-001  5.00013E+000 -3.34502E-015  6.77701E-036 -1.56942E-022  8.39440E-007 -9.28789E-020  9.98524E-001  6.85110E-010  6.89934E-003  1.47678E+002
     41  4.51025E+00  1.18723E-001  5.00013E+000 -3.34501E-015  4.51801E-036 -1.60088E-022  8.76419E-007  1.85758E-019  9.98486E-001  6.85221E-010  6.90007E-003  1.49207E+002
     42  4.62922E+00  1.18966E-001  5.00013E+000 -3.34501E-015  2.25900E-036 -1.63549E-022  9.14122E-007 -7.89471E-019  9.98449E-001  6.85332E-010  6.90058E-003  1.50660E+002
     43  4.74843E+00  1.19206E-001  5.00014E+000 -3.34501E-015 -1.80720E-035 -1.67333E-022  9.52553E-007 -4.17955E-019  9.98412E-001  6.85443E-010  6.90096E-003  1.52038E+002
     44  4.86787E+00  1.19445E-001  5.00014E+000 -3.34500E-015 -4.51801E-036 -1.71446E-022  9.91693E-007  1.54798E-019  9.98375E-001  6.85553E-010  6.90121E-003  1.53343E+002
     45  4.98755E+00  1.19681E-001  5.00014E+000 -3.34500E-015  2.25900E-035 -1.75894E-022  1.03153E-006 -7.73991E-019  9.98338E-001  6.85663E-010  6.90148E-003  1.54579E+002
     46  5.00000E+00  1.24485E-002  5.00014E+000 -3.34500E-015  9.03601E-036 -1.76391E-022  1.03573E-006 -4.64395E-020  9.98334E-001  6.85674E-010  6.90153E-003  1.54700E+002
     47  5.16020E+00  1.60199E-001  5.00015E+000 -3.34499E-015  9.03601E-036 -1.80421E-022  1.08838E-006 -3.09596E-020  9.98292E-001  6.85821E-010  6.90198E-003  1.57167E+002
     48  5.32107E+00  1.60872E-001  5.00015E+000 -3.34499E-015  0.00000E+000 -1.84517E-022  1.14209E-006  1.00619E-018  9.98249E-001  6.85967E-010  6.90218E-003  1.59670E+002
     49  5.48296E+00  1.61886E-001  5.00016E+000 -3.34499E-015  9.03601E-036 -1.88272E-022  1.19712E-006  2.47677E-019  9.98206E-001  6.86112E-010  6.90228E-003  1.62216E+002
     50  5.64579E+00  1.62830E-001  5.00016E+000 -3.34498E-015  3.61441E-035 -1.91299E-022  1.25252E-006  6.96592E-019  9.98163E-001  6.86257E-010  6.90237E-003  1.64712E+002
     51  5.80951E+00  1.63721E-001  5.00016E+000 -3.34498E-015 -2.71080E-035 -1.93931E-022  1.30820E-006 -9.90708E-019  9.98121E-001  6.86402E-010  6.90247E-003  1.67146E+002
     52  5.97408E+00  1.64571E-001  5.00017E+000 -3.34497E-015 -9.03601E-036 -1.96288E-022  1.36392E-006 -1.20743E-018  9.98079E-001  6.86546E-010  6.90257E-003  1.69504E+002
     53  6.13947E+00  1.65388E-001  5.00017E+000 -3.34497E-015  1.80720E-035 -1.98669E-022  1.41951E-006 -4.02475E-019  9.98038E-001  6.86691E-010  6.90261E-003  1.71741E+002
     54  6.30565E+00  1.66179E-001  5.00018E+000 -3.34497E-015 -9.03601E-036 -2.01462E-022  1.47491E-006  9.90708E-019  9.97997E-001  6.86835E-010  6.90264E-003  1.73849E+002
     55  6.47260E+00  1.66949E-001  5.00018E+000 -3.34496E-015 -1.80720E-035 -2.04492E-022  1.52909E-006 -2.50773E-018  9.97956E-001  6.86980E-010  6.90267E-003  1.75804E+002
     56  6.64030E+00  1.67702E-001  5.00019E+000 -3.34496E-015  4.51801E-035 -2.07982E-022  1.58238E-006  3.71516E-019  9.97916E-001  6.87125E-010  6.90271E-003  1.77598E+002
     57  6.80874E+00  1.68440E-001  5.00019E+000 -3.34495E-015  2.71080E-035 -2.12118E-022  1.63509E-006  4.33435E-019  9.97877E-001  6.87271E-010  6.90274E-003  1.79200E+002
     58  6.97790E+00  1.69166E-001  5.00020E+000 -3.34495E-015  1.17468E-034 -2.16766E-022  1.68700E-006  4.02475E-019  9.97838E-001  6.87417E-010  6.90278E-003  1.80620E+002
     59  7.14779E+00  1.69882E-001  5.00020E+000 -3.34495E-015 -9.03601E-035 -2.21877E-022  1.73753E-006 -1.02167E-018  9.97800E-001  6.87563E-010  6.90282E-003  1.81866E+002
     60  7.31837E+00  1.70589E-001  5.00021E+000 -3.34494E-015  5.42161E-035 -2.27515E-022  1.78673E-006 -4.33435E-019  9.97763E-001  6.87710E-010  6.90286E-003  1.82948E+002
     61  7.40402E+00  8.56438E-002  5.00022E+000 -3.34494E-015 -9.03601E-036 -2.05935E-022  1.64955E-006 -6.50152E-019  9.97840E-001  6.88503E-010  6.90286E-003  2.27807E+002
     62  7.44938E+00  4.53639E-002  5.00022E+000 -3.34493E-015  9.03601E-035 -2.06597E-022  1.65970E-006 -9.28789E-020  9.97836E-001  6.88606E-010  6.90287E-003  2.53737E+002
     63  7.49536E+00  4.59812E-002  5.00022E+000 -3.34493E-015  1.17468E-034 -2.07795E-022  1.66958E-006  1.23839E-019  9.97832E-001  6.88705E-010  6.90287E-003  2.76071E+002
     64  7.54175E+00  4.63849E-002  5.00022E+000 -3.34493E-015 -2.71080E-035 -2.09342E-022  1.67919E-006  6.19193E-020  9.97826E-001  6.88799E-010  6.90287E-003  2.95480E+002
     65  7.58851E+00  4.67645E-002  5.00022E+000 -3.34493E-015 -9.03601E-035 -2.11166E-022  1.68856E-006  0.00000E+000  9.97820E-001  6.88891E-010  6.90287E-003  3.12582E+002
     66  7.63564E+00  4.71223E-002  5.00022E+000 -3.34493E-015  5.42161E-035 -2.13207E-022  1.69768E-006 -6.03713E-019  9.97813E-001  6.88979E-010  6.90287E-003  3.27839E+002
     67  7.68310E+00  4.74611E-002  5.00022E+000 -3.34493E-015  3.61441E-035 -2.15376E-022  1.70647E-006 -3.40556E-019  9.97805E-001  6.89063E-010  6.90288E-003  3.41596E+002
     68  7.73088E+00  4.77832E-002  5.00022E+000 -3.34493E-015  3.61441E-035 -2.17632E-022  1.71513E-006 -1.23839E-019  9.97797E-001  6.89145E-010  6.90288E-003  3.54114E+002
     69  7.77897E+00  4.80906E-002  5.00023E+000 -3.34493E-015  5.42161E-035 -2.19959E-022  1.72357E-006 -5.88233E-019  9.97788E-001  6.89224E-010  6.90288E-003  3.65592E+002
     70  7.82735E+00  4.83849E-002  5.00023E+000 -3.34493E-015 -7.22881E-035 -2.22302E-022  1.73173E-006 -6.65632E-019  9.97778E-001  6.89300E-010  6.90288E-003  3.76190E+002
     71  7.87602E+00  4.86666E-002  5.00023E+000 -3.34492E-015 -3.61441E-035 -2.24627E-022  1.73974E-006 -2.63157E-019  9.97768E-001  6.89374E-010  6.90289E-003  3.86043E+002
     72  7.92492E+00  4.89006E-002  5.00023E+000 -3.34492E-015 -7.22881E-035 -2.26961E-022  1.74758E-006 -6.19193E-020  9.97757E-001  6.89446E-010  6.90289E-003  3.95222E+002
     73  7.97397E+00  4.90439E-002  5.00023E+000 -3.34492E-015  0.00000E+000 -2.29305E-022  1.75515E-006 -4.64395E-020  9.97747E-001  6.89516E-010  6.90289E-003  4.03777E+002
     74  8.02312E+00  4.91525E-002  5.00023E+000 -3.34492E-015 -5.42161E-035 -2.31669E-022  1.76242E-006 -2.16717E-019  9.97736E-001  6.89584E-010  6.90289E-003  4.11745E+002
     75  8.07236E+00  4.92404E-002  5.00023E+000 -3.34492E-015  9.03601E-035 -2.33845E-022  1.76957E-006 -9.59749E-019  9.97725E-001  6.89650E-010  6.90289E-003  4.19165E+002
     76  8.12167E+00  4.93134E-002  5.00023E+000 -3.34492E-015  1.62648E-034 -2.36066E-022  1.77655E-006  5.88233E-019  9.97713E-001  6.89714E-010  6.90290E-003  4.26042E+002
     77  8.17105E+00  4.93753E-002  5.00023E+000 -3.34492E-015  1.08432E-034 -2.38335E-022  1.78331E-006 -9.44269E-019  9.97702E-001  6.89777E-010  6.90290E-003  4.32356E+002
     78  8.22048E+00  4.94290E-002  5.00023E+000 -3.34492E-015  0.00000E+000 -2.40677E-022  1.78988E-006 -1.26934E-018  9.97691E-001  6.89839E-010  6.90290E-003  4.38136E+002
     79  8.26995E+00  4.94762E-002  5.00023E+000 -3.34492E-015  1.08432E-034 -2.43107E-022  1.79622E-006 -3.40556E-019  9.97680E-001  6.89899E-010  6.90290E-003  4.43407E+002
     80  8.31947E+00  4.95184E-002  5.00023E+000 -3.34492E-015  1.80720E-035 -2.45630E-022  1.80238E-006  1.54798E-020  9.97668E-001  6.89958E-010  6.90291E-003  4.48179E+002
     81  8.36903E+00  4.95565E-002  5.00023E+000 -3.34492E-015 -9.03601E-035 -2.48245E-022  1.80865E-006 -8.82350E-019  9.97657E-001  6.90017E-010  6.90291E-003  4.52440E+002
     82  8.41862E+00  4.95908E-002  5.00023E+000 -3.34491E-015 -5.42161E-035 -2.50883E-022  1.81451E-006  2.32197E-019  9.97647E-001  6.90074E-010  6.90291E-003  4.56217E+002
     83  8.46824E+00  4.96213E-002  5.00023E+000 -3.34491E-015 -1.80720E-035 -2.53647E-022  1.82025E-006  6.03713E-019  9.97636E-001  6.90131E-010  6.90292E-003  4.59551E+002
     84  8.51789E+00  4.96489E-002  5.00023E+000 -3.34491E-015  1.44576E-034 -2.56545E-022  1.82583E-006 -2.94117E-019  9.97625E-001  6.90187E-010  6.90292E-003  4.62500E+002
