-1.000000000000000e+00 1.000000000000000e+00 1.050000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.050000000000000e+00 1.000000000000000e+00 
-3.619718134659112e-02 1.000000000000000e+00 1.050000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.050000000000000e+00 1.000000000000000e+00 
-3.372046265881311e-02 1.000000049453490e+00 1.049999948073838e+00 1.000000041406301e+00 1.000000049454518e+00 1.049999926335532e+00 1.000000008437308e+00 
-2.162098459093063e-02 1.000006528665675e+00 1.049993144945795e+00 1.000005466192716e+00 1.000006528447439e+00 1.049990275225120e+00 1.000001113748821e+00 
-1.991359602862771e-02 1.000013008056488e+00 1.049986341718356e+00 1.000010890904240e+00 1.000013006907216e+00 1.049980624114708e+00 1.000002218866141e+00 
-1.891245334459974e-02 1.000019487625934e+00 1.049979538391517e+00 1.000016315540866e+00 1.000019484852085e+00 1.049970973004295e+00 1.000003323789258e+00 
-1.820145807500128e-02 1.000025967374021e+00 1.049972734965279e+00 1.000021740102589e+00 1.000025962268755e+00 1.049961321893883e+00 1.000004428518166e+00 
-1.764967855103152e-02 1.000032447300754e+00 1.049965931439641e+00 1.000027164589403e+00 1.000032439162583e+00 1.049951670783471e+00 1.000005533052859e+00 
-1.719868931470585e-02 1.000038927406141e+00 1.049959127814600e+00 1.000032589001304e+00 1.000038915530933e+00 1.049942019673059e+00 1.000006637393328e+00 
-1.681729172197073e-02 1.000045407690189e+00 1.049952324090155e+00 1.000038013338284e+00 1.000045391373834e+00 1.049932368562647e+00 1.000007741539567e+00 
-1.648684974259643e-02 1.000051888152902e+00 1.049945520266305e+00 1.000043437600338e+00 1.000051866693980e+00 1.049922717452235e+00 1.000008845491568e+00 
-1.619533709564583e-02 1.000058368794289e+00 1.049938716343050e+00 1.000048861787461e+00 1.000058341483408e+00 1.049913066341822e+00 1.000009949249326e+00 
-1.593453905203008e-02 1.000064849614355e+00 1.049931912320387e+00 1.000054285899648e+00 1.000064815750137e+00 1.049903415231410e+00 1.000011052812831e+00 
-1.569859467091438e-02 1.000071330613108e+00 1.049925108198315e+00 1.000059709936890e+00 1.000071289499526e+00 1.049893764120998e+00 1.000012156182075e+00 
-1.548317557819283e-02 1.000077811790553e+00 1.049918303976833e+00 1.000065133899185e+00 1.000077762715620e+00 1.049884113010586e+00 1.000013259357054e+00 
-1.528499381707721e-02 1.000084293146698e+00 1.049911499655940e+00 1.000070557786524e+00 1.000084235409102e+00 1.049874461900174e+00 1.000014362337758e+00 
-1.510149341140020e-02 1.000090774681549e+00 1.049904695235633e+00 1.000075981598904e+00 1.000090707582666e+00 1.049864810789761e+00 1.000015465124181e+00 
-1.493064782787397e-02 1.000097256395112e+00 1.049897890715913e+00 1.000081405336319e+00 1.000097179225686e+00 1.049855159679349e+00 1.000016567716316e+00 
-1.477082317418202e-02 1.000103738287395e+00 1.049891086096777e+00 1.000086828998761e+00 1.000103650348845e+00 1.049845508568937e+00 1.000017670114156e+00 
-1.462068286033052e-02 1.000110220358403e+00 1.049884281378225e+00 1.000092252586227e+00 1.000110120949509e+00 1.049835857458525e+00 1.000018772317692e+00 
-1.447911965608860e-02 1.000116702608143e+00 1.049877476560254e+00 1.000097676098709e+00 1.000116591019716e+00 1.049826206348113e+00 1.000019874326919e+00 
-1.434520594893785e-02 1.000123185036623e+00 1.049870671642864e+00 1.000103099536203e+00 1.000123060567484e+00 1.049816555237701e+00 1.000020976141828e+00 
-1.421815696312547e-02 1.000129667643848e+00 1.049863866626054e+00 1.000108522898703e+00 1.000129529592845e+00 1.049806904127288e+00 1.000022077762413e+00 
-1.409730275497597e-02 1.000136150429825e+00 1.049857061509821e+00 1.000113946186203e+00 1.000135998090498e+00 1.049797253016876e+00 1.000023179188665e+00 
-1.398206699010585e-02 1.000142633394560e+00 1.049850256294165e+00 1.000119369398697e+00 1.000142466065800e+00 1.049787601906464e+00 1.000024280420579e+00 
-1.387195012417966e-02 1.000149116538060e+00 1.049843450979085e+00 1.000124792536179e+00 1.000148933516116e+00 1.049777950796052e+00 1.000025381458146e+00 
-1.376651648836129e-02 1.000155599860332e+00 1.049836645564578e+00 1.000130215598645e+00 1.000155400441476e+00 1.049768299685640e+00 1.000026482301360e+00 
-1.366538366978233e-02 1.000162083361383e+00 1.049829840050645e+00 1.000135638586087e+00 1.000161866844572e+00 1.049758648575227e+00 1.000027582950213e+00 
-1.356821434471607e-02 1.000168567041218e+00 1.049823034437282e+00 1.000141061498501e+00 1.000168332722768e+00 1.049748997464815e+00 1.000028683404697e+00 
-1.347470935884222e-02 1.000175050899845e+00 1.049816228724490e+00 1.000146484335881e+00 1.000174798076095e+00 1.049739346354403e+00 1.000029783664806e+00 
-1.338460218884254e-02 1.000181534937270e+00 1.049809422912266e+00 1.000151907098220e+00 1.000181262904580e+00 1.049729695243991e+00 1.000030883730533e+00 
-1.329765438850012e-02 1.000188019153499e+00 1.049802617000610e+00 1.000157329785514e+00 1.000187727208254e+00 1.049720044133579e+00 1.000031983601870e+00 
-1.321365174784861e-02 1.000194503548540e+00 1.049795810989520e+00 1.000162752397756e+00 1.000194190989807e+00 1.049710393023167e+00 1.000033083278810e+00 
-1.313240114784332e-02 1.000200988122398e+00 1.049789004878995e+00 1.000168174934941e+00 1.000200654246605e+00 1.049700741912754e+00 1.000034182761345e+00 
-1.305372785858619e-02 1.000207472875080e+00 1.049782198669034e+00 1.000173597397064e+00 1.000207116976016e+00 1.049691090802342e+00 1.000035282049470e+00 
