Volume averages, fluxes, etc
it t rho p pmin pmax Hpflx_R=3.0 Opflx_R=3.0 O2pflx_R=3.0 CO2pflx_R=3.0
     41  0.00000E+00  4.81823E+02  2.03138E-02  5.05899E-05  6.58168E+01 -1.17220E+26  6.64744E+19  8.75553E+23  8.67579E+22
     42  0.00000E+00  4.82027E+02  2.03384E-02  3.16728E-05  6.57815E+01 -1.23183E+26  7.44274E+19  9.43910E+23  9.54730E+22
     43  0.00000E+00  4.82228E+02  2.03639E-02  2.31074E-05  6.57463E+01 -1.28621E+26  8.36917E+19  1.01696E+24  1.04697E+23
     44  0.00000E+00  4.82430E+02  2.03911E-02  4.43304E-05  6.57111E+01 -1.33733E+26  9.42948E+19  1.09454E+24  1.14324E+23
     45  0.00000E+00  4.82641E+02  2.04194E-02  8.15112E-05  6.56759E+01 -1.38580E+26  1.06286E+20  1.17645E+24  1.24337E+23
     46  0.00000E+00  4.82880E+02  2.04488E-02  3.70820E-04  6.56408E+01 -1.43132E+26  1.19656E+20  1.26215E+24  1.34701E+23
     47  0.00000E+00  4.83139E+02  2.04788E-02  1.38196E-03  6.56057E+01 -1.47010E+26  1.34466E+20  1.35121E+24  1.45420E+23
     48  0.00000E+00  4.83416E+02  2.05095E-02  3.97551E-03  6.55707E+01 -1.49731E+26  1.50925E+20  1.44375E+24  1.56553E+23
     49  0.00000E+00  4.83705E+02  2.05409E-02  3.99140E-03  6.55356E+01 -1.51267E+26  1.69182E+20  1.54027E+24  1.68180E+23
     50  0.00000E+00  4.84009E+02  2.05741E-02  4.03425E-03  6.55007E+01 -1.52143E+26  1.89288E+20  1.64070E+24  1.80305E+23
