Volume averages, fluxes, etc
it rho mx my mz bx by bz p pmin pmax jin jout jinmax joutmax rhosi_integrated
     25  1.99986E-001 -1.33642E-016 -8.45337E-025 -1.17706E-034  5.55250E-018 -5.78403E-020 -1.00234E+000  5.64052E-004  5.47361E-004  2.47465E-002 -1.73700E-006  2.53345E-006 -6.40249E-006  1.13449E-005  7.17749E+000
     26  1.99983E-001 -1.33626E-016 -9.87789E-025 -1.34323E-034  4.16438E-018 -1.15675E-019 -1.00233E+000  5.65265E-004  5.47403E-004  2.54722E-002 -1.72579E-006  2.52835E-006 -6.42872E-006  1.11372E-005  7.17749E+000
     27  1.99979E-001 -1.33609E-016 -1.15187E-024 -1.52720E-034  2.77625E-018 -8.67578E-019 -1.00230E+000  5.66549E-004  5.47440E-004  2.61082E-002 -1.71458E-006  2.52316E-006 -6.45400E-006  1.09325E-005  7.17749E+000
     28  1.99976E-001 -1.33592E-016 -1.33988E-024 -1.71118E-034  2.77625E-018 -1.15675E-019 -1.00226E+000  5.67905E-004  5.47573E-004  2.66566E-002 -1.70350E-006  2.51805E-006 -6.47747E-006  1.07323E-005  7.17749E+000
     29  1.99971E-001 -1.33573E-016 -1.55501E-024 -1.76459E-034 -1.38813E-018  3.41248E-018 -1.00221E+000  5.69336E-004  5.47787E-004  2.72066E-002 -1.69267E-006  2.51314E-006 -6.49838E-006  1.05384E-005  7.17749E+000
     30  1.99967E-001 -1.33554E-016 -1.80102E-024 -1.70525E-034 -5.55250E-018 -3.52816E-018 -1.00215E+000  5.70841E-004  5.48023E-004  2.80802E-002 -1.68219E-006  2.50853E-006 -6.51618E-006  1.03510E-005  7.17749E+000
     31  1.99961E-001 -1.33533E-016 -2.08187E-024 -1.81998E-034 -1.11050E-017  3.41248E-018 -1.00208E+000  5.72422E-004  5.48410E-004  2.88796E-002 -1.67213E-006  2.50431E-006 -6.53054E-006  1.01707E-005  7.17749E+000
     32  1.99956E-001 -1.33511E-016 -2.40221E-024 -1.99407E-034 -5.55250E-018  6.36228E-019 -1.00200E+000  5.74080E-004  5.48793E-004  2.96042E-002 -1.66254E-006  2.50052E-006 -6.54124E-006  9.99805E-006  7.17749E+000
     33  1.99950E-001 -1.33489E-016 -2.76720E-024 -2.12859E-034  1.11050E-017  5.78382E-019 -1.00191E+000  5.75816E-004  5.49346E-004  3.02538E-002 -1.65853E-006  2.50228E-006 -6.54820E-006  9.83341E-006  7.17749E+000
     34  1.99943E-001 -1.33466E-016 -3.18221E-024 -2.27894E-034  8.32875E-018 -4.10653E-018 -1.00181E+000  5.77631E-004  5.49888E-004  3.08287E-002 -1.66497E-006  2.51448E-006 -6.55145E-006  9.67698E-006  7.17749E+000
     35  1.99936E-001 -1.33442E-016 -3.65439E-024 -2.46885E-034  0.00000E+000 -6.59360E-018 -1.00170E+000  5.79525E-004  5.50125E-004  3.13295E-002 -1.67133E-006  2.52656E-006 -6.55107E-006  9.52887E-006  7.17749E+000
     36  1.99928E-001 -1.33416E-016 -4.19073E-024 -2.51633E-034  0.00000E+000 -2.08219E-018 -1.00159E+000  5.81499E-004  5.50130E-004  3.22511E-002 -1.67763E-006  2.53857E-006 -6.54725E-006  9.38908E-006  7.17749E+000
     37  1.99920E-001 -1.33390E-016 -4.80059E-024 -2.72206E-034 -1.11050E-017  4.68494E-018 -1.00147E+000  5.83554E-004  5.49956E-004  3.31177E-002 -1.68389E-006  2.55052E-006 -6.54018E-006  9.25754E-006  7.17749E+000
     38  1.99912E-001 -1.33364E-016 -5.49347E-024 -2.56380E-034  0.00000E+000 -6.18872E-018 -1.00135E+000  5.85690E-004  5.49775E-004  3.39213E-002 -1.69013E-006  2.56244E-006 -6.53012E-006  9.13414E-006  7.17749E+000
     39  1.99903E-001 -1.33336E-016 -6.28042E-024 -2.69041E-034 -1.38813E-017  4.97411E-018 -1.00122E+000  5.87907E-004  5.49586E-004  3.46599E-002 -1.69637E-006  2.57435E-006 -6.51734E-006  9.01868E-006  7.17749E+000
     40  1.99894E-001 -1.33308E-016 -7.17403E-024 -2.65876E-034  2.77625E-018 -7.92390E-018 -1.00108E+000  5.90206E-004  5.49391E-004  3.53320E-002 -1.70295E-006  2.58658E-006 -6.50214E-006  8.91095E-006  7.17749E+000
     41  1.99884E-001 -1.33279E-016 -8.18814E-024 -2.65876E-034  2.77625E-018 -2.77625E-018 -1.00094E+000  5.92586E-004  5.49185E-004  3.61072E-002 -1.70976E-006  2.59905E-006 -6.48480E-006  8.81070E-006  7.17749E+000
     42  1.99875E-001 -1.33250E-016 -9.33705E-024 -2.72206E-034  5.55250E-018  0.00000E+000 -1.00079E+000  5.95047E-004  5.48944E-004  3.71772E-002 -1.71683E-006  2.61175E-006 -6.46563E-006  8.71766E-006  7.17749E+000
     43  1.99865E-001 -1.33220E-016 -1.06382E-023 -2.91198E-034  5.55250E-018 -3.12328E-018 -1.00064E+000  5.97591E-004  5.48755E-004  3.81937E-002 -1.72394E-006  2.62450E-006 -6.44492E-006  8.63154E-006  7.17749E+000
     44  1.99854E-001 -1.33189E-016 -1.21075E-023 -2.46885E-034 -2.77625E-018 -9.25403E-019 -1.00049E+000  6.00215E-004  5.48466E-004  3.91526E-002 -1.73111E-006  2.63730E-006 -6.42295E-006  8.55204E-006  7.17749E+000
     45  1.99844E-001 -1.33158E-016 -1.37629E-023 -2.08903E-034 -1.11050E-017  2.37135E-018 -1.00032E+000  6.02921E-004  5.48263E-004  4.00500E-002 -1.73872E-006  2.65054E-006 -6.39999E-006  8.47887E-006  7.17749E+000
     46  1.99833E-001 -1.33126E-016 -1.56228E-023 -1.77251E-034  1.11050E-017  8.67578E-019 -1.00016E+000  6.05707E-004  5.47959E-004  4.10152E-002 -1.74642E-006  2.66386E-006 -6.37630E-006  8.41170E-006  7.17749E+000
     47  1.99822E-001 -1.33094E-016 -1.77067E-023 -2.02572E-034 -1.11050E-017  1.15674E-018 -9.99991E-001  6.08575E-004  5.47740E-004  4.21422E-002 -1.75419E-006  2.67726E-006 -6.35212E-006  8.35024E-006  7.17749E+000
     48  1.99811E-001 -1.33062E-016 -2.00341E-023 -9.49557E-035 -5.55250E-018  1.27248E-018 -9.99821E-001  6.11523E-004  5.47413E-004  4.34170E-002 -1.76205E-006  2.69074E-006 -6.32768E-006  8.29419E-006  7.17749E+000
     49  1.99801E-001 -1.33029E-016 -2.26238E-023 -2.53215E-035  0.00000E+000  2.48709E-018 -9.99648E-001  6.14552E-004  5.47205E-004  4.46377E-002 -1.76998E-006  2.70430E-006 -6.30318E-006  8.24326E-006  7.17749E+000
     50  1.99790E-001 -1.32996E-016 -2.54982E-023 -2.53215E-035 -2.77625E-018 -1.73516E-019 -9.99475E-001  6.17662E-004  5.46855E-004  4.57974E-002 -1.77800E-006  2.71795E-006 -6.27882E-006  8.19715E-006  7.17749E+000
