Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz e NeuRho NeuMx NeuMy NeuMz NeuE Ne2Rho Ne2Mx Ne2My Ne2Mz Ne2E Ne3Rho Ne3Mx Ne3My Ne3Mz Ne3E Ne4Rho Ne4Mx Ne4My Ne4Mz Ne4E Pmin Pmax
     11  0.00000E+00  0.00000E+00  4.11129E-03  1.87664E-20  1.78718E-22 -9.12130E-22  2.13125E-02 -5.39367E-03 -2.01434E-02  9.60021E-14  1.80000E-01  7.91809E-19 -7.11106E-40 -6.92456E-20  1.29221E-12  1.53639E-04 -9.30858E-23  1.07819E-27  3.87200E-28  1.40854E-14  6.31769E-07 -1.36135E-25 -2.19446E-30  1.71202E-30  8.93036E-16  1.80000E-01  7.91808E-19 -5.61299E-31 -6.92456E-20  1.29221E-12  1.06120E-19  1.08009E-13
     12  0.00000E+00  0.00000E+00  4.16615E-03  1.91192E-20  2.06573E-22 -8.29486E-22  2.15144E-02 -5.45310E-03 -2.03639E-02  9.76617E-14  1.80000E-01  7.91809E-19 -8.38138E-40 -6.92456E-20  1.29221E-12  1.51419E-04 -9.97793E-23  1.13859E-27  3.37214E-28  1.38743E-14  6.28359E-07 -1.46539E-25 -3.91931E-30  1.83216E-30  8.86245E-16  1.80000E-01  7.91808E-19 -5.86887E-31 -6.92456E-20  1.29221E-12  1.06386E-19  1.68738E-13
     13  0.00000E+00  0.00000E+00  4.22287E-03  1.94844E-20  2.35093E-22 -7.45154E-22  2.16834E-02 -5.51409E-03 -2.05908E-02  9.96894E-14  1.80000E-01  7.91809E-19 -9.69679E-40 -6.92456E-20  1.29221E-12  1.49253E-04 -1.06470E-22  1.13190E-27  1.69579E-28  1.36686E-14  6.24853E-07 -1.59426E-25 -6.38704E-30  1.68878E-30  8.79372E-16  1.80000E-01  7.91808E-19 -6.09114E-31 -6.92456E-20  1.29221E-12  1.06678E-19  2.75113E-13
     14  0.00000E+00  0.00000E+00  4.28315E-03  1.98739E-20  2.65125E-22 -6.56620E-22  2.18193E-02 -5.57861E-03 -2.08309E-02  1.02326E-13  1.80000E-01  7.91809E-19 -1.08440E-39 -6.92456E-20  1.29221E-12  1.47135E-04 -1.13081E-22  6.33115E-28 -6.79115E-28  1.34676E-14  6.21229E-07 -1.75226E-25 -9.91087E-30  6.76432E-31  8.72380E-16  1.80000E-01  7.91808E-19 -6.28359E-31 -6.92456E-20  1.29221E-12  1.06990E-19  4.48746E-13
     15  0.00000E+00  0.00000E+00  4.34595E-03  2.02826E-20  2.96254E-22 -5.65026E-22  2.19482E-02 -5.64545E-03 -2.10796E-02  1.05862E-13  1.80000E-01  7.91809E-19 -1.12870E-39 -6.92456E-20  1.29221E-12  1.45055E-04 -1.19535E-22 -4.51525E-28 -2.00857E-27  1.32705E-14  6.17466E-07 -1.94390E-25 -1.33666E-29 -1.25222E-31  8.65235E-16  1.80000E-01  7.91808E-19 -6.44855E-31 -6.92456E-20  1.29221E-12  1.07347E-19  7.26066E-13
     16  0.00000E+00  0.00000E+00  4.41101E-03  2.07094E-20  3.28342E-22 -4.70745E-22  2.20955E-02 -5.71437E-03 -2.13359E-02  1.10724E-13  1.80000E-01  7.91809E-19 -1.08858E-39 -6.92456E-20  1.29221E-12  1.43010E-04 -1.25793E-22 -1.47067E-27 -3.15388E-27  1.30768E-14  6.13550E-07 -2.17526E-25 -1.59104E-29 -3.41126E-31  8.57916E-16  1.80000E-01  7.91808E-19 -6.58756E-31 -6.92455E-20  1.29221E-12  1.07792E-19  1.15931E-12
     17  0.00000E+00  0.00000E+00  4.47485E-03  2.11304E-20  3.59298E-22 -3.80282E-22  2.22534E-02 -5.78159E-03 -2.15866E-02  1.17390E-13  1.80000E-01  7.91809E-19 -1.00536E-39 -6.92456E-20  1.29221E-12  1.41007E-04 -1.31929E-22 -1.98912E-27 -4.11657E-27  1.28873E-14  6.09474E-07 -2.45472E-25 -1.97545E-29 -6.05812E-31  8.50419E-16  1.80000E-01  7.91808E-19 -6.70190E-31 -6.92455E-20  1.29221E-12  1.08373E-19  1.81644E-12
     18  0.00000E+00  0.00000E+00  4.53621E-03  2.15355E-20  3.88223E-22 -2.96469E-22  2.24248E-02 -5.84595E-03 -2.18275E-02  1.26589E-13  1.80000E-01  7.91809E-19 -9.12678E-40 -6.92456E-20  1.29221E-12  1.39045E-04 -1.37951E-22 -2.39442E-27 -5.06810E-27  1.27018E-14  6.05235E-07 -2.78935E-25 -2.46581E-29 -1.09179E-30  8.42744E-16  1.80000E-01  7.91808E-19 -6.79281E-31 -6.92455E-20  1.29221E-12  1.09120E-19  2.78319E-12
     19  0.00000E+00  0.00000E+00  4.59713E-03  2.19391E-20  4.15416E-22 -2.18784E-22  2.26061E-02 -5.91070E-03 -2.20688E-02  1.39661E-13  1.80000E-01  7.91809E-19 -8.86545E-40 -6.92456E-20  1.29221E-12  1.37124E-04 -1.43852E-22 -2.92794E-27 -6.15063E-27  1.25203E-14  6.00832E-07 -3.18359E-25 -2.96471E-29 -1.36060E-30  8.34891E-16  1.80000E-01  7.91808E-19 -6.86157E-31 -6.92455E-20  1.29221E-12  1.10045E-19  4.16250E-12
     20  0.00000E+00  0.00000E+00  4.66008E-03  2.23636E-20  4.41325E-22 -1.46615E-22  2.27993E-02 -5.97896E-03 -2.23224E-02  1.58321E-13  1.80000E-01  7.91809E-19 -8.57753E-40 -6.92456E-20  1.29221E-12  1.35241E-04 -1.49630E-22 -3.99313E-27 -8.13924E-27  1.23428E-14  5.96262E-07 -3.63989E-25 -3.21707E-29 -1.23592E-30  8.26860E-16  1.80000E-01  7.91808E-19 -6.90950E-31 -6.92455E-20  1.29221E-12  1.11136E-19  6.07116E-12
     21  0.00000E+00  0.00000E+00  4.72545E-03  2.28219E-20  4.65726E-22 -8.07267E-23  2.30050E-02 -6.05105E-03 -2.25905E-02  1.84479E-13  1.80000E-01  7.91809E-19 -8.18145E-40 -6.92456E-20  1.29221E-12  1.33398E-04 -1.55278E-22 -4.36188E-27 -1.03771E-26  1.21690E-14  5.91524E-07 -4.15917E-25 -3.36670E-29 -1.14523E-30  8.18652E-16  1.80000E-01  7.91807E-19 -6.93801E-31 -6.92455E-20  1.29221E-12  1.12373E-19  8.63710E-12
     22  0.00000E+00  0.00000E+00  4.79121E-03  2.33110E-20  4.87763E-22 -2.38560E-23  2.32257E-02 -6.12465E-03 -2.28646E-02  2.19916E-13  1.80000E-01  7.91809E-19 -7.64998E-40 -6.92456E-20  1.29221E-12  1.31591E-04 -1.60791E-22 -4.06515E-27 -1.13497E-26  1.19988E-14  5.86619E-07 -4.74156E-25 -3.12339E-29  7.21299E-31  8.10267E-16  1.80000E-01  7.91807E-19 -6.94856E-31 -6.92455E-20  1.29221E-12  1.13734E-19  1.19970E-11
     23  0.00000E+00  0.00000E+00  4.85599E-03  2.38314E-20  5.07257E-22  2.37336E-23  2.34592E-02 -6.19829E-03 -2.31388E-02  2.66373E-13  1.80000E-01  7.91809E-19 -7.53708E-40 -6.92456E-20  1.29221E-12  1.29819E-04 -1.66164E-22 -4.50372E-27 -1.20455E-26  1.18321E-14  5.81548E-07 -5.38714E-25 -2.79752E-29  1.53809E-30  8.01711E-16  1.80000E-01  7.91807E-19 -6.94264E-31 -6.92455E-20  1.29221E-12  1.01531E-19  1.62406E-11
     24  0.00000E+00  0.00000E+00  4.92010E-03  2.44014E-20  5.24505E-22  6.33898E-23  2.36894E-02 -6.27250E-03 -2.34146E-02  3.26680E-13  1.80000E-01  7.91809E-19 -8.74198E-40 -6.92456E-20  1.29221E-12  1.28082E-04 -1.71399E-22 -3.65476E-27 -1.42208E-26  1.16688E-14  5.76316E-07 -6.09573E-25 -2.56380E-29  1.41031E-31  7.92991E-16  1.80000E-01  7.91807E-19 -6.92176E-31 -6.92455E-20  1.29221E-12  8.78124E-20  2.14184E-11
     25  0.00000E+00  0.00000E+00  4.98354E-03  2.50387E-20  5.39987E-22  9.67323E-23  2.39117E-02 -6.34698E-03 -2.36905E-02  4.03061E-13  1.80000E-01  7.91809E-19 -1.12904E-39 -6.92456E-20  1.29221E-12  1.26379E-04 -1.76500E-22 -2.95726E-27 -1.55752E-26  1.15088E-14  5.70927E-07 -6.86673E-25 -2.36018E-29 -1.12090E-30  7.84114E-16  1.80000E-01  7.91807E-19 -6.88742E-31 -6.92455E-20  1.29221E-12  7.41947E-20  2.76190E-11
     26  0.00000E+00  0.00000E+00  5.04599E-03  2.57539E-20  5.54200E-22  1.25900E-22  2.41276E-02 -6.42092E-03 -2.39636E-02  4.97280E-13  1.80000E-01  7.91809E-19 -1.52382E-39 -6.92456E-20  1.29221E-12  1.24709E-04 -1.81459E-22 -2.02068E-27 -1.66599E-26  1.13521E-14  5.65385E-07 -7.69861E-25 -2.00885E-29  1.46845E-31  7.75087E-16  1.80000E-01  7.91807E-19 -6.84115E-31 -6.92455E-20  1.29221E-12  6.89456E-20  3.49663E-11
     27  0.00000E+00  0.00000E+00  5.10535E-03  2.65225E-20  5.66944E-22  1.49750E-22  2.43366E-02 -6.49144E-03 -2.42254E-02  6.09329E-13  1.80000E-01  7.91809E-19 -1.97070E-39 -6.92456E-20  1.29221E-12  1.23070E-04 -1.86281E-22 -8.45566E-28 -1.63116E-26  1.11984E-14  5.59696E-07 -8.58943E-25 -1.53960E-29  1.75618E-30  7.65917E-16  1.80000E-01  7.91807E-19 -6.78434E-31 -6.92455E-20  1.29221E-12  6.02965E-20  4.35430E-11
     28  0.00000E+00  0.00000E+00  5.16269E-03  2.73566E-20  5.78566E-22  1.69493E-22  2.45403E-02 -6.56007E-03 -2.44783E-02  7.40645E-13  1.80000E-01  7.91809E-19 -2.38910E-39 -6.92456E-20  1.29221E-12  1.21463E-04 -1.90973E-22  3.08527E-29 -1.40873E-26  1.10478E-14  5.53864E-07 -9.53625E-25 -1.29489E-29  7.24456E-30  7.56610E-16  1.80000E-01  7.91807E-19 -6.71858E-31 -6.92455E-20  1.29221E-12  5.84813E-20  5.28358E-11
