Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz E Pmin Pmax
      1  0.00000E+00  0.00000E+000  2.64095E-003  3.51750E-036  6.72636E-036  1.05322E-035  1.26638E-018  2.19012E-019 -2.31192E-005  3.59561E-012  3.78502E-016  2.29648E-010
      2  0.00000E+00  0.00000E+000  2.66193E-003 -1.27509E-035  6.72636E-036  1.07407E-035  4.08188E-019  1.21825E-018 -2.34734E-005  3.62468E-012  1.82269E-015  2.64797E-010
      3  0.00000E+00  0.00000E+000  2.69562E-003 -7.92146E-036 -4.03582E-035  1.09593E-035  1.34273E-018  2.58708E-018 -2.40092E-005  3.67131E-012  4.80036E-015  2.72364E-010
      4  0.00000E+00  0.00000E+000  2.73447E-003 -8.29834E-036 -6.72636E-036  1.13178E-035 -7.12858E-019 -1.47149E-019 -2.45681E-005  3.72506E-012  6.93770E-015  2.67274E-010
      5  0.00000E+00  0.00000E+000  2.77783E-003 -2.23336E-036  0.00000E+000  1.19343E-035  1.49501E-018  1.71103E-020 -2.51490E-005  3.78503E-012  8.52904E-015  2.55688E-010
      6  0.00000E+00  0.00000E+000  2.82512E-003  1.85648E-036 -2.01791E-035  1.22873E-035 -6.80883E-019 -1.21141E-018 -2.57494E-005  3.85041E-012  9.74682E-015  2.40595E-010
      7  0.00000E+00  0.00000E+000  2.87580E-003 -1.68410E-035  0.00000E+000  1.26831E-035  1.53918E-018  1.36882E-020 -2.63654E-005  3.92046E-012  1.06954E-014  2.23777E-010
      8  0.00000E+00  0.00000E+000  2.92954E-003 -1.88440E-037  1.34527E-035  1.31679E-035  3.18626E-019  5.61218E-019 -2.69962E-005  3.99473E-012  1.14495E-014  2.06446E-010
      9  0.00000E+00  0.00000E+000  2.98619E-003 -1.88998E-035 -5.38109E-035  1.36470E-035  3.59851E-019  6.15971E-020 -2.76413E-005  4.07304E-012  1.20515E-014  1.89478E-010
     10  0.00000E+00  0.00000E+000  3.04565E-003  7.25843E-037  0.00000E+000  1.40107E-035 -5.28067E-019 -5.33841E-019 -2.83016E-005  4.15522E-012  1.25424E-014  1.72633E-010
     11  0.00000E+00  0.00000E+000  3.10781E-003 -2.91446E-035  2.69055E-035  1.46216E-035  1.51132E-019  1.74525E-019 -2.89790E-005  4.24115E-012  1.29533E-014  1.56074E-010
     12  0.00000E+00  0.00000E+000  3.17263E-003  1.45448E-035 -2.69055E-035  1.50348E-035  1.31027E-019 -1.01122E-018 -2.96746E-005  4.33074E-012  1.33050E-014  1.40370E-010
     13  0.00000E+00  0.00000E+000  3.24008E-003 -1.87783E-036  1.34527E-035  1.53108E-035 -8.22497E-019  1.63746E-018 -3.03887E-005  4.42397E-012  1.36091E-014  1.25864E-010
     14  0.00000E+00  0.00000E+000  3.31012E-003 -1.45793E-035 -4.03582E-035  1.56462E-035 -1.10503E-018  2.96693E-018 -3.11208E-005  4.52080E-012  1.38724E-014  1.17884E-010
     15  0.00000E+00  0.00000E+000  3.38275E-003 -2.52296E-035 -4.03582E-035  1.63160E-035 -1.85802E-018  2.10970E-018 -3.18692E-005  4.62122E-012  1.41000E-014  1.13162E-010
     16  0.00000E+00  0.00000E+000  3.45791E-003  2.25923E-035 -6.72636E-035  1.65419E-035 -1.37813E-018  3.50932E-018 -3.26321E-005  4.72517E-012  1.42978E-014  1.07894E-010
