Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz E SWHRho SWHMx SWHMy SWHMz SWHE Pu3Rho Pu3Mx Pu3My Pu3Mz Pu3E NeuRho NeuMx NeuMy NeuMz NeuE Ne2Rho Ne2Mx Ne2My Ne2Mz Ne2E Ne3Rho Ne3Mx Ne3My Ne3Mz Ne3E Ne4Rho Ne4Mx Ne4My Ne4Mz Ne4E Pmin
     10  0.00000E+00  0.00000E+000  3.98815E-003  1.75420E-020  2.00921E-022 -1.52936E-021  2.71054E-002 -4.84264E-003 -8.59819E-003  9.25839E-014  3.98741E-003  1.75404E-020  2.00918E-022 -1.52934E-021  4.35179E-014  7.39084E-007  1.63203E-024  2.64157E-027 -1.91268E-026  1.06115E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.34247E-008 -1.51264E-027 -1.30310E-032  1.10223E-031  4.94056E-018  6.43588E-004 -4.57428E-021 -2.04266E-025  4.92354E-025  9.27400E-013  1.80000E-001  7.91808E-019  9.03203E-021 -6.92456E-020  1.29235E-012  7.02721E-018
     11  0.00000E+00  0.00000E+000  4.12781E-003  1.81827E-020  2.11965E-022 -1.57581E-021  2.78714E-002 -5.04874E-003 -8.89806E-003  9.43354E-014  4.12707E-003  1.81811E-020  2.11962E-022 -1.57579E-021  4.48225E-014  7.43017E-007  1.65537E-024  3.19120E-027 -2.05463E-026  1.06606E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.34350E-008 -1.44973E-027 -7.67387E-031  1.84588E-031  4.96505E-018  6.07533E-004 -4.56600E-021 -2.61706E-024  1.15585E-024  8.74219E-013  1.80000E-001  7.91808E-019  9.03203E-021 -6.92456E-020  1.29235E-012  7.66966E-018
     12  0.00000E+00  0.00000E+000  4.24007E-003  1.86975E-020  2.23157E-022 -1.60908E-021  2.85684E-002 -5.19472E-003 -9.13871E-003  9.59199E-014  4.23933E-003  1.86958E-020  2.23154E-022 -1.60906E-021  4.58584E-014  7.45417E-007  1.66062E-024  3.13364E-027 -2.17403E-026  1.07015E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.34461E-008 -1.38988E-027 -8.58577E-031  2.11589E-031  4.98997E-018  5.76492E-004 -4.66029E-021 -4.94590E-024  1.58523E-024  8.28560E-013  1.80000E-001  7.91808E-019  9.03203E-021 -6.92456E-020  1.29235E-012  8.30876E-018
     13  0.00000E+00  0.00000E+000  4.31577E-003  1.90439E-020  2.32910E-022 -1.62754E-021  2.91446E-002 -5.28304E-003 -9.30127E-003  9.71485E-014  4.31502E-003  1.90423E-020  2.32906E-022 -1.62751E-021  4.65462E-014  7.46391E-007  1.66143E-024  3.38508E-027 -2.18289E-026  1.07307E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.34577E-008 -1.32802E-027 -9.69608E-031  2.37295E-031  5.01529E-018  5.49274E-004 -4.81200E-021 -6.66056E-024  1.85568E-024  7.88630E-013  1.80000E-001  7.91808E-019  9.03203E-021 -6.92456E-020  1.29235E-012  8.92699E-018
     14  0.00000E+00  0.00000E+000  4.36714E-003  1.92789E-020  2.41329E-022 -1.63681E-021  2.96035E-002 -5.33312E-003 -9.41198E-003  9.80844E-014  4.36639E-003  1.92772E-020  2.41325E-022 -1.63679E-021  4.70062E-014  7.46692E-007  1.66368E-024  3.81049E-027 -2.18188E-026  1.07521E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.34698E-008 -1.26411E-027 -1.07091E-030  2.55351E-031  5.04102E-018  5.24953E-004 -4.98832E-021 -7.84991E-024  1.99305E-024  7.53038E-013  1.80000E-001  7.91808E-019  9.03203E-021 -6.92456E-020  1.29235E-012  9.51835E-018
     15  0.00000E+00  0.00000E+000  4.41294E-003  1.94888E-020  2.49442E-022 -1.64396E-021  2.99781E-002 -5.37526E-003 -9.51028E-003  9.88941E-014  4.41219E-003  1.94871E-020  2.49437E-022 -1.64394E-021  4.74128E-014  7.46980E-007  1.67977E-024  5.06679E-027 -2.22158E-026  1.07695E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.34823E-008 -1.19761E-027 -1.13777E-030  2.53131E-031  5.06717E-018  5.02838E-004 -5.16728E-021 -8.41695E-024  1.94358E-024  7.20747E-013  1.80000E-001  7.91808E-019  9.03203E-021 -6.92456E-020  1.29235E-012  1.01491E-017
     16  0.00000E+00  0.00000E+000  4.47337E-003  1.97665E-020  2.58886E-022 -1.65561E-021  3.03573E-002 -5.44370E-003 -9.63937E-003  9.97977E-014  4.47263E-003  1.97648E-020  2.58875E-022 -1.65558E-021  4.79551E-014  7.47873E-007  1.75020E-024  1.00441E-026 -2.48586E-026  1.07816E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.34953E-008 -1.12797E-027 -1.12101E-030  2.09543E-031  5.09374E-018  4.82365E-004 -5.33157E-021 -8.03889E-024  1.51782E-024  6.90909E-013  1.80000E-001  7.91808E-019  9.03203E-021 -6.92456E-020  1.29235E-012  1.08083E-017
     17  0.00000E+00  0.00000E+000  4.55357E-003  2.01355E-020  2.70222E-022 -1.67311E-021  3.08799E-002 -5.54990E-003 -9.81011E-003  1.00905E-013  4.55282E-003  2.01336E-020  2.70197E-022 -1.67309E-021  4.86894E-014  7.49382E-007  1.91566E-024  2.47828E-026 -2.58644E-026  1.07859E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.35086E-008 -1.05434E-027 -8.83037E-031  1.58219E-031  5.12072E-018  4.62914E-004 -5.46081E-021 -5.61770E-024  8.11600E-025  6.62600E-013  1.80000E-001  7.91808E-019  9.03203E-021 -6.92456E-020  1.29235E-012  1.14566E-017
     18  0.00000E+00  0.00000E+000  4.66463E-003  2.06468E-020  2.84941E-022 -1.69910E-021  3.16424E-002 -5.71293E-003 -1.00470E-002  1.02428E-013  4.66388E-003  2.06446E-020  2.84928E-022 -1.69908E-021  4.97274E-014  7.51963E-007  2.19718E-024  1.35265E-026 -2.44922E-026  1.07922E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.35222E-008 -9.74091E-028 -7.33618E-031  1.59016E-031  5.14813E-018  4.43781E-004 -5.52504E-021 -2.29350E-024  5.90082E-025  6.34779E-013  1.80000E-001  7.91808E-019  9.03203E-021 -6.92456E-020  1.29235E-012  1.28334E-017
     19  0.00000E+00  0.00000E+000  4.78282E-003  2.11918E-020  3.01001E-022 -1.72579E-021  3.24167E-002 -5.88585E-003 -1.02997E-002  1.04176E-013  4.78206E-003  2.11895E-020  3.00995E-022 -1.72577E-021  5.08420E-014  7.54989E-007  2.29213E-024  6.55997E-027 -2.55320E-026  1.08311E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.35361E-008 -8.89254E-028 -7.25679E-031  1.71582E-031  5.17596E-018  4.25065E-004 -5.53389E-021 -1.49110E-025  6.51135E-025  6.07586E-013  1.80000E-001  7.91808E-019  9.03203E-021 -6.92456E-020  1.29235E-012  1.34183E-017
     20  0.00000E+00  0.00000E+000  4.88661E-003  2.16721E-020  3.16309E-022 -1.74667E-021  3.30716E-002 -6.02922E-003 -1.05212E-002  1.05785E-013  4.88585E-003  2.16697E-020  3.16302E-022 -1.74665E-021  5.18240E-014  7.57570E-007  2.32839E-024  7.25972E-027 -2.64551E-026  1.08717E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.35505E-008 -8.00091E-028 -6.86766E-031  1.76491E-031  5.20423E-018  4.07112E-004 -5.51290E-021  1.25555E-025  7.52351E-025  5.81530E-013  1.80000E-001  7.91808E-019  9.03203E-021 -6.92456E-020  1.29235E-012  1.40631E-017
     21  0.00000E+00  0.00000E+000  4.97747E-003  2.20941E-020  3.30816E-022 -1.76273E-021  3.36422E-002 -6.14671E-003 -1.07150E-002  1.07229E-013  4.97671E-003  2.20917E-020  3.30807E-022 -1.76270E-021  5.26858E-014  7.59732E-007  2.37988E-024  8.81049E-027 -2.85028E-026  1.09045E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.35653E-008 -7.05672E-028 -6.76293E-031  1.67373E-031  5.23294E-018  3.90188E-004 -5.48366E-021 -4.92039E-025  7.36004E-025  5.56998E-013  1.80000E-001  7.91808E-019  9.03203E-021 -6.92455E-020  1.29235E-012  1.47098E-017
     22  0.00000E+00  0.00000E+000  5.05896E-003  2.24740E-020  3.44719E-022 -1.77542E-021  3.41788E-002 -6.24747E-003 -1.08886E-002  1.08540E-013  5.05820E-003  2.24715E-020  3.44707E-022 -1.77539E-021  5.34566E-014  7.61495E-007  2.45600E-024  1.27050E-026 -2.88255E-026  1.09302E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.35807E-008 -6.05983E-028 -6.26765E-031  1.65388E-031  5.26210E-018  3.74327E-004 -5.45492E-021 -1.22674E-024  8.22361E-025  5.34037E-013  1.80000E-001  7.91808E-019  9.03203E-021 -6.92455E-020  1.29235E-012  1.54069E-017
     23  0.00000E+00  0.00000E+000  5.13557E-003  2.28322E-020  3.58469E-022 -1.78615E-021  3.47147E-002 -6.34284E-003 -1.10505E-002  1.09778E-013  5.13481E-003  2.28297E-020  3.58451E-022 -1.78612E-021  5.41783E-014  7.62974E-007  2.54670E-024  1.82636E-026 -2.98760E-026  1.09521E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.35967E-008 -5.00941E-028 -6.19041E-031  1.70846E-031  5.29171E-018  3.59515E-004 -5.43055E-021 -1.70511E-024  9.37736E-025  5.12624E-013  1.80000E-001  7.91808E-019  9.03203E-021 -6.92455E-020  1.29235E-012  1.71254E-017
     24  0.00000E+00  0.00000E+000  5.21005E-003  2.31812E-020  3.72372E-022 -1.79575E-021  3.52524E-002 -6.43653E-003 -1.12073E-002  1.10990E-013  5.20928E-003  2.31786E-020  3.72355E-022 -1.79572E-021  5.48807E-014  7.64297E-007  2.64134E-024  1.74301E-026 -3.15330E-026  1.09706E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.36132E-008 -3.89982E-028 -5.89453E-031  1.62703E-031  5.32179E-018  3.45627E-004 -5.40808E-021 -2.02349E-024  7.60913E-025  4.92570E-013  1.80000E-001  7.91808E-019  9.03203E-021 -6.92455E-020  1.29235E-012  1.77708E-017
     25  0.00000E+00  0.00000E+000  5.28629E-003  2.35388E-020  3.86879E-022 -1.80523E-021  3.58102E-002 -6.53513E-003 -1.13676E-002  1.12236E-013  5.28552E-003  2.35361E-020  3.86869E-022 -1.80520E-021  5.56055E-014  7.65638E-007  2.77106E-024  1.05894E-026 -2.98527E-026  1.09854E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.36303E-008 -2.73163E-028 -5.87065E-031  1.75911E-031  5.35234E-018  3.32530E-004 -5.38361E-021 -2.10772E-024  6.94658E-025  4.73679E-013  1.80000E-001  7.91808E-019  9.03203E-021 -6.92455E-020  1.29235E-012  1.84255E-017
