Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz E SWHRho SWHMx SWHMy SWHMz SWHE Pu3Rho Pu3Mx Pu3My Pu3Mz Pu3E NeuRho NeuMx NeuMy NeuMz NeuE Ne2Rho Ne2Mx Ne2My Ne2Mz Ne2E Ne3Rho Ne3Mx Ne3My Ne3Mz Ne3E Ne4Rho Ne4Mx Ne4My Ne4Mz Ne4E Pmin
     39  0.00000E+00  0.00000E+000  6.06834E-003  2.75259E-020  7.18875E-022 -1.55686E-021  4.16702E-002 -7.65556E-003 -1.28992E-002  1.29427E-013  6.06754E-003  2.75214E-020  7.18846E-022 -1.55683E-021  6.42983E-014  7.91128E-007  4.46244E-024  2.93450E-026 -2.65181E-026  1.10705E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.37561E-008  2.14737E-027 -2.05743E-031  7.92478E-032  5.92295E-018  1.96281E-004 -4.38256E-021 -1.57091E-025  1.58812E-025  2.80756E-013  1.80000E-001  7.91807E-019  9.03202E-021 -6.92455E-020  1.29235E-012  1.46771E-017
     40  0.00000E+00  0.00000E+000  6.11800E-003  2.77849E-020  7.44764E-022 -1.53215E-021  4.20495E-002 -7.73060E-003 -1.29884E-002  1.30545E-013  6.11721E-003  2.77804E-020  7.44732E-022 -1.53212E-021  6.48806E-014  7.93483E-007  4.54719E-024  3.16028E-026 -2.62006E-026  1.10908E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.37786E-008  2.40654E-027 -2.13714E-031  8.63690E-032  5.97085E-018  1.89219E-004 -4.30018E-021 -1.27624E-025  1.43027E-025  2.70692E-013  1.80000E-001  7.91807E-019  9.03202E-021 -6.92455E-020  1.29235E-012  1.43409E-017
     41  0.00000E+00  0.00000E+000  6.16700E-003  2.80410E-020  7.70830E-022 -1.50677E-021  4.24257E-002 -7.80355E-003 -1.30755E-002  1.31652E-013  6.16620E-003  2.80364E-020  7.70797E-022 -1.50674E-021  6.54554E-014  7.95670E-007  4.63366E-024  3.29622E-026 -2.58752E-026  1.11077E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.38031E-008  2.68074E-027 -2.14157E-031  8.62503E-032  6.01984E-018  1.82454E-004 -4.21900E-021 -7.50888E-026  1.11206E-025  2.61049E-013  1.80000E-001  7.91807E-019  9.03202E-021 -6.92455E-020  1.29235E-012  1.40470E-017
     42  0.00000E+00  0.00000E+000  6.21533E-003  2.82942E-020  7.97055E-022 -1.48074E-021  4.27976E-002 -7.87591E-003 -1.31608E-002  1.32747E-013  6.21453E-003  2.82894E-020  7.97021E-022 -1.48071E-021  6.60249E-014  7.97839E-007  4.73086E-024  3.40151E-026 -2.52574E-026  1.11204E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.38297E-008  2.97113E-027 -2.14753E-031  8.68577E-032  6.06995E-018  1.75960E-004 -4.13825E-021 -1.38134E-026  8.35166E-026  2.51789E-013  1.80000E-001  7.91807E-019  9.03202E-021 -6.92455E-020  1.29235E-012  1.38014E-017
     43  0.00000E+00  0.00000E+000  6.26308E-003  2.85446E-020  8.23461E-022 -1.45409E-021  4.31653E-002 -7.94978E-003 -1.32441E-002  1.33832E-013  6.26228E-003  2.85398E-020  8.23428E-022 -1.45406E-021  6.65927E-014  8.00255E-007  4.83606E-024  3.37027E-026 -2.42794E-026  1.11354E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.38583E-008  3.27911E-027 -2.11446E-031  8.10984E-032  6.12120E-018  1.69720E-004 -4.05774E-021 -3.86349E-026  9.42617E-026  2.42889E-013  1.80000E-001  7.91807E-019  9.03202E-021 -6.92455E-020  1.29234E-012  1.35993E-017
     44  0.00000E+00  0.00000E+000  6.31026E-003  2.87926E-020  8.50043E-022 -1.42684E-021  4.35287E-002 -8.02355E-003 -1.33256E-002  1.34906E-013  6.30945E-003  2.87877E-020  8.50008E-022 -1.42681E-021  6.71563E-014  8.02712E-007  4.91889E-024  3.47600E-026 -2.36836E-026  1.11578E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.38891E-008  3.60602E-027 -2.23097E-031  7.72925E-032  6.17363E-018  1.63735E-004 -3.97811E-021 -7.03104E-026  1.01197E-025  2.34350E-013  1.80000E-001  7.91807E-019  9.03202E-021 -6.92454E-020  1.29234E-012  1.34652E-017
     45  0.00000E+00  0.00000E+000  6.35689E-003  2.90381E-020  8.76789E-022 -1.39901E-021  4.38883E-002 -8.09671E-003 -1.34053E-002  1.35969E-013  6.35609E-003  2.90331E-020  8.76753E-022 -1.39899E-021  6.77150E-014  8.05146E-007  4.99442E-024  3.62547E-026 -2.30891E-026  1.11814E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.39221E-008  3.95341E-027 -2.51821E-031  8.03057E-032  6.22726E-018  1.57999E-004 -3.89971E-021 -4.65916E-026  8.19067E-026  2.26166E-013  1.79999E-001  7.91807E-019  9.03201E-021 -6.92454E-020  1.29234E-012  1.32395E-017
     46  0.00000E+00  0.00000E+000  6.40303E-003  2.92813E-020  9.03701E-022 -1.37063E-021  4.42445E-002 -8.16902E-003 -1.34833E-002  1.37021E-013  6.40222E-003  2.92762E-020  9.03663E-022 -1.37061E-021  6.82689E-014  8.07521E-007  5.06755E-024  3.78406E-026 -2.24459E-026  1.12040E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.39574E-008  4.32266E-027 -2.83005E-031  8.28267E-032  6.28214E-018  1.52497E-004 -3.82245E-021  1.53239E-026  6.75776E-026  2.18316E-013  1.79999E-001  7.91807E-019  9.03201E-021 -6.92454E-020  1.29234E-012  1.30309E-017
     47  0.00000E+00  0.00000E+000  6.44871E-003  2.95225E-020  9.30785E-022 -1.34171E-021  4.45976E-002 -8.24073E-003 -1.35595E-002  1.38063E-013  6.44790E-003  2.95173E-020  9.30746E-022 -1.34169E-021  6.88184E-014  8.09851E-007  5.14284E-024  3.91036E-026 -2.17791E-026  1.12244E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.39949E-008  4.71513E-027 -2.88585E-031  8.27229E-032  6.33829E-018  1.47214E-004 -3.74599E-021 -3.02554E-027  7.28255E-026  2.10776E-013  1.79999E-001  7.91806E-019  9.03201E-021 -6.92454E-020  1.29234E-012  1.28781E-017
     48  0.00000E+00  0.00000E+000  6.49397E-003  2.97618E-020  9.58041E-022 -1.31227E-021  4.49480E-002 -8.31187E-003 -1.36341E-002  1.39096E-013  6.49316E-003  2.97565E-020  9.58001E-022 -1.31225E-021  6.93638E-014  8.12136E-007  5.21869E-024  4.02318E-026 -2.10568E-026  1.12436E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.40347E-008  5.13272E-027 -2.95310E-031  8.10364E-032  6.39574E-018  1.42134E-004 -3.67009E-021 -5.33059E-026  8.09185E-026  2.03527E-013  1.79999E-001  7.91806E-019  9.03201E-021 -6.92454E-020  1.29234E-012  1.26567E-017
     49  0.00000E+00  0.00000E+000  6.53884E-003  2.99993E-020  9.85471E-022 -1.28233E-021  4.52958E-002 -8.38264E-003 -1.37070E-002  1.40123E-013  6.53803E-003  2.99940E-020  9.85430E-022 -1.28231E-021  6.99054E-014  8.14388E-007  5.29241E-024  4.13286E-026 -2.03218E-026  1.12626E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.40768E-008  5.57720E-027 -3.12028E-031  7.99491E-032  6.45452E-018  1.37251E-004 -3.59476E-021 -7.10195E-026  9.39882E-026  1.96556E-013  1.79999E-001  7.91806E-019  9.03201E-021 -6.92454E-020  1.29234E-012  1.23911E-017
     50  0.00000E+00  0.00000E+000  6.58335E-003  3.02351E-020  1.01308E-021 -1.25191E-021  4.56415E-002 -8.45358E-003 -1.37784E-002  1.41143E-013  6.58254E-003  3.02297E-020  1.01303E-021 -1.25189E-021  7.04442E-014  8.16669E-007  5.36260E-024  4.24528E-026 -1.95831E-026  1.12830E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.41212E-008  6.05049E-027 -3.38863E-031  8.12568E-032  6.51466E-018  1.32551E-004 -3.51988E-021 -8.68645E-026  1.11334E-025  1.89847E-013  1.79999E-001  7.91806E-019  9.03201E-021 -6.92454E-020  1.29234E-012  1.21524E-017
     51  0.00000E+00  0.00000E+000  6.61696E-003  3.03294E-020  1.00494E-021 -1.28270E-021  4.59018E-002 -8.49322E-003 -1.38304E-002  1.42107E-013  6.61602E-003  3.03225E-020  1.00491E-021 -1.28264E-021  7.06887E-014  9.39738E-007  6.85975E-024  3.45993E-026 -5.35329E-026  1.40024E-015  1.79887E-001  7.91204E-019  9.02528E-021 -6.91924E-020  1.29138E-012  5.77133E-005  5.54134E-023  3.16537E-024  3.84110E-025  2.10310E-016  1.30388E-004 -3.41352E-021  1.24479E-025  1.40899E-025  1.86749E-013  1.80053E-001  7.92149E-019  9.06639E-021 -6.92124E-020  1.29299E-012  1.94294E-017
     52  0.00000E+00  0.00000E+000  6.65027E-003  3.04172E-020  9.97536E-022 -1.31220E-021  4.61597E-002 -8.53770E-003 -1.38820E-002  1.42184E-013  6.64897E-003  3.04055E-020  9.97497E-022 -1.31209E-021  6.98048E-014  1.29964E-006  1.17016E-023  3.92762E-026 -1.07832E-025  1.92001E-015  1.79771E-001  7.90580E-019  9.01831E-021 -6.91376E-020  1.29037E-012  5.74907E-005  5.57849E-023  3.16718E-024  3.63788E-025  2.40271E-016  1.27727E-004 -3.30747E-021  2.52332E-025  3.87141E-025  1.82858E-013  1.80108E-001  7.92495E-019  9.10070E-021 -6.91800E-020  1.29366E-012  3.71240E-017
     53  0.00000E+00  0.00000E+000  6.68333E-003  3.05090E-020  9.90807E-022 -1.34041E-021  4.64153E-002 -8.58046E-003 -1.39332E-002  1.42389E-013  6.68174E-003  3.04958E-020  9.90772E-022 -1.34027E-021  6.92370E-014  1.59125E-006  1.32387E-023  3.55141E-026 -1.42598E-025  2.25680E-015  1.79651E-001  7.89941E-019  9.01115E-021 -6.90814E-020  1.28935E-012  5.72673E-005  5.61946E-023  3.15619E-024  3.38125E-025  2.71182E-016  1.24820E-004 -3.21142E-021  3.77047E-025  4.47085E-025  1.78518E-013  1.80163E-001  7.92845E-019  9.13491E-021 -6.91484E-020  1.29435E-012  6.11608E-017
     54  0.00000E+00  0.00000E+000  6.71621E-003  3.06034E-020  9.84699E-022 -1.36740E-021  4.66691E-002 -8.62202E-003 -1.39842E-002  1.42746E-013  6.71442E-003  3.05903E-020  9.84650E-022 -1.36722E-021  6.90050E-014  1.79335E-006  1.31139E-023  4.89329E-026 -1.78372E-025  2.41436E-015  1.79529E-001  7.89287E-019  9.00381E-021 -6.90239E-020  1.28829E-012  5.70417E-005  5.66359E-023  3.14812E-024  3.05742E-025  3.02378E-016  1.21960E-004 -3.12655E-021  4.76620E-025  5.17391E-025  1.74197E-013  1.80220E-001  7.93199E-019  9.16900E-021 -6.91176E-020  1.29506E-012  6.87153E-017
     55  0.00000E+00  0.00000E+000  6.74896E-003  3.07009E-020  9.79161E-022 -1.39331E-021  4.69212E-002 -8.66176E-003 -1.40352E-002  1.43218E-013  6.74705E-003  3.06893E-020  9.79106E-022 -1.39310E-021  6.90188E-014  1.91626E-006  1.16309E-023  5.54675E-026 -2.13562E-025  2.44516E-015  1.79404E-001  7.88619E-019  8.99631E-021 -6.89652E-020  1.28722E-012  5.68078E-005  5.70628E-023  3.14676E-024  2.69357E-025  3.31348E-016  1.19128E-004 -3.05201E-021  5.34232E-025  5.85015E-025  1.69903E-013  1.80278E-001  7.93555E-019  9.20292E-021 -6.90876E-020  1.29579E-012  7.00471E-017
     56  0.00000E+00  0.00000E+000  6.78163E-003  3.08024E-020  9.74156E-022 -1.41823E-021  4.71720E-002 -8.69920E-003 -1.40863E-002  1.43793E-013  6.77966E-003  3.07929E-020  9.74094E-022 -1.41798E-021  6.92123E-014  1.97531E-006  9.43258E-024  6.13992E-026 -2.50272E-025  2.40137E-015  1.79276E-001  7.87938E-019  8.98867E-021 -6.89055E-020  1.28612E-012  5.65640E-005  5.74589E-023  3.14547E-024  2.31111E-025  3.57772E-016  1.16343E-004 -2.98549E-021  5.93885E-025  5.99663E-025  1.65689E-013  1.80337E-001  7.93915E-019  9.23665E-021 -6.90585E-020  1.29654E-012  6.30462E-017
     57  0.00000E+00  0.00000E+000  6.81426E-003  3.09077E-020  9.69648E-022 -1.44220E-021  4.74214E-002 -8.73456E-003 -1.41376E-002  1.44445E-013  6.81226E-003  3.09006E-020  9.69580E-022 -1.44192E-021  6.95198E-014  1.99218E-006  7.19561E-024  6.72601E-026 -2.82729E-025  2.32381E-015  1.79146E-001  7.87246E-019  8.98089E-021 -6.88447E-020  1.28501E-012  5.63110E-005  5.78239E-023  3.13396E-024  1.96829E-025  3.82598E-016  1.13618E-004 -2.92474E-021  6.50685E-025  5.99366E-025  1.61586E-013  1.80396E-001  7.94276E-019  9.27017E-021 -6.90302E-020  1.29730E-012  5.13043E-017
     58  0.00000E+00  0.00000E+000  6.84685E-003  3.10165E-020  9.65615E-022 -1.46530E-021  4.76697E-002 -8.76835E-003 -1.41890E-002  1.45149E-013  6.84486E-003  3.10113E-020  9.65549E-022 -1.46499E-021  6.98934E-014  1.98391E-006  5.21038E-024  6.55047E-026 -3.02135E-025  2.23325E-015  1.79014E-001  7.86543E-019  8.97297E-021 -6.87830E-020  1.28388E-012  5.60497E-005  5.81632E-023  3.12355E-024  1.58667E-025  4.05642E-016  1.10959E-004 -2.86824E-021  6.96904E-025  5.96462E-025  1.57604E-013  1.80456E-001  7.94640E-019  9.30347E-021 -6.90028E-020  1.29808E-012  4.01452E-017
     59  0.00000E+00  0.00000E+000  6.87942E-003  3.11282E-020  9.62041E-022 -1.48755E-021  4.79169E-002 -8.80084E-003 -1.42407E-002  1.45889E-013  6.87746E-003  3.11247E-020  9.61977E-022 -1.48723E-021  7.03073E-014  1.96158E-006  3.54902E-024  6.41672E-026 -3.15561E-025  2.13969E-015  1.78880E-001  7.85829E-019  8.96493E-021 -6.87204E-020  1.28273E-012  5.57755E-005  5.84368E-023  3.11172E-024  1.26769E-025  4.27171E-016  1.08370E-004 -2.81495E-021  7.39334E-025  5.93036E-025  1.53743E-013  1.80517E-001  7.95005E-019  9.33652E-021 -6.89761E-020  1.29887E-012  3.09283E-017
     60  0.00000E+00  0.00000E+000  6.91198E-003  3.12425E-020  9.58914E-022 -1.50898E-021  4.81630E-002 -8.83237E-003 -1.42928E-002  1.46653E-013  6.91004E-003  3.12403E-020  9.58850E-022 -1.50866E-021  7.07458E-014  1.93112E-006  2.20057E-024  6.38069E-026 -3.25320E-025  2.04696E-015  1.78744E-001  7.85106E-019  8.95677E-021 -6.86570E-020  1.28156E-012  5.54914E-005  5.86686E-023  3.10498E-024  9.31628E-026  4.47439E-016  1.05849E-004 -2.76407E-021  7.66502E-025  5.90119E-025  1.49998E-013  1.80579E-001  7.95372E-019  9.36932E-021 -6.89503E-020  1.29967E-012  2.37565E-017
     61  0.00000E+00  0.00000E+000  6.94451E-003  3.13590E-020  9.56222E-022 -1.52963E-021  4.84082E-002 -8.86312E-003 -1.43450E-002  1.47433E-013  6.94262E-003  3.13578E-020  9.56160E-022 -1.52930E-021  7.11996E-014  1.89631E-006  1.12490E-024  6.19359E-026 -3.30905E-025  1.95682E-015  1.78606E-001  7.84374E-019  8.94852E-021 -6.85928E-020  1.28039E-012  5.51950E-005  5.88443E-023  3.08879E-024  6.40290E-026  4.65947E-016  1.03394E-004 -2.71500E-021  8.03029E-025  5.85160E-025  1.46361E-013  1.80641E-001  7.95740E-019  9.40186E-021 -6.89253E-020  1.30049E-012  1.83100E-017
     62  0.00000E+00  0.00000E+000  6.97704E-003  3.14774E-020  9.53951E-022 -1.54951E-021  4.86525E-002 -8.89330E-003 -1.43976E-002  1.48225E-013  6.97518E-003  3.14771E-020  9.53889E-022 -1.54918E-021  7.16627E-014  1.85698E-006  2.44146E-025  6.11974E-026 -3.35850E-025  1.86953E-015  1.78466E-001  7.83633E-019  8.94016E-021 -6.85278E-020  1.27919E-012  5.48953E-005  5.90193E-023  3.07154E-024  3.45326E-026  4.83568E-016  1.00999E-004 -2.66731E-021  8.22211E-025  5.80589E-025  1.42824E-013  1.80704E-001  7.96109E-019  9.43414E-021 -6.89011E-020  1.30131E-012  1.43171E-017
     63  0.00000E+00  0.00000E+000  7.00955E-003  3.15975E-020  9.52086E-022 -1.56865E-021  4.88960E-002 -8.92295E-003 -1.44505E-002  1.49025E-013  7.00773E-003  3.15980E-020  9.52027E-022 -1.56831E-021  7.21312E-014  1.81456E-006 -4.81513E-025  5.97114E-026 -3.36730E-025  1.78545E-015  1.78325E-001  7.82884E-019  8.93170E-021 -6.84622E-020  1.27799E-012  5.45917E-005  5.91842E-023  3.05363E-024  6.22747E-027  5.00360E-016  9.86606E-005 -2.62069E-021  8.29364E-025  5.77100E-025  1.39382E-013  1.80767E-001  7.96479E-019  9.46616E-021 -6.88776E-020  1.30215E-012  1.14047E-017
     64  0.00000E+00  0.00000E+000  7.04205E-003  3.17193E-020  9.50614E-022 -1.58707E-021  4.91388E-002 -8.95197E-003 -1.45036E-002  1.49830E-013  7.04027E-003  3.17203E-020  9.50555E-022 -1.58673E-021  7.26014E-014  1.77323E-006 -1.03075E-024  5.90625E-026 -3.37706E-025  1.70536E-015  1.78182E-001  7.82128E-019  8.92315E-021 -6.83959E-020  1.27677E-012  5.42829E-005  5.93256E-023  3.03931E-024 -2.26786E-026  5.16209E-016  9.63795E-005 -2.57484E-021  8.35838E-025  5.71915E-025  1.36029E-013  1.80830E-001  7.96849E-019  9.49792E-021 -6.88548E-020  1.30299E-012  9.28757E-018
     65  0.00000E+00  0.00000E+000  7.07453E-003  3.18424E-020  9.49519E-022 -1.60479E-021  4.93809E-002 -8.98036E-003 -1.45570E-002  1.50637E-013  7.07279E-003  3.18439E-020  9.49461E-022 -1.60445E-021  7.30715E-014  1.73232E-006 -1.45095E-024  5.80277E-026 -3.38372E-025  1.62907E-015  1.78037E-001  7.81364E-019  8.91452E-021 -6.83291E-020  1.27553E-012  5.39693E-005  5.94438E-023  3.02103E-024 -5.03156E-026  5.31176E-016  9.41526E-005 -2.52960E-021  8.32817E-025  5.65770E-025  1.32760E-013  1.80894E-001  7.97220E-019  9.52943E-021 -6.88328E-020  1.30385E-012  7.70562E-018
     66  0.00000E+00  0.00000E+000  7.10698E-003  3.19669E-020  9.48785E-022 -1.62184E-021  4.96223E-002 -9.00814E-003 -1.46106E-002  1.51446E-013  7.10529E-003  3.19687E-020  9.48728E-022 -1.62150E-021  7.35399E-014  1.69116E-006 -1.77852E-024  5.75368E-026 -3.37082E-025  1.55639E-015  1.77891E-001  7.80595E-019  8.90581E-021 -6.82616E-020  1.27429E-012  5.36527E-005  5.95427E-023  3.00162E-024 -7.65277E-026  5.45468E-016  9.19767E-005 -2.48487E-021  8.23536E-025  5.61607E-025  1.29571E-013  1.80959E-001  7.97592E-019  9.56068E-021 -6.88114E-020  1.30471E-012  6.49544E-018
     67  0.00000E+00  0.00000E+000  7.13942E-003  3.20925E-020  9.48400E-022 -1.63823E-021  4.98632E-002 -9.03540E-003 -1.46644E-002  1.52256E-013  7.13777E-003  3.20945E-020  9.48344E-022 -1.63789E-021  7.40054E-014  1.65056E-006 -2.01693E-024  5.62519E-026 -3.37009E-025  1.48740E-015  1.77744E-001  7.79819E-019  8.89703E-021 -6.81937E-020  1.27304E-012  5.33334E-005  5.96205E-023  2.98275E-024 -1.01427E-025  5.59113E-016  8.98504E-005 -2.44055E-021  8.09312E-025  5.55663E-025  1.26458E-013  1.81023E-001  7.97963E-019  9.59167E-021 -6.87907E-020  1.30558E-012  5.54819E-018
     68  0.00000E+00  0.00000E+000  7.17183E-003  3.22191E-020  9.48349E-022 -1.65399E-021  5.01035E-002 -9.06224E-003 -1.47185E-002  1.53064E-013  7.17022E-003  3.22213E-020  9.48295E-022 -1.65366E-021  7.44674E-014  1.60969E-006 -2.20686E-024  5.48790E-026 -3.34871E-025  1.42176E-015  1.77595E-001  7.79038E-019  8.88818E-021 -6.81253E-020  1.27178E-012  5.30096E-005  5.96604E-023  2.96346E-024 -1.24954E-025  5.71950E-016  8.77710E-005 -2.39664E-021  7.87436E-025  5.52777E-025  1.23418E-013  1.81088E-001  7.98334E-019  9.62243E-021 -6.87705E-020  1.30645E-012  4.79493E-018
     69  0.00000E+00  0.00000E+000  7.20422E-003  3.23467E-020  9.48619E-022 -1.66915E-021  5.03433E-002 -9.08874E-003 -1.47727E-002  1.53872E-013  7.20266E-003  3.23490E-020  9.48566E-022 -1.66882E-021  7.49250E-014  1.56972E-006 -2.33650E-024  5.35068E-026 -3.33778E-025  1.35967E-015  1.77446E-001  7.78251E-019  8.87927E-021 -6.80564E-020  1.27051E-012  5.26826E-005  5.96690E-023  2.94590E-024 -1.46584E-025  5.84104E-016  8.57386E-005 -2.35309E-021  7.63905E-025  5.47475E-025  1.20450E-013  1.81154E-001  7.98706E-019  9.65294E-021 -6.87510E-020  1.30733E-012  4.18522E-018
     70  0.00000E+00  0.00000E+000  7.23659E-003  3.24752E-020  9.49197E-022 -1.68372E-021  5.05826E-002 -9.11502E-003 -1.48271E-002  1.54678E-013  7.23506E-003  3.24776E-020  9.49145E-022 -1.68339E-021  7.53778E-014  1.52994E-006 -2.42800E-024  5.21725E-026 -3.31723E-025  1.30081E-015  1.77295E-001  7.77460E-019  8.87030E-021 -6.79872E-020  1.26923E-012  5.23529E-005  5.96507E-023  2.92753E-024 -1.67510E-025  5.95562E-016  8.37508E-005 -2.30988E-021  7.40450E-025  5.41267E-025  1.17550E-013  1.81219E-001  7.99077E-019  9.68321E-021 -6.87320E-020  1.30821E-012  3.69147E-018
     71  0.00000E+00  0.00000E+000  7.26894E-003  3.26045E-020  9.50070E-022 -1.69774E-021  5.08214E-002 -9.14119E-003 -1.48817E-002  1.55481E-013  7.26745E-003  3.26070E-020  9.50018E-022 -1.69741E-021  7.58253E-014  1.49154E-006 -2.47636E-024  5.11791E-026 -3.27702E-025  1.24527E-015  1.77143E-001  7.76664E-019  8.86128E-021 -6.79175E-020  1.26794E-012  5.20195E-005  5.95975E-023  2.90871E-024 -1.86436E-025  6.06255E-016  8.18074E-005 -2.26700E-021  7.15928E-025  5.36979E-025  1.14716E-013  1.81285E-001  7.99447E-019  9.71326E-021 -6.87135E-020  1.30909E-012  3.28795E-018
     72  0.00000E+00  0.00000E+000  7.30127E-003  3.27347E-020  9.51224E-022 -1.71121E-021  5.10599E-002 -9.16731E-003 -1.49364E-002  1.56282E-013  7.29982E-003  3.27371E-020  9.51174E-022 -1.71089E-021  7.62673E-014  1.45472E-006 -2.48394E-024  5.00139E-026 -3.23522E-025  1.19298E-015  1.76990E-001  7.75864E-019  8.85220E-021 -6.78474E-020  1.26665E-012  5.16839E-005  5.95171E-023  2.89003E-024 -2.04079E-025  6.16294E-016  7.99078E-005 -2.22443E-021  6.90620E-025  5.32334E-025  1.11947E-013  1.81351E-001  7.99818E-019  9.74309E-021 -6.86955E-020  1.30998E-012  2.95505E-018
     73  0.00000E+00  0.00000E+000  7.33358E-003  3.28655E-020  9.52647E-022 -1.72417E-021  5.12980E-002 -9.19341E-003 -1.49913E-002  1.57081E-013  7.33216E-003  3.28679E-020  9.52598E-022 -1.72385E-021  7.67037E-014  1.41941E-006 -2.45653E-024  4.90665E-026 -3.19240E-025  1.14376E-015  1.76836E-001  7.75059E-019  8.84309E-021 -6.77771E-020  1.26535E-012  5.13454E-005  5.94019E-023  2.87029E-024 -2.20639E-025  6.25536E-016  7.80511E-005 -2.18219E-021  6.67101E-025  5.28648E-025  1.09241E-013  1.81417E-001  8.00187E-019  9.77270E-021 -6.86780E-020  1.31088E-012  2.67803E-018
     74  0.00000E+00  0.00000E+000  7.36586E-003  3.29970E-020  9.54326E-022 -1.73663E-021  5.15358E-002 -9.21947E-003 -1.50462E-002  1.57876E-013  7.36448E-003  3.29994E-020  9.54278E-022 -1.73631E-021  7.71343E-014  1.38543E-006 -2.40055E-024  4.81052E-026 -3.15186E-025  1.09743E-015  1.76681E-001  7.74251E-019  8.83392E-021 -6.77064E-020  1.26404E-012  5.10052E-005  5.92590E-023  2.85046E-024 -2.35847E-025  6.34031E-016  7.62362E-005 -2.14028E-021  6.43996E-025  5.24881E-025  1.06597E-013  1.81483E-001  8.00557E-019  9.80211E-021 -6.86610E-020  1.31177E-012  2.44530E-018
     75  0.00000E+00  0.00000E+000  7.39813E-003  3.31291E-020  9.56249E-022 -1.74861E-021  5.17733E-002 -9.24551E-003 -1.51013E-002  1.58668E-013  7.39677E-003  3.31314E-020  9.56202E-022 -1.74830E-021  7.75593E-014  1.35234E-006 -2.32650E-024  4.73910E-026 -3.12038E-025  1.05376E-015  1.76526E-001  7.73440E-019  8.82472E-021 -6.76354E-020  1.26273E-012  5.06621E-005  5.90773E-023  2.83011E-024 -2.49736E-025  6.41646E-016  7.44620E-005 -2.09870E-021  6.21812E-025  5.20370E-025  1.04013E-013  1.81549E-001  8.00926E-019  9.83133E-021 -6.86443E-020  1.31267E-012  2.24892E-018
