Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Hplim E NeuRho NeuMx NeuMy NeuMz NeuE Ne2Rho Ne2Mx Ne2My Ne2Mz Ne2E Ne3Rho Ne3Mx Ne3My Ne3Mz Ne3E Ne4Rho Ne4Mx Ne4My Ne4Mz Ne4E Pmin Pmax
    110  0.00000E+00  0.00000E+000  3.87523E-003  2.62773E-020 -2.28621E-022  4.22199E-021  4.42243E-002 -5.70718E-003 -1.47471E-002 -3.85570E-003  2.79044E-013  1.94464E-003  8.22266E-021 -2.27358E-023 -5.66738E-022  1.53199E-014  3.45653E-005  6.21020E-023 -1.24927E-024  1.04188E-023  1.24471E-015  3.56131E-005  1.06667E-021 -5.34175E-023  5.43236E-023  1.49351E-014  1.79811E-001  7.92180E-019  5.95653E-023 -6.76239E-020  1.30823E-012  2.02598E-023  9.70916E-013
    120  0.00000E+00  0.00000E+000  4.15247E-003  2.38025E-020  1.69476E-022  3.34763E-021  4.83380E-002 -6.12371E-003 -1.57266E-002 -4.13206E-003  2.18418E-013  1.94292E-003  8.21603E-021 -3.18475E-023 -5.63717E-022  1.53982E-014  3.32125E-005  7.99629E-023 -1.65784E-024  1.00836E-023  1.39015E-015  8.66832E-005  2.49197E-021 -1.22298E-022  1.13801E-022  3.37754E-014  1.79703E-001  7.93727E-019  7.74954E-023 -6.59959E-020  1.33186E-012  1.21904E-021  9.64691E-013
    130  2.37531E+02  1.84115E+002  4.19220E-003  2.38025E-020  1.69477E-022  3.30361E-021  4.83380E-002 -6.12371E-003 -1.57266E-002 -4.13206E-003  3.04911E-013  1.94292E-003  8.21604E-021 -3.18475E-023 -5.63715E-022  1.53983E-014  3.32125E-005  7.99630E-023 -1.65785E-024  1.00836E-023  1.39015E-015  8.66834E-005  2.49197E-021 -1.22298E-022  1.13801E-022  3.37757E-014  1.79703E-001  7.93727E-019  7.74954E-023 -6.59959E-020  1.33186E-012  1.22795E-021  1.04107E-009
    140  1.53518E+04  1.89811E+003  4.19297E-003  2.38024E-020  1.69521E-022  3.30060E-021  4.83388E-002 -6.12380E-003 -1.57268E-002 -4.13211E-003  3.07320E-013  1.94305E-003  8.21671E-021 -3.18497E-023 -5.63589E-022  1.54015E-014  3.32125E-005  7.99695E-023 -1.65794E-024  1.00836E-023  1.39027E-015  8.66933E-005  2.49196E-021 -1.22298E-022  1.13798E-022  3.37956E-014  1.79703E-001  7.93727E-019  7.74904E-023 -6.59958E-020  1.33186E-012  1.84640E-021  1.06629E-009
    150  3.42842E+04  1.88928E+003  4.19326E-003  2.38023E-020  1.69576E-022  3.29761E-021  4.83399E-002 -6.12391E-003 -1.57270E-002 -4.13217E-003  3.08915E-013  1.94320E-003  8.21754E-021 -3.18523E-023 -5.63432E-022  1.54055E-014  3.32125E-005  7.99777E-023 -1.65807E-024  1.00835E-023  1.39040E-015  8.67056E-005  2.49195E-021 -1.22298E-022  1.13794E-022  3.38208E-014  1.79702E-001  7.93726E-019  7.74842E-023 -6.59956E-020  1.33187E-012  2.17585E-021  1.08063E-009
    160  5.08801E+04  1.88173E+003  4.19464E-003  2.38022E-020  1.69625E-022  3.30953E-021  4.83408E-002 -6.12401E-003 -1.57272E-002 -4.13223E-003  3.06630E-013  1.94334E-003  8.21827E-021 -3.18547E-023 -5.63294E-022  1.54090E-014  3.32126E-005  7.99849E-023 -1.65818E-024  1.00835E-023  1.39053E-015  8.67164E-005  2.49195E-021 -1.22299E-022  1.13792E-022  3.38423E-014  1.79702E-001  7.93726E-019  7.74787E-023 -6.59955E-020  1.33187E-012  2.21206E-021  1.04711E-009
    170  6.96501E+04  1.87315E+003  4.19448E-003  2.38021E-020  1.69680E-022  3.30695E-021  4.83419E-002 -6.12412E-003 -1.57275E-002 -4.13229E-003  3.07267E-013  1.94349E-003  8.21909E-021 -3.18573E-023 -5.63138E-022  1.54129E-014  3.32126E-005  7.99930E-023 -1.65830E-024  1.00835E-023  1.39067E-015  8.67286E-005  2.49194E-021 -1.22299E-022  1.13790E-022  3.38659E-014  1.79702E-001  7.93726E-019  7.74726E-023 -6.59953E-020  1.33188E-012  2.25606E-021  1.04975E-009
    180  8.83350E+04  1.86470E+003  4.19402E-003  2.38020E-020  1.69735E-022  3.30496E-021  4.83430E-002 -6.12423E-003 -1.57277E-002 -4.13236E-003  3.07261E-013  1.94364E-003  8.21992E-021 -3.18600E-023 -5.62983E-022  1.54169E-014  3.32126E-005  8.00010E-023 -1.65842E-024  1.00835E-023  1.39080E-015  8.67405E-005  2.49193E-021 -1.22299E-022  1.13788E-022  3.38893E-014  1.79702E-001  7.93726E-019  7.74664E-023 -6.59951E-020  1.33188E-012  2.30371E-021  1.04474E-009
    190  1.06936E+05  1.85638E+003  4.19398E-003  2.38018E-020  1.69790E-022  3.30186E-021  4.83440E-002 -6.12433E-003 -1.57280E-002 -4.13242E-003  3.08125E-013  1.94379E-003  8.22073E-021 -3.18626E-023 -5.62829E-022  1.54208E-014  3.32126E-005  8.00091E-023 -1.65854E-024  1.00834E-023  1.39094E-015  8.67521E-005  2.49192E-021 -1.22300E-022  1.13786E-022  3.39123E-014  1.79702E-001  7.93726E-019  7.74604E-023 -6.59950E-020  1.33189E-012  2.40910E-021  1.04982E-009
    200  1.24848E+05  1.24132E+003  4.19454E-003  2.38017E-020  1.69842E-022  3.29874E-021  4.83450E-002 -6.12444E-003 -1.57282E-002 -4.13248E-003  3.10282E-013  1.94394E-003  8.22152E-021 -3.18651E-023 -5.62680E-022  1.54246E-014  3.32126E-005  8.00168E-023 -1.65866E-024  1.00834E-023  1.39107E-015  8.67632E-005  2.49192E-021 -1.22300E-022  1.13784E-022  3.39346E-014  1.79702E-001  7.93725E-019  7.74545E-023 -6.59948E-020  1.33189E-012  2.64854E-021  1.07082E-009
    210  1.43288E+05  1.84037E+003  4.19471E-003  2.38016E-020  1.69896E-022  3.29566E-021  4.83461E-002 -6.12455E-003 -1.57284E-002 -4.13254E-003  3.11601E-013  1.94409E-003  8.22233E-021 -3.18676E-023 -5.62527E-022  1.54285E-014  3.32127E-005  8.00247E-023 -1.65878E-024  1.00834E-023  1.39121E-015  8.67746E-005  2.49191E-021 -1.22300E-022  1.13783E-022  3.39578E-014  1.79702E-001  7.93725E-019  7.74484E-023 -6.59947E-020  1.33190E-012  3.03772E-021  1.08131E-009
    220  1.60177E+05  1.83318E+003  4.19605E-003  2.38015E-020  1.69946E-022  3.30778E-021  4.83470E-002 -6.12465E-003 -1.57287E-002 -4.13260E-003  3.09263E-013  1.94423E-003  8.22308E-021 -3.18700E-023 -5.62387E-022  1.54320E-014  3.32127E-005  8.00320E-023 -1.65889E-024  1.00833E-023  1.39133E-015  8.67850E-005  2.49190E-021 -1.22301E-022  1.13782E-022  3.39784E-014  1.79701E-001  7.93725E-019  7.74429E-023 -6.59945E-020  1.33190E-012  3.52829E-021  1.04691E-009
    230  1.78466E+05  1.82533E+003  4.19595E-003  2.38014E-020  1.70000E-022  3.30518E-021  4.83481E-002 -6.12475E-003 -1.57289E-002 -4.13266E-003  3.10025E-013  1.94438E-003  8.22388E-021 -3.18725E-023 -5.62235E-022  1.54359E-014  3.32127E-005  8.00399E-023 -1.65901E-024  1.00833E-023  1.39147E-015  8.67963E-005  2.49190E-021 -1.22301E-022  1.13782E-022  3.40001E-014  1.79701E-001  7.93725E-019  7.74369E-023 -6.59943E-020  1.33191E-012  4.20718E-021  1.05090E-009
    240  1.96676E+05  1.81758E+003  4.19537E-003  2.38013E-020  1.70053E-022  3.30353E-021  4.83491E-002 -6.12486E-003 -1.57291E-002 -4.13272E-003  3.09735E-013  1.94453E-003  8.22468E-021 -3.18751E-023 -5.62084E-022  1.54397E-014  3.32127E-005  8.00478E-023 -1.65913E-024  1.00833E-023  1.39160E-015  8.68073E-005  2.49189E-021 -1.22301E-022  1.13782E-022  3.40217E-014  1.79701E-001  7.93725E-019  7.74309E-023 -6.59942E-020  1.33191E-012  5.09186E-021  1.04248E-009
    250  2.14810E+05  1.80995E+003  4.19553E-003  2.38012E-020  1.70106E-022  3.30009E-021  4.83501E-002 -6.12496E-003 -1.57294E-002 -4.13279E-003  3.11000E-013  1.94467E-003  8.22548E-021 -3.18776E-023 -5.61933E-022  1.54436E-014  3.32128E-005  8.00556E-023 -1.65924E-024  1.00832E-023  1.39174E-015  8.68180E-005  2.49189E-021 -1.22302E-022  1.13782E-022  3.40429E-014  1.79701E-001  7.93724E-019  7.74250E-023 -6.59940E-020  1.33192E-012  6.31825E-021  1.05221E-009
    260  2.32868E+05  1.80243E+003  4.19610E-003  2.38011E-020  1.70159E-022  3.29719E-021  4.83511E-002 -6.12507E-003 -1.57296E-002 -4.13285E-003  3.13190E-013  1.94482E-003  8.22628E-021 -3.18802E-023 -5.61783E-022  1.54474E-014  3.32128E-005  8.00634E-023 -1.65936E-024  1.00832E-023  1.39187E-015  8.68287E-005  2.49188E-021 -1.22302E-022  1.13782E-022  3.40643E-014  1.79701E-001  7.93724E-019  7.74191E-023 -6.59939E-020  1.33192E-012  8.21015E-021  1.07356E-009
    270  2.50852E+05  1.79502E+003  4.19618E-003  2.38010E-020  1.70212E-022  3.29409E-021  4.83522E-002 -6.12517E-003 -1.57298E-002 -4.13291E-003  3.14320E-013  1.94497E-003  8.22707E-021 -3.18827E-023 -5.61634E-022  1.54512E-014  3.32128E-005  8.00712E-023 -1.65948E-024  1.00832E-023  1.39201E-015  8.68393E-005  2.49187E-021 -1.22302E-022  1.13782E-022  3.40858E-014  1.79701E-001  7.93724E-019  7.74132E-023 -6.59937E-020  1.33192E-012  1.11312E-020  1.08168E-009
    280  2.68762E+05  1.78770E+003  4.19749E-003  2.38009E-020  1.70264E-022  3.30622E-021  4.83532E-002 -6.12528E-003 -1.57301E-002 -4.13297E-003  3.11963E-013  1.94511E-003  8.22786E-021 -3.18852E-023 -5.61485E-022  1.54550E-014  3.32128E-005  8.00789E-023 -1.65960E-024  1.00832E-023  1.39214E-015  8.68498E-005  2.49187E-021 -1.22303E-022  1.13783E-022  3.41065E-014  1.79700E-001  7.93724E-019  7.74074E-023 -6.59936E-020  1.33193E-012  1.12082E-020  1.04673E-009
    290  2.86599E+05  1.78049E+003  4.19745E-003  2.38007E-020  1.70317E-022  3.30360E-021  4.83542E-002 -6.12538E-003 -1.57303E-002 -4.13303E-003  3.12812E-013  1.94526E-003  8.22864E-021 -3.18877E-023 -5.61337E-022  1.54587E-014  3.32129E-005  8.00866E-023 -1.65972E-024  1.00831E-023  1.39227E-015  8.68603E-005  2.49186E-021 -1.22303E-022  1.13784E-022  3.41267E-014  1.79700E-001  7.93724E-019  7.74016E-023 -6.59934E-020  1.33193E-012  1.12993E-020  1.05178E-009
    300  3.04365E+05  1.77338E+003  4.19677E-003  2.38006E-020  1.70369E-022  3.30220E-021  4.83552E-002 -6.12549E-003 -1.57305E-002 -4.13309E-003  3.12299E-013  1.94541E-003  8.22942E-021 -3.18902E-023 -5.61190E-022  1.54625E-014  3.32129E-005  8.00943E-023 -1.65983E-024  1.00831E-023  1.39240E-015  8.68705E-005  2.49186E-021 -1.22304E-022  1.13785E-022  3.41467E-014  1.79700E-001  7.93723E-019  7.73958E-023 -6.59933E-020  1.33194E-012  1.14053E-020  1.04077E-009
    307  3.15576E+05  5.85871E+002  4.19687E-003  2.38006E-020  1.70402E-022  3.29996E-021  4.83558E-002 -6.12555E-003 -1.57307E-002 -4.13313E-003  3.13125E-013  1.94550E-003  8.22992E-021 -3.18917E-023 -5.61097E-022  1.54649E-014  3.32129E-005  8.00991E-023 -1.65991E-024  1.00831E-023  1.39248E-015  8.68768E-005  2.49185E-021 -1.22304E-022  1.13786E-022  3.41592E-014  1.79700E-001  7.93723E-019  7.73921E-023 -6.59932E-020  1.33194E-012  1.14805E-020  1.04728E-009
