2D solar wind data at 1 AU based on SOHO/SWAN, IPS, and OMNI data from Feb 5 1985 to 2022.2 year. Lat [deg], Time [s] from Feb 5 1985, Vr [km/s], Rho [amu/cc], Ti [K]
0 1985.1 2 1 3
19 498
1.0
Lat Time Vr Rho Ti
20 14141308.96 570.10 5.90 284823.83
30 14141308.96 656.83 4.45 378076.10
40 14141308.96 694.16 3.96 422274.67
50 14141308.96 706.80 3.81 437784.96
60 14141308.96 719.43 3.67 453574.98
70 14141308.96 732.07 3.53 469644.74
80 14141308.96 744.70 3.40 485994.24
90 14141308.96 748.91 3.36 491506.23
-90 16498193.79 672.79 4.28 396673.75
-80 16498193.79 663.06 4.42 385276.58
-70 16498193.79 633.85 4.85 352081.85
-60 16498193.79 618.28 5.09 334998.62
-50 16498193.79 629.99 4.91 347806.69
-40 16498193.79 639.05 4.77 357879.40
-30 16498193.79 608.63 5.26 324616.72
-20 16498193.79 531.82 6.81 247860.81
-10 16498193.79 517.53 6.82 234719.42
0 16498193.79 503.24 6.82 221935.95
10 16498193.79 538.00 6.37 253647.57
20 16498193.79 572.75 5.92 287476.06
30 16498193.79 657.32 4.50 378632.42
40 16498193.79 693.28 4.02 421201.17
50 16498193.79 704.95 3.88 435497.07
60 16498193.79 716.62 3.75 450031.54
70 16498193.79 728.28 3.62 464804.59
80 16498193.79 739.95 3.50 479816.21
90 16498193.79 743.84 3.46 484873.11
-90 18855078.61 665.26 4.35 387838.20
-80 18855078.61 656.22 4.48 377371.88
-70 18855078.61 629.11 4.89 346831.87
-60 18855078.61 615.21 5.11 331675.23
-50 18855078.61 627.74 4.91 345321.30
-40 18855078.61 639.30 4.73 358164.21
-30 18855078.61 611.41 5.18 327595.47
-20 18855078.61 532.96 6.74 248919.27
-10 18855078.61 502.90 7.53 221631.74
0 18855078.61 472.84 8.32 195927.97
10 18855078.61 524.12 7.07 240729.82
20 18855078.61 575.40 5.83 290140.59
30 18855078.61 657.80 4.46 379189.15
40 18855078.61 692.40 4.01 420129.05
50 18855078.61 703.10 3.88 433215.18
60 18855078.61 713.80 3.76 446502.00
70 18855078.61 724.50 3.64 459989.51
80 18855078.61 735.20 3.52 473677.71
90 18855078.61 738.77 3.49 478285.04
-90 21211963.44 657.72 4.35 379102.17
-80 21211963.44 649.38 4.47 369549.10
-70 21211963.44 624.36 4.84 341621.32
-60 21211963.44 612.13 5.04 328368.41
-50 21211963.44 625.48 4.82 342844.81
-40 21211963.44 639.56 4.61 358449.14
-30 21211963.44 614.20 5.00 330587.82
-20 21211963.44 534.09 6.55 249979.99
-10 21211963.44 519.07 6.98 236117.29
0 21211963.44 504.05 7.42 222650.01
10 21211963.44 541.05 6.53 256534.20
20 21211963.44 578.05 5.64 292817.41
30 21211963.44 658.28 4.35 379746.29
40 21211963.44 691.52 3.92 419058.28
50 21211963.44 701.25 3.81 430939.28
60 21211963.44 710.98 3.70 442986.35
70 21211963.44 720.72 3.59 455199.50
80 21211963.44 730.45 3.49 467578.73
90 21211963.44 733.70 3.45 471742.04
-90 23568848.27 650.19 4.39 370465.65
-80 23568848.27 642.55 4.51 361808.26
-70 23568848.27 619.62 4.85 336450.22
-60 23568848.27 609.06 5.02 325078.16
-50 23568848.27 623.23 4.79 340377.24
-40 23568848.27 639.81 4.55 358734.18
-30 23568848.27 616.98 4.89 333593.78
-20 23568848.27 535.23 6.43 251042.96
-10 23568848.27 515.57 7.70 232944.70
0 23568848.27 495.92 8.97 215523.45
10 23568848.27 538.31 7.24 253940.48
20 23568848.27 580.69 5.51 295506.51
30 23568848.27 658.76 4.28 380303.83
40 23568848.27 690.63 3.88 417988.89
50 23568848.27 699.40 3.78 428669.38
60 23568848.27 708.17 3.68 439484.60
70 23568848.27 716.94 3.58 450434.56
80 23568848.27 725.71 3.49 461519.26
90 23568848.27 728.63 3.46 465244.11
-90 25925733.10 642.65 4.50 361928.64
-80 25925733.10 635.71 4.60 354149.35
-70 25925733.10 614.88 4.92 331318.55
-60 25925733.10 605.98 5.07 321804.48
-50 25925733.10 620.97 4.83 337918.58
-40 25925733.10 640.06 4.54 359019.33
-30 25925733.10 619.77 4.85 336613.34
-20 25925733.10 536.36 6.41 252108.19
-10 25925733.10 473.85 8.52 196771.06
0 25925733.10 411.35 10.63 148281.93
10 25925733.10 497.34 8.04 216763.84
20 25925733.10 583.34 5.46 298207.91
30 25925733.10 659.25 4.27 380861.79
40 25925733.10 689.75 3.89 416920.86
50 25925733.10 697.55 3.80 426405.46
60 25925733.10 705.35 3.71 435996.74
70 25925733.10 713.15 3.62 445694.69
80 25925733.10 720.96 3.54 455499.32
90 25925733.10 723.56 3.51 458791.23
-90 28282617.92 635.12 4.64 353491.15
-80 28282617.92 628.87 4.74 346572.37
-70 28282617.92 610.13 5.04 326226.31
-60 28282617.92 602.91 5.16 318547.36
-50 28282617.92 618.72 4.90 335468.83
-40 28282617.92 640.32 4.57 359304.60
-30 28282617.92 622.56 4.84 339646.50
-20 28282617.92 537.50 6.43 253175.67
-10 28282617.92 505.14 6.91 223609.47
0 28282617.92 472.78 7.39 195878.49
10 28282617.92 529.38 6.42 245592.02
20 28282617.92 585.99 5.46 300921.60
30 28282617.92 659.73 4.30 381420.16
40 28282617.92 688.87 3.93 415854.20
50 28282617.92 695.70 3.85 424147.55
60 28282617.92 702.54 3.77 432522.78
70 28282617.92 709.37 3.69 440979.90
80 28282617.92 716.21 3.62 449518.90
90 28282617.92 718.49 3.59 452383.42
-90 30639502.75 627.58 4.80 345153.17
-80 30639502.75 622.03 4.89 339077.33
-70 30639502.75 605.39 5.16 321173.51
-60 30639502.75 599.83 5.25 315306.81
-50 30639502.75 616.46 4.98 333027.99
-40 30639502.75 640.57 4.60 359589.98
-30 30639502.75 625.34 4.83 342693.27
-20 30639502.75 538.63 6.46 254245.41
-10 30639502.75 543.08 6.81 258462.07
0 30639502.75 547.53 7.15 262713.41
10 30639502.75 568.08 6.30 282810.19
20 30639502.75 588.64 5.45 303647.59
30 30639502.75 660.21 4.33 381978.93
40 30639502.75 687.98 3.97 414788.90
50 30639502.75 693.85 3.90 421895.63
60 30639502.75 699.72 3.83 429062.72
70 30639502.75 705.59 3.76 436290.17
80 30639502.75 711.46 3.70 443577.99
90 30639502.75 713.42 3.68 446020.68
-90 32996387.58 620.05 4.93 336914.71
-80 32996387.58 615.20 5.01 331664.22
-70 32996387.58 600.65 5.25 316160.15
-60 32996387.58 596.76 5.32 312082.83
-50 32996387.58 614.21 5.02 330596.07
-40 32996387.58 640.83 4.61 359875.47
-30 32996387.58 628.13 4.80 345753.64
-20 32996387.58 539.76 6.45 255317.40
-10 32996387.58 543.34 6.00 258708.96
